"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"1",85,1000,0,0,0.15,0.115989393454485,0.08,0.22,-0.121811764705882,0.137798422964343,-0.200494117647059,-0.0485058823529412,0.329211764705882,0.0717938571422009,0.289958823529412,0.369988235294118,0.876846045496324,0.0225446309372262,0.864408731617647,0.889759788602941,0.0653769461612434,0.0112537408677024,0.0591389234894445,0.0717494318638855,0,0,0,0,NA,NA,NA,NA
"2",89,1000,0.1,0,0.11,0.0984734184509411,0.05,0.17,-0.0755842696629214,0.119784478260122,-0.147286516853933,-0.00321910112359551,0.293280898876405,0.0612660070882779,0.25676404494382,0.328280898876404,0.89492418363764,0.0257442938885307,0.879462600948034,0.909897524578652,0.0540161482307654,0.0116728824815414,0.0468742733782919,0.0603214460317379,0.0207865168539326,0.0126750167177146,0.0134831460674157,0.0286516853932584,NA,NA,NA,NA
"3",97,1000,0.1,0.1,0.03,0.0520092843304506,0,0.06,-0.0449432989690722,0.111193076062217,-0.111180412371134,0.0275360824742268,0.284592783505155,0.0618296206359435,0.248474226804124,0.324474226804124,0.885714696762242,0.024797775918861,0.871095868234536,0.901015175982603,0.057206181023261,0.0108848021605663,0.0510341712743396,0.0636822426532472,0.0149484536082474,0.0085623558096276,0.00979381443298969,0.0201030927835052,NA,NA,NA,NA
"4",89,1000,0.1,0.2,0.11,0.100670961176709,0.05,0.17,-0.0751011235955056,0.123758436085329,-0.144398876404494,-0.00524719101123595,0.310595505617978,0.0666278084803535,0.271185393258427,0.351544943820225,0.875318455933989,0.0239005319285874,0.861731500175562,0.888867284058989,0.0653376304827303,0.011233099514504,0.0585603862604307,0.0716363755131747,0.0213483146067416,0.013223745210534,0.0140449438202247,0.0292134831460674,NA,NA,NA,NA
"5",97,1000,0.1,0.3,0.03,0.0555381750590428,0,0.07,-0.0307422680412371,0.113727550963575,-0.0989226804123712,0.0408092783505155,0.282762886597938,0.0621060096883258,0.247273195876289,0.320958762886598,0.888496522632088,0.0265248677543621,0.872897620006443,0.904634034713273,0.0597173258660747,0.0119374586699446,0.0523540452056196,0.067053915560301,0.0211340206185567,0.0112243057114495,0.0144329896907217,0.0278350515463918,NA,NA,NA,NA
"6",90,1000,0.1,0.4,0.1,0.0973750636985827,0.05,0.16,-0.0647166666666667,0.116531539303933,-0.134894444444444,0.00347222222222221,0.26445,0.0667586317747169,0.225383333333333,0.303588888888889,0.869311306423611,0.02618358650737,0.853999149305556,0.8844283203125,0.0656844915459437,0.0116689276569595,0.0588427561792058,0.072553275849469,0.0172222222222222,0.00945104711553008,0.0122222222222222,0.0227777777777778,NA,NA,NA,NA
"7",100,1000,0.1,0.5,0,0,0,0,0.00855,0.0924384265524499,-0.04979,0.06384,0.22977,0.0546749307845834,0.19522,0.265315,0.881838048828125,0.0242188017277569,0.867363443359375,0.896656759765625,0.0622619211794735,0.0107808255925503,0.0557415034269436,0.0688701278479344,0.0145,0.00923671800998383,0.009,0.02,NA,NA,NA,NA
"8",95,1000,0.1,0.6,0.05,0.0691799001579114,0.01,0.1,0.00735263157894736,0.121028931097759,-0.0680842105263158,0.0779684210526316,0.292868421052632,0.0696831890100116,0.248189473684211,0.334321052631579,0.892606665296053,0.0259700878674034,0.876628922697368,0.908785990953947,0.0552197669267767,0.0113500653969778,0.0479161168170883,0.0616732735904387,0.0189473684210526,0.0106663406458644,0.0126315789473684,0.0257894736842105,NA,NA,NA,NA
"9",93,1000,0.1,0.7,0.07,0.0828581360342526,0.02,0.12,0.000564516129032261,0.125138550034655,-0.0748548387096774,0.0780268817204301,0.291983870967742,0.069772654241439,0.252774193548387,0.338059139784946,0.883544272933468,0.0249417252541312,0.868941448252688,0.898029998319892,0.0586291203874957,0.0107588452523293,0.0521793430055975,0.0650544673300976,0.0193548387096774,0.0111714281238317,0.0134408602150538,0.0263440860215054,NA,NA,NA,NA
"10",88,1000,0.1,0.8,0.12,0.100038331037496,0.07,0.18,-0.149136363636364,0.109838199721572,-0.213630681818182,-0.0838068181818182,0.281704545454545,0.0673718296445901,0.241176136363636,0.3206875,0.888105781693892,0.0274935279628454,0.872796892755682,0.905131902521307,0.05785148454784,0.013338251936566,0.0503920076371819,0.0653612721796031,0.0215909090909091,0.0107791557377353,0.0153409090909091,0.0284090909090909,NA,NA,NA,NA
"11",95,1000,0.1,0.9,0.05,0.0686447081689183,0.01,0.09,-0.0711947368421053,0.125659562654428,-0.147852631578947,0.00141052631578947,0.297542105263158,0.0687891639716059,0.259105263157895,0.339926315789474,0.881032528782895,0.0248015027743393,0.866193782894737,0.896024905427632,0.0599435983272386,0.0118583667776738,0.0526085109466587,0.0668672428356673,0.0178947368421053,0.00975327613449401,0.0121052631578947,0.0242105263157895,NA,NA,NA,NA
"12",89,1000,0.1,1,0.11,0.0997394129973227,0.06,0.18,-0.0289831460674157,0.135231547918836,-0.103342696629213,0.0540337078651685,0.330544943820225,0.0700286440661116,0.290207865168539,0.369584269662921,0.872387620698736,0.0255043269367008,0.858495815045646,0.887376950930478,0.0662422843092438,0.0116031893527142,0.0591348089121854,0.0726240937017052,0.0146067415730337,0.00928632988737734,0.00955056179775281,0.0202247191011236,NA,NA,NA,NA
"13",91,1000,0.2,0,0.09,0.0903532014380288,0.04,0.15,-0.169093406593407,0.123431241282688,-0.244208791208791,-0.0964835164835165,0.314071428571429,0.0776742356220845,0.269214285714286,0.360956043956044,0.879140120621566,0.0228446405327506,0.864931799450549,0.891843404447115,0.0630742990240586,0.0113134396915727,0.0559572152767166,0.0691498158493512,0.0994505494505495,0.0193332899574361,0.0873626373626374,0.110989010989011,NA,NA,NA,NA
"14",87,1000,0.2,0.1,0.13,0.10860194670577,0.07,0.2,-0.17948275862069,0.126024156505052,-0.252057471264368,-0.104655172413793,0.327218390804598,0.0675528680568145,0.28766091954023,0.366327586206897,0.877051858836207,0.0276870669793542,0.861709110093391,0.892534496228448,0.0626472928099351,0.0116377077551524,0.0558271331873592,0.0692363110201723,0.110919540229885,0.0243251733038794,0.096551724137931,0.124712643678161,NA,NA,NA,NA
"15",86,1000,0.2,0.2,0.14,0.114771512144783,0.08,0.21,-0.0714186046511628,0.120562215414255,-0.137877906976744,-0.000680232558139536,0.277860465116279,0.062860461098741,0.24268023255814,0.313558139534884,0.874720662245639,0.0265614998634237,0.859205968386628,0.889461241824128,0.0642878371857241,0.0119232579423624,0.0573889331382325,0.0709821932708425,0.109883720930233,0.0285736018132171,0.0924418604651163,0.125581395348837,NA,NA,NA,NA
"16",88,1000,0.2,0.3,0.12,0.10709301158952,0.05,0.19,-0.133875,0.120564253394298,-0.202386363636364,-0.0670227272727273,0.296318181818182,0.0760155742704551,0.254744318181818,0.343744318181818,0.884847409889915,0.0260412429853255,0.871093807705966,0.900444959605824,0.0608165589842818,0.0130090519612079,0.0532316099093453,0.0680530439903334,0.117045454545455,0.0209995013295058,0.105113636363636,0.130113636363636,NA,NA,NA,NA
"17",86,1000,0.2,0.4,0.14,0.108861690583821,0.08,0.21,-0.0256453488372093,0.13927246786274,-0.101848837209302,0.0586918604651163,0.296436046511628,0.0799557272631282,0.253738372093023,0.345354651162791,0.894530491460756,0.028194038000116,0.878995035428779,0.91034875090843,0.0551415256457777,0.013474000504632,0.0474659340346023,0.0626330398486413,0.10406976744186,0.0228622564437685,0.0912790697674419,0.116860465116279,NA,NA,NA,NA
