"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"63",63,1000,0,0,0,-0.3965,0.3965,40000,0,0,6057825
"64",64,1000,0,0,0,0.0669999999999999,0.0669999999999999,33478.5,0.0763719730620433,0,6597248
"65",65,1000,0,0,0,-0.3985,0.3985,32121.328125,0.0685189368270462,0,8317922
"66",66,1000,0,0,0,-0.18,0.18,33987.28125,0.0976898154669672,0,8036997
"67",67,1000,0,0,1,-0.9825,0.9825,39934,0.006,0,20690695
"68",68,1000,0,0,0,0.3085,0.3085,34968.4375,0.0736761851954533,0,6961199
"69",69,1000,0,0,0,-0.38,0.38,39803.5,0.00951427140711067,0,7106144
"70",70,1000,0,0,0,0.279,0.279,34552.9375,0.0515811665495432,0,9264463
"71",71,1000,0,0,0,0.0489999999999999,0.0489999999999999,36171.625,0.0744836775483011,0,8305774
"72",72,1000,0,0,0,-0.012,0.012,39904.25,0.00500250125062531,0,9037991
"73",73,1000,0,0,0,-0.4305,0.4305,39647,0.0085427135678392,0,10164744
"74",74,1000,0,0,1,-0.949,0.949,39416.625,0.0222809667673716,0,13193810
"75",75,1000,0,0,0,-0.455,0.455,37567.625,0.0513188822146775,0,7355257
"76",76,1000,0,0,0,-0.479,0.479,33677.25,0.0573564292388414,0,8490453
"77",77,1000,0,0,0,-0.3995,0.3995,33136.09375,0.0813515081206496,0,7583471
"78",78,1000,0,0,1,-0.979,0.979,39964,0.004,0,15979889
"79",79,1000,0,0,0,0.4515,0.4515,34228.53125,0.084612676056338,0,10068825
"80",80,1000,0,0,0,-0.1795,0.1795,35519.28125,0.0631041524846835,0,8119227
"81",81,1000,0,0,0,-0.2975,0.2975,31550.671875,0.0983998803648871,0,7262442
"82",82,1000,0,0,0,0.223,0.223,33564.28125,0.0824152239233081,0,5378226
"83",83,1000,0,0,0,-0.1595,0.1595,34525.1875,0.0878730953871843,0,7231779
"84",84,1000,0,0,0,-0.497,0.497,33529.625,0.0775768926024634,0,7685318
"85",85,1000,0,0,0,-0.2805,0.2805,31297.875,0.0756383553189848,0,8407604
"86",86,1000,0,0,0,-0.2855,0.2855,31617.9375,0.0746428298571319,0,7531726
"87",87,1000,0,0,0,-0.2575,0.2575,31351.21875,0.0775407203487038,0,9133613
"88",88,1000,0,0,0,-0.087,0.087,35757.875,0.0678844056706652,0,9544257
"89",89,1000,0,0,0,0.3195,0.3195,34210.0625,0.0685677894140957,0,10208607
"90",90,1000,0,0,0,-0.2895,0.2895,33680.34375,0.0946796338672769,0,8497333
"91",91,1000,0,0,0,-0.41,0.41,39761,0.0075187969924812,0,5449979
"92",92,1000,0,0,1,-0.981,0.981,39988,0.0045,0,16109197
"93",93,1000,0,0,0,-0.349,0.349,39940,0.003,0,7894439
"94",94,1000,0,0,0,0.6415,0.6415,34078.8125,0.0813410666289433,0,8272249
"95",95,1000,0,0,0,0.1075,0.1075,35200.5625,0.062328202308961,0,6108522
"96",96,1000,0,0,0,-0.3725,0.3725,35432.125,0.0487232574189096,0,8723768
"97",97,1000,0,0,0,-0.408,0.408,36777.5,0.0525026483050847,0,9049724
"98",98,1000,0,0,0,-0.487,0.487,35705.375,0.0473287671232877,0,8906760
"99",99,1000,0,0,0,0.016,0.016,34786.015625,0.0611548373615658,0,7043336
"100",100,1000,0,0,0,-0.3595,0.3595,35487.65625,0.0755939524838013,0,7270671
"101",1,1000,0.1,0,0,0.0745,0.0745,33377.5625,0.0810441536027614,0.1,8788128
"102",2,1000,0.1,0,0,-0.23,0.23,30755.375,0.100387296669249,0.1,8245040
"103",3,1000,0.1,0,1,-0.0855,0.0855,39856.25,0.00700700700700701,0.272727272727273,8566534
"104",4,1000,0.1,0,1,-0.994,0.994,40000,0,0,16683401
"105",5,1000,0.1,0,0,-0.483,0.483,35284.75,0.069570602807597,0.15,9829276
"106",6,1000,0.1,0,0,-0.505,0.505,37747.4375,0.0402388369678089,0.1,9804285
"107",7,1000,0.1,0,1,0.0629999999999999,0.0629999999999999,39116.625,0.0243099518865536,0.166666666666667,16421656
"108",8,1000,0.1,0,0,-0.2885,0.2885,35651.6875,0.0569990477486056,0.1,7949798
"109",9,1000,0.1,0,0,-0.2605,0.2605,33388.15625,0.0752789450804231,0.1,8084511
"110",10,1000,0.1,0,1,-0.011,0.011,39754.5,0.00802005012531328,0.157894736842105,11854159
"111",11,1000,0.1,0,0,-0.0570000000000001,0.0570000000000001,34538.625,0.0877809957247276,0.15,6935014
"112",12,1000,0.1,0,0,0.221,0.221,34268.1875,0.100348432055749,0.2,6614333
"113",13,1000,0.1,0,0,-0.211,0.211,30492.1875,0.107586477987421,0.1,8198101
"114",14,1000,0.1,0,0,0.00150000000000006,0.00150000000000006,34656.875,0.0750313501463007,0.05,4912793
"115",15,1000,0.1,0,0,-0.257,0.257,39988,0.0015,0.1,11525483
"116",16,1000,0.1,0,0,-0.0825,0.0825,35869.34375,0.0835927981589279,0.1,8709120
"117",17,1000,0.1,0,0,-0.448,0.448,39596.25,0.0178034102306921,0,8347297
"118",18,1000,0.1,0,0,-0.2255,0.2255,40000,0,0.15,7773870
"119",19,1000,0.1,0,0,0.157,0.157,35105.625,0.0817848908178489,0.05,6975867
"120",20,1000,0.1,0,0,-0.575,0.575,36507.9375,0.0487641053197206,0.1,11929969
"121",21,1000,0.1,0,0,-0.2465,0.2465,39952,0.0035,0.1,8867192
"122",22,1000,0.1,0,0,0.0105,0.0105,31222.40625,0.125297265160523,0.15,11100955
"123",23,1000,0.1,0,1,-0.9085,0.9085,39211,0.0209754864796563,0,13947801
"124",24,1000,0.1,0,0,-0.4165,0.4165,39339.5,0.0317380352644836,0.05,8233281
"125",25,1000,0.1,0,1,-0.0425,0.0425,39689.5,0.0135406218655968,0.25,7105633
"126",26,1000,0.1,0,0,0.134,0.134,35378.5625,0.0798147643693816,0.05,7038994
"127",27,1000,0.1,0,1,-0.097,0.097,39779.75,0.00976953907815631,0.285714285714286,6516081
"128",28,1000,0.1,0,0,0.649,0.649,33935.734375,0.0885556655821191,0.1,8532391
"129",29,1000,0.1,0,0,-0.278,0.278,40000,0,0.2,8407693
"130",30,1000,0.1,0,1,-0.964,0.964,39862.25,0.00850425212606303,0,16649613
"131",31,1000,0.1,0,0,-0.275,0.275,40000,0,0.1,8684206
"132",32,1000,0.1,0,1,-0.0925,0.0925,39844.25,0.0072536268134067,0.111111111111111,7811456
"133",33,1000,0.1,0,0,-0.186,0.186,34580.8125,0.0737920531635055,0.05,7729491
"134",34,1000,0.1,0,0,-0.4015,0.4015,33366.5,0.10143997718848,0.05,9066410
"135",35,1000,0.1,0,0,-0.208,0.208,39928,0.00350175087543772,0.05,8083745
"136",36,1000,0.1,0,0,-0.094,0.094,39970,0.002,0.15,10144051
"137",37,1000,0.1,0,0,-0.254,0.254,39988,0.002,0.15,8710256
"138",38,1000,0.1,0,1,-0.0245,0.0245,39670.5,0.0140350877192982,0.222222222222222,9381094
"139",39,1000,0.1,0,0,-0.307,0.307,39988,0.001,0.15,8334204
"140",40,1000,0.1,0,0,0.0825,0.0825,33681.59375,0.0828490432317505,0.15,8143385
"141",41,1000,0.1,0,1,0.0720000000000001,0.0720000000000001,38959.875,0.0356240525517938,0.153846153846154,12074106
"142",42,1000,0.1,0,1,-0.092,0.092,39772.25,0.00601805416248746,0.2,8425504
"143",43,1000,0.1,0,0,-0.0425,0.0425,34247.96875,0.0531627576403696,0.15,8747545
"144",44,1000,0.1,0,0,0.8025,0.8025,33701.75,0.0698563902720647,0.1,9951439
"145",45,1000,0.1,0,0,0.623,0.623,33947.5,0.0837249038872277,0.15,10399234
"146",46,1000,0.1,0,0,-0.222,0.222,30696.046875,0.0874093504088875,0.25,9825838
"147",47,1000,0.1,0,1,0.0465,0.0465,39409.25,0.0188631790744467,0.210526315789474,12966792
"148",48,1000,0.1,0,0,-0.0995,0.0995,33609,0.0771715721464465,0.2,7016896
"149",49,1000,0.1,0,1,-0.938,0.938,39537,0.0192885771543086,0,14394259
"150",50,1000,0.1,0,0,0.3055,0.3055,32735.109375,0.0617594786729858,0.1,9179025
"151",51,1000,0.1,0,0,0.1225,0.1225,36391.3125,0.0697474547137379,0.05,14251884
"152",52,1000,0.1,0,1,-0.0245,0.0245,39623.5,0.0110552763819095,0.166666666666667,16103273
"153",53,1000,0.1,0,0,-0.589,0.589,36900.8125,0.0591723774380601,0.15,13633136
"154",54,1000,0.1,0,0,-0.1825,0.1825,33524.9375,0.0779079861111111,0.1,6643840
"155",55,1000,0.1,0,1,-0.962,0.962,39701.75,0.0145290581162325,0,18996767
"156",56,1000,0.1,0,0,0.412,0.412,33470.375,0.0712232284030473,0.1,8675514
"157",57,1000,0.1,0,1,-0.0885,0.0885,39682.75,0.00903614457831325,0.25,9059602
"158",58,1000,0.1,0,0,-0.2125,0.2125,39369.75,0.0153729838709677,0.05,7890343
"159",59,1000,0.1,0,0,0.315,0.315,34869.5625,0.0794565664882668,0.1,6584337
"160",60,1000,0.1,0,0,-0.4355,0.4355,35142.25,0.0648045467147214,0.1,10569992
"161",61,1000,0.1,0,0,-0.147,0.147,39928.25,0.0045,0.25,7703481
"162",62,1000,0.1,0,0,-0.273,0.273,31505.96875,0.106335525818402,0.05,8618688
"163",63,1000,0.1,0,0,-0.234,0.234,39145.875,0.0217501264542236,0.05,8274150
"164",64,1000,0.1,0,0,0.317,0.317,33732.78125,0.0795827975425061,0.1,8029567
"165",65,1000,0.1,0,1,-0.053,0.053,39844.75,0.00650976464697046,0.153846153846154,11826583
"166",66,1000,0.1,0,0,0.236,0.236,33636.765625,0.0987252124645892,0.15,8632781
"167",67,1000,0.1,0,0,-0.2955,0.2955,33528.53125,0.0710560625814863,0.05,8080155
"168",68,1000,0.1,0,0,-0.2615,0.2615,31166.203125,0.0939568899153195,0.2,8013182
"169",69,1000,0.1,0,0,-0.258,0.258,30761.96875,0.0801251956181534,0.05,8778102
"170",70,1000,0.1,0,1,-0.079,0.079,39928,0.004,0.25,9050483
"171",71,1000,0.1,0,0,0.054,0.054,34002.0625,0.0893796004206099,0.1,6930765
"172",72,1000,0.1,0,0,-0.26,0.26,40000,0,0.15,7986166
"173",73,1000,0.1,0,0,0.00449999999999995,0.00449999999999995,33140.375,0.0882204792401238,0.2,8509133
"174",74,1000,0.1,0,1,-0.0105,0.0105,39808.25,0.00850850850850851,0.166666666666667,16386125
"175",75,1000,0.1,0,0,0.0205,0.0205,39934,0.0035,0.15,7605438
"176",76,1000,0.1,0,0,0.4785,0.4785,34328,0.0663853727144866,0.15,9891876
"177",77,1000,0.1,0,0,-0.1605,0.1605,36107.0625,0.0553829528569499,0.05,6652707
"178",78,1000,0.1,0,0,-0.9405,0.9405,38203.8125,0.0509659379766141,0,20593378
"179",79,1000,0.1,0,0,0.2395,0.2395,35177.125,0.0566451789877932,0.05,6954873
"180",80,1000,0.1,0,0,0.6435,0.6435,33809.5,0.0780813078081308,0.15,8742111
"181",81,1000,0.1,0,0,-0.3925,0.3925,39958.25,0.0025,0.05,8249578
"182",82,1000,0.1,0,0,-0.0635,0.0635,34165.78125,0.0637019230769231,0.15,10488480
"183",83,1000,0.1,0,0,0.5585,0.5585,33981.3125,0.0717772035601493,0.1,10070765
"184",84,1000,0.1,0,1,-0.00800000000000001,0.00800000000000001,39707.75,0.0105368790767687,0.25,9477031
"185",85,1000,0.1,0,0,-0.0655,0.0655,40000,0,0.1,7689891
"186",86,1000,0.1,0,0,-0.2445,0.2445,33747.34375,0.078361658252151,0.1,8274282
"187",87,1000,0.1,0,0,-0.289,0.289,32837.09375,0.0719923987721093,0.15,8064755
"188",88,1000,0.1,0,0,-0.2415,0.2415,31018.296875,0.072185843467415,0.1,8804490
"189",89,1000,0.1,0,0,0.146,0.146,35680.25,0.0704225352112676,0.15,7051162
"190",90,1000,0.1,0,1,-0.0675,0.0675,39577.25,0.0248618784530387,0.25,9025420
"191",91,1000,0.1,0,0,-0.375,0.375,32951.46875,0.0799180327868853,0.05,9608983
"192",92,1000,0.1,0,0,0.194,0.194,34092.375,0.0670723079100043,0.1,9001691
"193",93,1000,0.1,0,1,-0.0570000000000001,0.0570000000000001,39772.5,0.00651629072681704,0.230769230769231,9991075
"194",94,1000,0.1,0,0,-0.3295,0.3295,32062.875,0.111127574455475,0.1,7492869
"195",95,1000,0.1,0,0,0.169,0.169,35150.5625,0.07190357439734,0.05,8081778
"196",96,1000,0.1,0,0,-0.386,0.386,32760.96875,0.0669870609981516,0.05,8772692
"197",97,1000,0.1,0,0,-0.159,0.159,33496.9375,0.106248240923164,0.1,7405503
"198",98,1000,0.1,0,0,-0.26,0.26,31541.46875,0.100525274056029,0.05,8355162
"199",99,1000,0.1,0,0,-0.2585,0.2585,40000,0,0.1,7033391
"200",100,1000,0.1,0,1,-0.0795,0.0795,39718.75,0.0132765531062124,0.307692307692308,9609589
"201",1,1000,0.1,0.1,0,0.6655,0.6655,33911.71875,0.0874752894662525,0.1,10327519
"202",2,1000,0.1,0.1,0,-0.201,0.201,34860.625,0.0558041958041958,0.1,8309424
"203",3,1000,0.1,0.1,1,-0.992,0.992,40000,0,0,18037743
"204",4,1000,0.1,0.1,1,-0.0685,0.0685,39612,0.00979899497487437,0.166666666666667,13512245
"205",5,1000,0.1,0.1,1,-0.966,0.966,39880.5,0.00600300150075038,0.0555555555555556,19683399
"206",6,1000,0.1,0.1,0,0.1215,0.1215,35234.375,0.0738558509180597,0.05,7607799
"207",7,1000,0.1,0.1,0,-0.0105,0.0105,35250.375,0.0892928752840529,0.15,8687291
"208",8,1000,0.1,0.1,0,-0.1325,0.1325,32505.3125,0.0890640969484596,0.1,11073237
"209",9,1000,0.1,0.1,0,-0.205,0.205,39988,0.001,0.1,9547663
"210",10,1000,0.1,0.1,0,-0.4795,0.4795,33197.21875,0.0814104413037208,0.1,10741506
"211",11,1000,0.1,0.1,1,-0.0505,0.0505,39658.75,0.00904068307383224,0.142857142857143,10841957
"212",12,1000,0.1,0.1,0,0.0395000000000001,0.0395000000000001,33959.46875,0.0628563283922463,0.05,7358357
"213",13,1000,0.1,0.1,0,-0.291,0.291,32160.140625,0.0705537606131189,0.05,9230535
"214",14,1000,0.1,0.1,0,0.2665,0.2665,33061.40625,0.085039941902687,0.1,6274909
"215",15,1000,0.1,0.1,0,-0.2015,0.2015,34431.53125,0.0778150321318804,0.1,9695600
"216",16,1000,0.1,0.1,1,-0.091,0.091,39922,0.00350175087543772,0.2,8392133
"217",17,1000,0.1,0.1,1,-0.9805,0.9805,39982,0.0035,0,17177901
"218",18,1000,0.1,0.1,0,-0.244,0.244,40000,0,0.1,7928905
"219",19,1000,0.1,0.1,0,-0.25,0.25,32242.5625,0.0738224975740838,0.1,7803836
"220",20,1000,0.1,0.1,0,-0.251,0.251,31683.40625,0.0801922210542124,0.15,8225115
"221",21,1000,0.1,0.1,0,0.424,0.424,34523.78125,0.0949860724233983,0.1,9190374
"222",22,1000,0.1,0.1,0,-0.3255,0.3255,33183.0625,0.0918234442836469,0.05,9817582
"223",23,1000,0.1,0.1,0,-0.4605,0.4605,39665.25,0.0113008538422903,0.1,7860397
"224",24,1000,0.1,0.1,1,0.085,0.085,39103.625,0.0165142276422764,0.2,10617333
"225",25,1000,0.1,0.1,0,0.502,0.502,34382.6875,0.0808165548098434,0.25,7399636
"226",26,1000,0.1,0.1,0,0.428,0.428,32704.828125,0.0910024952297079,0.2,10663584
"227",27,1000,0.1,0.1,1,-0.948,0.948,39624.75,0.0125439036628199,0.166666666666667,18262741
"228",28,1000,0.1,0.1,1,-0.0875,0.0875,39952.25,0.0025,0.210526315789474,10821561
