"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"1",100,1000,0,0,0.12,0.101388217792161,0.06,0.19,-0.230065,0.128365892162985,-0.30803,-0.14766,0.372695,0.0857827814391582,0.324425,0.4257,0.88469151953125,0.0217776166293817,0.87131276953125,0.898002375,0.0585945509854143,0.00959940557925447,0.0522056329006145,0.0643033596160998,0,0,0,0,NA,NA,NA,NA
"2",100,1000,0.1,0,0.24,0.138783036834951,0.16,0.33,-0.124935,0.109825386317343,-0.19564,-0.059495,0.267995,0.0770459911653193,0.2232,0.317295,0.91013675,0.0253006390592821,0.89458347265625,0.92509440625,0.0487532560282672,0.011445648873498,0.0411402889281481,0.05548699376184,0.122063497905603,0.022260096605179,0.107869963369963,0.136260496813128,NA,NA,NA,NA
"3",100,1000,0.1,0.1,0.32,0.14551446871724,0.23,0.41,-0.16782,0.142238887747126,-0.256525,-0.084575,0.36699,0.103091462059335,0.30648,0.431815,0.90971732421875,0.0257567519982308,0.89431483203125,0.9260888984375,0.047565689621922,0.0115239362185564,0.0406768725302311,0.0547485906608783,0.117923851389409,0.0242568349762398,0.102753045887721,0.132708216619981,NA,NA,NA,NA
"4",100,1000,0.1,0.2,0.25,0.13249966266395,0.16,0.33,-0.110975,0.138891428046484,-0.19498,-0.0244,0.341435,0.0970905975117617,0.28378,0.40196,0.909388732421875,0.0247002006865784,0.8943468515625,0.92465246875,0.0487917243851082,0.0113048742270906,0.0415192943349492,0.0554897441461394,0.122325577200577,0.0231460443256334,0.107645021645022,0.136595598845599,NA,NA,NA,NA
"5",100,1000,0.1,0.3,0.33,0.150599579459351,0.23,0.42,-0.257255,0.131073009961361,-0.336865,-0.178365,0.361055,0.101091206458435,0.29753,0.420695,0.927934810546875,0.0241073407702743,0.91233242578125,0.941999978515625,0.0413686755163972,0.0118678178085665,0.033927239371844,0.0483129341651175,0.106887014129661,0.0228967009645446,0.0922674531351002,0.120669413919414,NA,NA,NA,NA
"6",100,1000,0.1,0.4,0.44,0.154585610944587,0.35,0.54,-0.182715,0.12983392982978,-0.269795,-0.10633,0.310115,0.103166200082712,0.246565,0.372575,0.932297876953125,0.0265054835585073,0.916295541015625,0.94780275390625,0.0352762797430961,0.0114575517238986,0.0280391979443675,0.0427337211535632,0.15025541830031,0.0328007342451564,0.130304817645375,0.171717311326444,NA,NA,NA,NA
"7",100,1000,0.1,0.5,0.39,0.156798319925033,0.29,0.48,-0.22056,0.137731061929692,-0.303935,-0.140055,0.37003,0.107940322641791,0.304675,0.438015,0.92096408203125,0.0269510680926061,0.904950921875,0.937752984375,0.0427692915598923,0.0121551990708229,0.0351776691397024,0.0502704799804797,0.136518978570449,0.0308036672474689,0.117824960986726,0.154637268776975,NA,NA,NA,NA
"8",100,1000,0.1,0.6,0.5,0.161835903297011,0.4,0.6,-0.11035,0.124700218930525,-0.188515,-0.036275,0.28576,0.0979412226364116,0.22376,0.34484,0.93557853125,0.0243890482923919,0.919821609375,0.95026384765625,0.0336482376194458,0.0107230874492733,0.0272355879221494,0.0402878200426919,0.148245832169207,0.0296771132884471,0.129960469140423,0.16622609287857,NA,NA,NA,NA
"9",100,1000,0.1,0.7,0.55,0.157678306957072,0.45,0.64,-0.19092,0.130921198932707,-0.27797,-0.11096,0.28562,0.104801691910253,0.222285,0.34978,0.945165083984375,0.0223849151733013,0.931005078125,0.9584321796875,0.0314834313087222,0.0102951762184793,0.0254896119771511,0.0385218531692417,0.158663471891026,0.0302604628007369,0.14059043158424,0.176699231109448,NA,NA,NA,NA
"10",100,1000,0.1,0.8,0.51,0.158713180729811,0.41,0.6,-0.24886,0.142428644824733,-0.335565,-0.15926,0.35679,0.113564635365029,0.279585,0.42228,0.93840001171875,0.0249566389321751,0.92204598828125,0.9523979609375,0.0355341288959353,0.011388251666287,0.028564176468556,0.0425389736129881,0.141868555764841,0.0348728903091496,0.120544814662462,0.162003107659454,NA,NA,NA,NA
