"V1","V2","V3","V4"
40,7.76243495941162,400,251.4
40,7.58688020706177,800,241.3
40,7.80952715873718,1200,294.8
40,7.82498574256897,1600,207.8
40,7.62093067169189,2000,300.7
40,7.83239769935608,2400,306.7
40,8.03300380706787,2800,310.6
40,7.93066215515137,3200,371.6
40,7.63481569290161,3600,336.9
40,7.63877129554749,4000,334
40,7.81284070014954,4400,422.3
40,7.79903292655945,4800,403.1
40,7.85585355758667,5200,389.3
40,7.62056493759155,5600,388
40,8.05881285667419,6000,417.2
40,8.0518012046814,6400,564.7
40,8.10584712028503,6800,529.3
40,8.08873796463013,7200,547.3
40,8.01045799255371,7600,543.6
40,8.17165350914001,8000,600.3
40,8.36432147026062,8400,616.2
40,8.21275806427002,8800,667.6
40,8.44816184043884,9200,657.5
40,8.31520867347717,9600,642.3
40,8.63262271881104,10000,735.2
40,8.50553941726685,10400,706.5
40,8.53293967247009,10800,707.5
40,8.56536817550659,11200,737.2
40,8.74314975738525,11600,790.5
40,8.73727107048035,12000,769.5
40,8.78652000427246,12400,826.2
40,8.86659836769104,12800,889.5
40,8.81341290473938,13200,874.4
40,8.86282825469971,13600,891.5
40,8.95273351669312,14000,887.8
40,8.91464924812317,14400,940.5
40,9.02189087867737,14800,912.1
40,9.02961230278015,15200,954.7
40,9.05257320404053,15600,960.9
40,9.02551102638245,16000,974.1
40,9.0685088634491,16400,964.5
40,9.04756307601929,16800,988.3
40,9.04819822311401,17200,990.9
40,9.11810374259949,17600,996.4
40,9.0948793888092,18000,998
40,9.08143210411072,18400,999.2
40,9.14256978034973,18800,993.8
40,9.07125759124756,19200,995.2
40,9.06446528434753,19600,999.6
40,9.06786942481995,20000,999.5
40,9.06645798683167,20400,1000
40,9.13327503204346,20800,999.4
40,9.06057977676392,21200,999.7
40,9.07867550849915,21600,999.8
40,9.14993572235107,22000,999.8
40,9.09936594963074,22400,999.6
40,9.08626008033752,22800,999.3
40,9.16702604293823,23200,999.7
40,9.09878373146057,23600,999.3
40,9.0892767906189,24000,999.8
40,9.13336539268494,24400,999.9
40,9.07026028633118,24800,1000
40,9.09962797164917,25200,999.7
40,9.18204832077026,25600,999.6
40,9.10266327857971,26000,999.9
40,9.10497188568115,26400,999.8
40,9.18585395812988,26800,999.8
40,9.0835018157959,27200,999.3
40,9.11048603057861,27600,999.9
40,9.14913320541382,28000,999.8
40,9.02252221107483,28400,999.6
40,9.06803488731384,28800,999.8
40,9.00653791427612,29200,999.4
40,8.99831104278564,29600,999.7
40,9.08074450492859,30000,999.8
40,8.96615958213806,30400,999.8
40,8.9889669418335,30800,999.9
40,9.01867890357971,31200,999.5
40,8.99404382705688,31600,999.9
40,8.97438478469849,32000,1000
40,9.07026982307434,32400,1000
40,8.96433615684509,32800,999.9
40,9.17288899421692,33200,999.6
40,9.27680659294128,33600,1000
40,9.17646551132202,34000,1000
40,9.20802021026611,34400,1000
40,9.07327508926392,34800,999.9
40,9.00691866874695,35200,999.7
40,9.03567337989807,35600,999.8
40,9.07199430465698,36000,999.9
40,9.00388026237488,36400,999.9
40,9.00095987319946,36800,999.6
40,9.03187942504883,37200,999.7
40,9.02303910255432,37600,999.8
40,9.09688901901245,38000,999.9
40,9.0571072101593,38400,999.7
40,9.05235624313354,38800,999.9
40,9.12635660171509,39200,999.9
40,9.05111598968506,39600,1000
40,9.00208687782288,40000,999.8
40,9.11842894554138,40400,999.9
40,9.03398680686951,40800,999.7
40,9.01633834838867,41200,999.8
40,9.07037258148193,41600,999.8
40,9.01660060882568,42000,999.9
40,9.03515696525574,42400,999.9
40,9.05941247940063,42800,999.5
40,9.07172584533691,43200,999.7
40,9.04772233963013,43600,999.6
40,9.07760810852051,44000,999.3
40,9.02831649780273,44400,999.7
40,9.04212927818298,44800,999.7
40,9.02795720100403,45200,999.8
40,9.03069949150085,45600,1000
40,9.11030721664429,46000,1000
40,9.04171895980835,46400,999.8
40,9.07492327690125,46800,999.9
40,9.12448406219482,47200,1000
40,9.06063294410706,47600,999
40,9.05872988700867,48000,999.8
40,9.11206793785095,48400,999.6
40,9.06631064414978,48800,1000
40,9.06159234046936,49200,999.6
40,9.10018587112427,49600,1000
