"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"40",1000,0,0,0,40,1000,1000,11854,80841,91128,62264,71311,68451,68022,69597,68373,68069,69503,68288,68780,67920,68915,68573,68683,68999,68799,68711
"41",1000,0,0,0,41,1000,1000,11806,80780,91612,62172,71279,68539,68036,69534,68256,68086,69458,68370,68632,68096,68977,68479,69333,68438,68242,68683
"42",1000,0,0,0,42,1000,1000,11872,81143,90172,62274,70931,68657,68598,68768,68574,69370,68416,69421,68754,68971,69234,68299,68979,68626,68632,69390
"43",1000,0,0,0,43,1000,1000,11846,81064,91386,62038,70960,68536,69245,69101,67686,69602,69020,68871,68607,69415,68341,68655,68584,68798,69247,68332
"44",1000,0,0,0,44,1000,1000,11863,81087,90821,62133,71268,68048,69541,68934,69265,68668,68718,69203,69117,68766,67860,69329,68549,69003,67878,69643
"45",1000,0,0,0,45,1000,1000,11806,80682,92013,61879,71209,67814,69599,68203,69558,68330,68016,69532,68380,68023,68851,68026,68851,68216,68883,68548
"46",1000,0,0,0,46,1000,1000,11794,80720,91988,61885,71882,68181,69475,68281,68071,69524,68328,68105,69470,68245,69510,69081,68474,68047,68867,69352
"47",1000,0,0,0,47,1000,1000,11856,80706,91490,61651,71818,68248,68117,69370,68378,68858,69288,68484,68788,67854,69524,68370,68753,68757,68949,68894
"48",1000,0,0,0,48,1000,1000,11816,80569,91835,61417,72079,68078,68945,67941,69221,68353,68088,68965,68398,69468,68747,68553,68072,68796,69321,68558
"49",1000,0,0,0,49,1000,1000,11798,80485,89964,62400,71705,68336,68083,69535,68387,68089,69553,68421,68018,68851,68575,68622,69385,68271,69570,68356
"50",1000,0,0,0,50,1000,1000,11840,81130,90288,62241,71785,66910,69965,68086,69523,68310,69374,69161,69272,69215,68354,68093,68833,68526,69382,68360
"51",1000,0,0,0,51,1000,1000,11846,81302,91212,61547,72099,68124,68799,69399,69095,68493,67936,69483,68418,67999,69562,68270,68194,68045,68843,67952
"52",1000,0,0,0,52,1000,1000,11835,80671,90780,62274,71716,67587,69731,68500,68641,67942,69673,69071,68473,69447,68358,69386,69050,67859,68964,69184
"53",1000,0,0,0,53,1000,1000,11813,80798,92021,62026,71971,68225,68741,69385,69104,69210,69172,69228,68521,68868,69308,68476,68111,68120,69515,68291
"54",1000,0,0,0,54,1000,1000,11858,81176,90528,62306,71714,66976,69840,69003,69287,68380,68838,67943,69545,68300,68210,68841,68560,69402,68318,68782
"55",1000,0,0,0,55,1000,1000,11855,80983,89942,61962,71791,68337,67987,69515,68280,68137,69558,68346,68167,68848,67904,69603,68996,68397,69558,69032
"56",1000,0,0,0,56,1000,1000,11842,81247,91030,62116,71855,66970,69914,68338,68151,69555,68654,68592,68664,68736,68644,67937,69627,68375,68632,69411
"57",1000,0,0,0,57,1000,1000,11861,81647,90737,62368,71714,68242,69459,69018,69251,68991,68390,69503,68323,67991,68794,68549,69378,68175,68875,68440
"58",1000,0,0,0,58,1000,1000,11862,81013,91138,62063,70800,67747,68991,67766,69670,69015,68402,68846,68428,69236,69099,68553,68681,68847,69417,68436
"59",1000,0,0,0,59,1000,1000,11877,81416,90061,62588,71511,68322,68596,67894,69585,68256,68636,69379,68319,68011,68907,68601,69332,68395,68789,69369
"60",1000,0,0,0,60,1000,1000,11827,80489,90272,62464,71641,67678,69008,67897,69490,68464,69348,68402,68737,69391,68958,69236,67718,69059,68472,69467
"61",1000,0,0,0,61,1000,1000,11853,81009,91282,61578,71981,68145,68752,68663,69363,68468,68630,69289,68502,68660,69201,69247,67750,69660,68347,68814
"62",1000,0,0,0,62,1000,1000,11854,81068,91436,62024,71710,68299,68837,68611,69393,68434,68696,68038,69479,69116,68460,67985,69476,68350,68262,68870
"63",1000,0,0,0,63,1000,1000,11856,80900,91786,62516,71655,67502,69702,68950,68839,68557,69508,68348,69473,68412,69425,68296,69497,68955,68427,69402
"64",1000,0,0,0,64,1000,1000,11855,80994,90547,62275,71712,66995,69898,68605,69295,68468,68534,68601,68776,68582,68742,68571,68648,68628,68411,69338
"65",1000,0,0,0,65,1000,1000,11864,80974,92402,61393,72000,68160,68062,69540,68227,69580,68943,67936,69610,68183,69419,69145,68504,69276,68424,68701
"66",1000,0,0,0,66,1000,1000,11829,81256,91117,62270,71578,68252,69490,68147,69365,68299,68837,68604,68677,67973,69469,68472,69521,68303,68806,69179
"67",1000,0,0,0,67,1000,1000,11840,81011,90735,62306,71734,68226,68043,69450,68338,68134,69537,68327,69468,69171,69252,67845,69603,68298,69412,68480
"68",1000,0,0,0,68,1000,1000,11793,80995,90628,62766,70779,68040,68047,69548,69115,68389,68754,68069,69553,68411,69462,68408,68681,69457,68248,68767
"69",1000,0,0,0,69,1000,1000,11843,81240,91502,62124,71771,68287,69581,69022,67856,69635,68960,68460,67955,68946,68649,68628,68657,69276,68440,69366
"70",1000,0,0,0,70,1000,1000,11854,81201,91213,62175,71693,68235,68052,69558,68267,68691,69403,68400,68766,69368,68892,68477,68754,69231,68402,68034
"71",1000,0,0,0,71,1000,1000,11876,80764,91635,61879,71869,66956,69970,68896,69380,68386,68043,69603,68271,68181,68769,68508,69358,68251,69581,68153
"72",1000,0,0,0,72,1000,1000,11838,81092,91576,62220,71739,67550,69664,69020,69245,69184,67797,69641,68412,68388,68636,69314,68558,68598,68649,69029
"73",1000,0,0,0,73,1000,1000,11857,81154,91697,61771,71871,68266,68816,69158,69031,69187,68010,68899,68527,69335,68400,69601,68910,69193,68362,68793
"74",1000,0,0,0,74,1000,1000,11815,80626,91572,61976,71765,68340,69510,68575,68683,67928,69607,68409,69402,67847,69548,67682,69785,68135,68785,68556
"75",1000,0,0,0,75,1000,1000,11826,80670,90693,62292,71724,67754,69780,68258,69556,68504,68720,67998,69652,68301,69476,67689,68932,68542,67973,68808
"76",1000,0,0,0,76,1000,1000,11832,80609,91329,61560,71981,68053,69593,68319,68809,68498,68680,68701,69299,68435,67912,68813,68539,69236,68438,68706
"77",1000,0,0,0,77,1000,1000,11801,80858,92015,61970,71868,68307,69516,68477,68733,67892,69626,68299,69507,69085,68531,69326,69085,69169,68413,69565
"78",1000,0,0,0,78,1000,1000,11858,80829,90242,61985,71769,68335,69362,67978,69550,68895,68662,68700,67976,69663,68296,69491,68423,68609,69357,68357
"79",1000,0,0,0,79,1000,1000,11813,80390,91750,61424,72006,68191,68860,69174,68435,68098,69475,69122,68422,68176,69380,68380,68762,68550,68010,68153
"80",1000,0,0,0,80,1000,1000,11855,81187,92040,61785,71899,68271,68093,69531,68241,68106,69544,68344,68134,69439,68364,67966,69503,68417,69344,68502
"81",1000,0,0,0,81,1000,1000,11841,80208,91725,61924,71714,67618,69731,68287,69043,69319,68397,68119,68739,68682,68667,68609,68674,68526,69376,68393
"82",1000,0,0,0,82,1000,1000,11868,81122,91183,61512,72009,66975,69875,68213,68083,69224,67890,68871,69152,69286,68474,67993,69572,68233,69483,68418
"83",1000,0,0,0,83,1000,1000,11824,80778,90161,62489,71625,68281,67963,69646,68361,68104,68240,69444,69077,68509,69481,69095,68509,68659,68706,69251
"84",1000,0,0,0,84,1000,1000,11832,81246,91396,62067,70359,68079,69569,68345,68738,69290,68419,69058,68870,69151,69186,67724,69759,68209,68680,69328
"85",1000,0,0,0,85,1000,1000,11845,81053,91430,61614,72013,67460,68309,69486,68243,68282,68801,68022,69577,68350,68727,68599,68693,69348,68256,68863
"86",1000,0,0,0,86,1000,1000,11852,81083,91768,61478,71918,67059,69400,69052,68662,68067,69536,68348,68725,68556,67919,69718,68355,69468,68369,69500
"87",1000,0,0,0,87,1000,1000,11840,81150,90594,62698,70871,68459,68780,68605,69298,68297,68721,69283,68321,68731,68544,68742,68551,69286,68202,68845
"88",1000,0,0,0,88,1000,1000,11866,80881,91570,62131,71903,68260,67999,69597,68191,68152,69741,68293,68096,68829,69171,68319,68104,68774,69248,68372
"89",1000,0,0,0,89,1000,1000,11845,80889,91888,61937,71813,67143,70009,68219,69442,68388,67965,68307,68734,68348,69421,68372,68849,68542,69460,68404
"90",1000,0,0,0,90,1000,1000,11813,80654,90906,62275,71759,68216,68732,68603,69445,68216,68242,69640,68353,67946,68853,67918,68827,67962,68226,68827
"91",1000,0,0,0,91,1000,1000,11849,81201,90519,62257,71687,68270,69460,68464,68673,67975,69616,68322,69524,67596,69805,68299,69473,68298,69464,68318
"92",1000,0,0,0,92,1000,1000,11871,81092,90650,62222,71703,66989,69948,68845,68544,67923,69509,69053,68615,68462,68693,68620,68607,69416,68435,68602
"93",1000,0,0,0,93,1000,1000,11828,80949,90974,62194,71775,68126,69532,68234,69397,68325,68195,69574,68336,68089,69624,68223,68210,69406,68287,69586
