"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"73",73,100,0,0,1,-0.499,0.499,9782.28125,0.0727647529382807,0
"74",74,100,0,0,1,-0.889,0.889,9952,0.0724187380497132,0
"75",75,100,0,0,0,-0.955,0.955,9983.125,0.0646258503401361,0
"76",76,100,0,0,1,-0.319,0.319,9704.5,0.0611184169328073,0
"77",77,100,0,0,1,-0.827,0.827,9924.625,0.117052881758764,0
"78",78,100,0,0,0,-0.57,0.57,9844.6875,0.105946272260791,0
"79",79,100,0,0,1,-0.745,0.745,9885.6875,0.107335998118975,0
"80",80,100,0,0,0,0.458,0.458,9391.75,0.0772918691286038,0
"81",81,100,0,0,1,-0.724,0.724,9879.1875,0.12222354198836,0
"82",82,100,0,0,1,-0.884,0.884,9951.71875,0.0996314385880802,0
"83",83,100,0,0,1,-0.825,0.825,9921.25,0.118938593401432,0
"84",84,100,0,0,0,-0.718,0.718,9883.875,0.101827676240209,0
"85",85,100,0,0,1,-0.52,0.52,9794.9375,0.0789052890528905,0
"86",86,100,0,0,0,-0.078,0.078,9641.3125,0.0807514628888204,0
"87",87,100,0,0,1,-0.795,0.795,9909.875,0.0818445195557702,0
"88",88,100,0,0,1,-0.983,0.983,9992,0.0766246362754607,0
"89",89,100,0,0,1,-0.689,0.689,9866.125,0.0641606465042243,0
"90",90,100,0,0,1,-0.89,0.89,9952.5,0.0890639923591213,0
"91",91,100,0,0,0,0.046,0.046,9632.3125,0.0976879687596851,0
"92",92,100,0,0,1,-0.863,0.863,9938.4375,0.0628808189129905,0
"93",93,100,0,0,1,-0.91,0.91,9961.3125,0.134264604017548,0
"94",94,100,0,0,1,-0.386,0.386,9735.71875,0.128326649653664,0
"95",95,100,0,0,1,-0.876,0.876,9945.375,0.103330902017992,0
"96",96,100,0,0,1,-0.672,0.672,9855.8125,0.115877826999301,0
"97",97,100,0,0,0,-0.274,0.274,9746.3125,0.103376923076923,0
"98",98,100,0,0,0,-0.382,0.382,9767.125,0.0968619626337747,0
"99",99,100,0,0,1,-0.121,0.121,9618.96875,0.0886343831694261,0
"100",100,100,0,0,0,-0.317,0.317,9756.0625,0.0740948463887331,0
"101",1,100,0.4,0,0,-0.986,0.986,9993.875,0.104491725768322,3
"102",2,100,0.4,0,0,0.763,0.763,9264.390625,0.059082255629226,9
"103",3,100,0.4,0,1,-0.87,0.87,9942,0.114238410596026,0
"104",4,100,0.4,0,0,0.679,0.679,9298.734375,0.147959753161227,8
"105",5,100,0.4,0,0,0.96,0.96,9183.265625,0.134004237288136,5
"106",6,100,0.4,0,0,-0.143,0.143,9632.9375,0.0974670970946114,5
"107",7,100,0.4,0,0,1.252,1.252,9061.8515625,0.13104065456405,9
"108",8,100,0.4,0,0,-0.154,0.154,9642.4375,0.128194103194103,9
"109",9,100,0.4,0,0,0.568,0.568,9336.5703125,0.120602698272601,12
"110",10,100,0.4,0,0,0.525,0.525,9359.171875,0.112035010940919,11
"111",11,100,0.4,0,0,1.019,1.019,9161.98828125,0.182747238796496,3
"112",12,100,0.4,0,0,1.183,1.183,9107.875,0.206258181138191,7
"113",13,100,0.4,0,0,0.515,0.515,9365.796875,0.132390096008085,9
"114",14,100,0.4,0,0,0.976,0.976,9184.8984375,0.135398060729778,5
"115",15,100,0.4,0,0,0.548,0.548,9357.953125,0.0856159472250108,13
"116",16,100,0.4,0,0,-0.163,0.163,9640.9375,0.082039911308204,10
"117",17,100,0.4,0,0,-0.322,0.322,9706.6875,0.131813193512986,9
"118",18,100,0.4,0,0,0.178,0.178,9498.0625,0.135809842331581,11
"119",19,100,0.4,0,0,-0.169,0.169,9642.21875,0.125556572125648,10
"120",20,100,0.4,0,0,1.387,1.387,9015.09375,0.158506770310933,8
"121",21,100,0.4,0,0,0.18,0.18,9496.5625,0.150861016121153,8
"122",22,100,0.4,0,0,-0.197,0.197,9658.84375,0.121411338962606,5
"123",23,100,0.4,0,0,-0.469,0.469,9770.25,0.1521167184884,5
"124",24,100,0.4,0,0,0.351,0.351,9419.15625,0.135085179138043,6
"125",25,100,0.4,0,0,-0.552,0.552,9804.125,0.101221849544801,10
"126",26,100,0.4,0,0,1.255,1.255,9068.453125,0.167853634577603,6
"127",27,100,0.4,0,0,0.016,0.016,9556.59375,0.114222061657033,13
"128",28,100,0.4,0,0,-0.75,0.75,9889.5,0.113761030288576,13
"129",29,100,0.4,0,0,-0.249,0.249,9675.21875,0.0953943295778135,15
"130",30,100,0.4,0,0,-0.128,0.128,9630.015625,0.123464225487834,3
"131",31,100,0.4,0,0,0.733,0.733,9275.4375,0.20370314205993,8
"132",32,100,0.4,0,0,0.95,0.95,9195.65625,0.192953621802534,4
"133",33,100,0.4,0,0,0.544,0.544,9354.65625,0.159248999692213,9
"134",34,100,0.4,0,0,0.334,0.334,9428.28125,0.080126582278481,12
"135",35,100,0.4,0,0,-0.585,0.585,9820,0.0642944785276074,6
"136",36,100,0.4,0,0,-0.092,0.092,9616.84375,0.117984068627451,7
"137",37,100,0.4,0,0,-0.359,0.359,9724.6875,0.144169983610396,9
"138",38,100,0.4,0,0,0.455,0.455,9386.265625,0.102238430583501,12
"139",39,100,0.4,0,0,0.712,0.712,9283.890625,0.133956193540403,7
"140",40,100,0.4,0,0,1.301,1.301,9054.890625,0.178782729103726,12
"141",41,100,0.4,0,0,0.922,0.922,9209.53125,0.222885866351271,7
"142",42,100,0.4,0,0,-0.0580000000000001,0.0580000000000001,9597.71875,0.117055214723926,5
"143",43,100,0.4,0,1,-0.592,0.592,9822.75,0.109587393239504,1
"144",44,100,0.4,0,0,0.489,0.489,9373.953125,0.152057245080501,7
"145",45,100,0.4,0,0,0.0469999999999999,0.0469999999999999,9551.53125,0.071974921630094,9
"146",46,100,0.4,0,0,1.385,1.385,9006.40625,0.124460149195132,10
"147",47,100,0.4,0,0,0.823,0.823,9243.34375,0.147077192105921,8
"148",48,100,0.4,0,0,1.041,1.041,9154.09375,0.167774936061381,4
"149",49,100,0.4,0,1,-0.771,0.771,9898.625,0.15833527086724,0
"150",50,100,0.4,0,0,0.842,0.842,9242.4072265625,0.205581180811808,7
"151",51,100,0.4,0,0,-0.116,0.116,9630.875,0.100085282651072,9
"152",52,100,0.4,0,0,1.039,1.039,9169.5,0.179401387030052,8
"153",53,100,0.4,0,0,0.969,0.969,9176.375,0.190185367051314,7
"154",54,100,0.4,0,0,-0.085,0.085,9609.28125,0.154957203994294,7
"155",55,100,0.4,0,0,0.305,0.305,9448.09375,0.155166005946482,10
