"","rep","memory","budget","ratio","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"18",100,0,1000,0.5,0.1,0,1,0,1,1,-0.923815,0.0290849513259708,-0.94065,-0.90482,0.923815,0.0271221116157038,0.905415,0.93963,39599.91,165.152526426338,39493.4,39695.49125,0.0112545469641386,0.0035634775441097,0.00906748984854512,0.0133641382756323,0.0207954545454545,0.0169060817945455,0.0110050505050505,0.0324116161616161,1189.71492352092,63.2929565892426,1148.19433225108,1226.38016161616
"19",100,0,1000,0.5,0.1,0.1,1,0,1,1,-0.91864,0.0320910831048466,-0.936395,-0.89827,0.91864,0.0302918556709705,0.8992,0.93687,39636.4375,169.525396166338,39519.03125,39726.94,0.0105447596961526,0.00373605526077771,0.00830397756797593,0.0129919434564501,0.019757437007437,0.0196813363675654,0.00868925518925519,0.0320723720723721,1180.43033449883,60.3805410505242,1145.55930880231,1217.01804120879
"20",100,0,1000,0.5,0.1,0.2,1,0,1,1,-0.920745,0.0307130255206824,-0.9393,-0.900735,0.920745,0.0308769033170795,0.900395,0.93852,39617.018125,164.23606521811,39507.905,39713.7525,0.0108365885430739,0.00383842609710204,0.00857723838212304,0.0132484705608055,0.0209036519036519,0.0163200350949911,0.0116987179487179,0.0322284382284382,1189.3417952048,62.3056863991888,1150.99595790321,1226.98337973138
"21",100,0,1000,0.5,0.1,0.3,1,0,1,1,-0.90321,0.0346844902170286,-0.92345,-0.88079,0.90321,0.0345418889322673,0.88056,0.92372,39585.356875,194.781482910532,39460.353125,39698.0375,0.0108030973129807,0.00344891974395617,0.00860574057569159,0.0127997838272878,0.0208288655788656,0.0170257496119058,0.01077331002331,0.03127331002331,1172.88226379176,66.4239678740406,1129.74695695971,1211.37426659452
"22",100,0,1000,0.5,0.1,0.4,1,0,1,1,-0.92423,0.0313354565985304,-0.94286,-0.904845,0.92423,0.031909680680177,0.904125,0.943495,39591.7225,192.928285044247,39474.15375,39702.665625,0.0112659921818408,0.00383585169123099,0.00888274634835871,0.0137288682310769,0.00842929292929293,0.00994654546317731,0.00277777777777778,0.015,1218.80846139971,59.0374943251688,1180.02261327561,1254.10265079365
"23",100,0,1000,0.5,0.1,0.5,1,0,1,1,-0.925895,0.0271737273922419,-0.941695,-0.909,0.925895,0.0270281361899554,0.908625,0.94148,39636.615,163.378901165986,39533.813125,39731.485625,0.0106895539014643,0.00388044054200337,0.00838170601841415,0.0130714831240344,0.0139879564879565,0.0139585949894559,0.00589285714285714,0.0232031857031857,1217.40993115218,60.5603450290776,1179.18737698413,1254.81896825397
"24",100,0,1000,0.5,0.1,0.6,0.99,0.0332409477310832,0.96,1,-0.910635,0.0411835274371369,-0.935075,-0.883965,0.906635,0.0456298892923052,0.87519,0.9325,39639.776875,144.027319649147,39552.7175,39728.968125,0.0111686228998838,0.00376855232976973,0.00875652757719017,0.0134596922416238,0.0198181818181818,0.0183117121601157,0.00957575757575757,0.0318383838383838,1175.36351010101,65.8265876177021,1132.98287409812,1217.57493759019
"25",100,0,1000,0.5,0.1,0.7,1,0,1,1,-0.913125,0.0330939993946689,-0.93318,-0.892295,0.913125,0.0318399366385594,0.892935,0.931255,39518.49625,186.310941829223,39387.220625,39625.56125,0.0130011826595725,0.00400052096321031,0.0107334636046214,0.0156280947490829,0.0201174242424242,0.0182327920540214,0.00942929292929293,0.0323093434343434,1168.61493684094,63.3046898575937,1129.43040870241,1205.6236013431
"26",100,0,1000,0.5,0.1,0.8,1,0,1,1,-0.916635,0.0328336520241994,-0.93646,-0.89505,0.916635,0.0346274190376622,0.894905,0.93703,39588.24625,174.205291145437,39479.7175,39691.7125,0.010948856582743,0.00400915953125566,0.0086591296548964,0.0136642677721014,0.0125776772247361,0.0144682229291918,0.0045,0.02201395173454,1225.80695502047,61.8662897019945,1185.58989456295,1262.61265919701
"27",100,0,1000,0.5,0.1,0.9,1,0,1,1,-0.91818,0.041473520644448,-0.94156,-0.891785,0.91818,0.0419603555227425,0.890825,0.942975,39686.511875,149.272828142611,39590.6675,39769.47625,0.00885671048511807,0.00358806042457925,0.00683063944530128,0.0111906522392757,0.0123642191142191,0.0160961420828902,0.00366666666666667,0.0232820512820513,1214.31803219003,64.4220137553599,1171.60070238095,1251.81848962149
