"","rep","memory","budget","ratio","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"1",100,1,1000,0.5,0,0,1,0,1,1,-0.924825,0.028364221535642,-0.94114,-0.90606,0.924825,0.0264629090854043,0.90847,0.939375,39576.019375,185.537808059708,39450.106875,39683.4275,0.0118361610337961,0.00381866173077248,0.00960613205200357,0.0142510916600707,0,0,0,0,1158.85110558886,68.57036942932,1113.58011471861,1199.16389557665
"2",100,1,1000,0.6,0,0,1,0,1,1,-0.941975,0.0123861051427017,-0.94939,-0.934705,0.941975,0.0129443114195098,0.934155,0.94943,39821.07,85.7352733257056,39765.10625,39870.82625,0.00697084012037183,0.00259923918891049,0.00544955664778409,0.00874151480060631,0,0,0,0,1109.61729849992,75.6650451861478,1062.40870056457,1152.72191888667
"3",100,1,1000,0.7,0,0,0.93,0.0799661291934392,0.88,0.98,-0.920625,0.0363963357781315,-0.941255,-0.89724,0.920625,0.0372047996657886,0.896635,0.941585,39508.3778125,301.542625943915,39294.786875,39681.173125,0.0132384687994839,0.00472354390850873,0.0104845132353139,0.0161363297481751,0,0,0,0,1038.99963398448,67.5943353559028,997.914418877691,1078.86469442322
"4",100,1,1000,0.8,0,0,0.76,0.134811919114571,0.67,0.84,-0.837265,0.0858583916178438,-0.888365,-0.78169,0.847375,0.0782089389445741,0.79883,0.894295,38873.61515625,641.321831274712,38438.0290625,39226.260625,0.0211003502899461,0.00765895345818887,0.0169381693072672,0.0261568615142653,0,0,0,0,960.145196847571,75.3549613856323,916.498008205846,1006.02634539725
"5",100,1,1000,0.9,0,0,0.15,0.11778521798493,0.08,0.23,-0.130265,0.142164929924913,-0.21414,-0.045635,0.362935,0.0966343490138839,0.303175,0.424165,36259.089375,971.181538547922,35632.5825,36808.53953125,0.0531200243925541,0.0117026945957263,0.0461001554749367,0.0599851401585404,0,0,0,0,625.767989766082,60.9887884984263,589.755295321638,664.850850877193
"6",100,1,1000,1,0,0,0,0,0,0,0.066045,0.0997189152753614,0.00587,0.12844,0.251615,0.067425685375091,0.211505,0.29498,35907.611015625,1077.64045489419,35226.228359375,36549.8078125,0.0535995327218784,0.0120805799403836,0.0460660228762254,0.0608595523063162,0,0,0,0,554.8995,10.6023317181041,548.4675,560.9625
"7",100,1,1000,0.5,0.3,0,1,0,1,1,-0.908185,0.0364104310517119,-0.928335,-0.884695,0.908185,0.0339186496000491,0.887165,0.928095,39678.07875,158.905237084336,39573.383125,39764.435625,0.00978091617759345,0.00357256089839101,0.00756178011672478,0.011986072203629,0.052019425019425,0.0308570987549717,0.035,0.0718898601398602,1154.39409065934,62.1817788588885,1112.5471529304,1189.75921980797
"8",100,1,1000,0.5,0.3,0.1,1,0,1,1,-0.9186,0.0293295665074365,-0.936845,-0.900235,0.9186,0.031362928355111,0.89681,0.93608,39681.35375,157.373916453455,39579.325,39772.69375,0.00938438683613975,0.00337587682573079,0.00729388742826365,0.0113878011345442,0.0427774447774448,0.0295274667835953,0.0250372405372405,0.0618534521034521,1169.90598032523,65.0044682317297,1128.49229234654,1209.42717171717
"9",100,1,1000,0.5,0.3,0.2,1,0,1,1,-0.920955,0.0346964395805487,-0.941535,-0.898855,0.920955,0.0353926550477966,0.896515,0.941775,39538.7590625,172.516467207863,39426.663125,39636.8315625,0.0129777680409402,0.00411540902117241,0.0105043567665049,0.0154934031688951,0.0305487012987013,0.0238209593356896,0.0165007215007215,0.0452626262626262,1213.40569011544,63.3049742350991,1170.73002849928,1251.37869949495
"10",100,1,1000,0.5,0.3,0.3,0.98,0.042238751416349,0.95,1,-0.91297,0.0298689973908625,-0.93055,-0.893025,0.89897,0.0395696442257512,0.87367,0.92206,39560.8475,183.50404292897,39440.24125,39665.40625,0.0119356046651227,0.00366811919718199,0.0096913049310551,0.0140947148119152,0.0525956608750726,0.0322587385313012,0.0333962703962704,0.0731097709480062,1139.89157480428,66.8096330167004,1098.70138383838,1178.9789431304
