"","rep","scar","at","bb","extinct","act_dev","fin_yield","max_diff_yield","inac_ts","abs_act_dev"
"80",80,0,0,0,0,-1,10000,0.1,0,1
"81",81,0,0,0,0,-0.195,9654.8125,0,0,0.195
"82",82,0,0,0,0,0.0369999999999999,9558.5,0.1,0,0.0369999999999999
"83",83,0,0,0,0,0.00299999999999989,9572.34375,0.1,0,0.00299999999999989
"84",84,0,0,0,0,0.131,9514.90625,0.1,0,0.131
"85",85,0,0,0,0,-0.356,9717.75,0.1,0,0.356
"86",86,0,0,0,0,0.0740000000000001,9539.140625,0.1,0,0.0740000000000001
"87",87,0,0,0,0,-0.001,9575.75,0.1,0,0.001
"88",88,0,0,0,0,-0.503,9781.5625,0.1,0,0.503
"89",89,0,0,0,0,-0.294,9701.453125,0.1,0,0.294
"90",90,0,0,0,0,-0.104,9616.25,0.1,0,0.104
"91",91,0,0,0,0,-0.373,9724.78125,0.1,0,0.373
"92",92,0,0,0,0,-0.884,9950.9375,0.1,0,0.884
"93",93,0,0,0,0,-0.288,9692.25,0.1,0,0.288
"94",94,0,0,0,0,-0.013,9577.875,0.1,0,0.013
"95",95,0,0,0,0,0.424,9394.390625,0.1,0,0.424
"96",96,0,0,0,0,-0.082,9600.625,0.1,0,0.082
"97",97,0,0,0,0,0.00600000000000001,9572.34375,0.1,0,0.00600000000000001
"98",98,0,0,0,0,-0.739,9884.25,0.1,0,0.739
"99",99,0,0,0,0,-0.329,9705,0.1,0,0.329
"100",100,0,0,0,0,-0.451,9763,0.2,0,0.451
"101",1,0,0.1,0,0,-0.259,9675.75,0.1,5,0.259
"102",2,0,0.1,0,0,0.586,9328.5,0.1,5,0.586
"103",3,0,0.1,0,0,-0.08,9603.9375,0.1,4,0.08
"104",4,0,0.1,0,0,-0.412,9741.5625,0,7,0.412
"105",5,0,0.1,0,0,-0.049,9592.78125,0.1,2,0.049
"106",6,0,0.1,0,0,-0.237,9667.375,0.1,3,0.237
"107",7,0,0.1,0,0,-0.192,9650.0625,0.1,4,0.192
"108",8,0,0.1,0,0,1.17,9092.0078125,0.1,1,1.17
"109",9,0,0.1,0,0,-0.133,9623.71875,0.1,4,0.133
"110",10,0,0.1,0,0,-0.71,9873.34375,0.1,4,0.71
"111",11,0,0.1,0,0,-0.183,9645.53125,0.1,6,0.183
"112",12,0,0.1,0,0,0.148,9512.25,0.1,6,0.148
"113",13,0,0.1,0,0,0.754,9270.09765625,0.1,2,0.754
"114",14,0,0.1,0,1,-0.986,9993.5,0.1,1,0.986
"115",15,0,0.1,0,0,1.178,9104.1953125,0.1,3,1.178
"116",16,0,0.1,0,0,-0.331,9709.4375,0.1,3,0.331
"117",17,0,0.1,0,0,-0.534,9798.9375,0.1,3,0.534
"118",18,0,0.1,0,1,-0.914,9962.40625,0.1,1,0.914
"119",19,0,0.1,0,0,0.945,9182.03125,0.1,6,0.945
"120",20,0,0.1,0,0,-0.002,9568.21875,0.1,2,0.002
"121",21,0,0.1,0,0,0.387,9420.375,0.1,7,0.387
"122",22,0,0.1,0,0,0.143,9515.34375,0.1,5,0.143
"123",23,0,0.1,0,0,-0.253,9677.3125,0.1,5,0.253
"124",24,0,0.1,0,0,-0.961,9981.75,0.1,4,0.961
"125",25,0,0.1,0,0,-0.384,9728.25,0.1,5,0.384
"126",26,0,0.1,0,0,0.0840000000000001,9546.09375,0.1,3,0.0840000000000001
"127",27,0,0.1,0,0,0.0449999999999999,9557.03125,0.1,3,0.0449999999999999
"128",28,0,0.1,0,0,0.315,9439.3125,0.1,7,0.315
"129",29,0,0.1,0,0,0.0900000000000001,9527.75,0.1,10,0.0900000000000001
"130",30,0,0.1,0,0,0.071,9545.3125,0.2,3,0.071
"131",31,0,0.1,0,0,-0.686,9864.03125,0.1,1,0.686
"132",32,0,0.1,0,0,-0.707,9871.75,0.1,3,0.707
"133",33,0,0.1,0,0,-0.114,9617.71875,0.1,4,0.114
"134",34,0,0.1,0,1,-0.977,9991,0.1,1,0.977
"135",35,0,0.1,0,0,1.24,9048,0.2,5,1.24
"136",36,0,0.1,0,1,-0.988,9994.5,0.1,1,0.988
"137",37,0,0.1,0,0,-0.785,9905.875,0.1,3,0.785
"138",38,0,0.1,0,0,-0.116,9618.90625,0.1,6,0.116
"139",39,0,0.1,0,0,0.00299999999999989,9573.265625,0.1,6,0.00299999999999989
"140",40,0,0.1,0,0,-0.178,9644.1875,0.1,3,0.178
"141",41,0,0.1,0,0,0.51,9361.1875,0.1,5,0.51
"142",42,0,0.1,0,0,0.374,9424.203125,0.1,5,0.374
"143",43,0,0.1,0,0,1.565,8939.484375,0.1,2,1.565
"144",44,0,0.1,0,1,-0.979,9990.75,0.1,3,0.979
"145",45,0,0.1,0,0,0.004,9568.375,0.1,5,0.004
"146",46,0,0.1,0,0,-0.533,9798.84375,0.1,6,0.533
"147",47,0,0.1,0,0,0.157,9507.140625,0.1,5,0.157
"148",48,0,0.1,0,0,0.176,9497.53125,0.1,6,0.176
"149",49,0,0.1,0,0,-0.027,9578.84375,0.1,7,0.027
"150",50,0,0.1,0,0,-0.775,9904.9375,0.1,1,0.775
"151",51,0,0.1,0,0,0.311,9441.890625,0.1,5,0.311
"152",52,0,0.1,0,0,1.26,9067.8125,0.2,2,1.26
"153",53,0,0.1,0,0,0.00499999999999989,9561.5625,0.1,4,0.00499999999999989
"154",54,0,0.1,0,0,0.0509999999999999,9552.4375,0.1,4,0.0509999999999999
"155",55,0,0.1,0,0,0.102,9531.84375,0.1,7,0.102
"156",56,0,0.1,0,0,-0.119,9617.8125,0.2,5,0.119
"157",57,0,0.1,0,0,1.295,9047.421875,0.2,3,1.295
"158",58,0,0.1,0,1,-0.955,9980.375,0.1,5,0.955
"159",59,0,0.1,0,0,0.325,9438.203125,0.1,6,0.325
"160",60,0,0.1,0,0,1.231,9086.203125,0.1,4,1.231
"161",61,0,0.1,0,0,-0.0639999999999999,9597.953125,0.1,11,0.0639999999999999
"162",62,0,0.1,0,0,-0.758,9893.4375,0.1,5,0.758
"163",63,0,0.1,0,1,-0.95,9977.375,0.1,1,0.95
"164",64,0,0.1,0,0,0.0820000000000001,9535.21875,0.1,5,0.0820000000000001
"165",65,0,0.1,0,1,-0.989,9995.75,0.1,3,0.989
"166",66,0,0.1,0,0,1.097,9135.734375,0.2,4,1.097
"167",67,0,0.1,0,1,-0.968,9986,0.1,4,0.968
"168",68,0,0.1,0,1,-0.975,9989.125,0.1,2,0.975
"169",69,0,0.1,0,0,-0.178,9649.78125,0.1,8,0.178
"170",70,0,0.1,0,0,-0.611,9831.3125,0.1,2,0.611
"171",71,0,0.1,0,1,-0.979,9990.75,0.1,6,0.979
"172",72,0,0.1,0,0,-0.35,9716.96875,0.1,3,0.35
"173",73,0,0.1,0,0,0.00800000000000001,9569.5,0.1,6,0.00800000000000001
"174",74,0,0.1,0,0,-0.306,9694.875,0.1,1,0.306
"175",75,0,0.1,0,0,0.132,9516.75,0.1,7,0.132
"176",76,0,0.1,0,0,-0.911,9960.4375,0.1,1,0.911
"177",77,0,0.1,0,0,-0.744,9888.96875,0.1,1,0.744
"178",78,0,0.1,0,0,-0.45,9756.5,0.1,2,0.45
"179",79,0,0.1,0,0,0.32,9436.03125,0.1,9,0.32
"180",80,0,0.1,0,0,0.0489999999999999,9547.96875,0.1,4,0.0489999999999999
"181",81,0,0.1,0,0,-0.445,9760.21875,0.1,2,0.445
"182",82,0,0.1,0,0,-0.467,9769.125,0.1,6,0.467
"183",83,0,0.1,0,0,-0.126,9623.84375,0.1,5,0.126
"184",84,0,0.1,0,0,0.176,9499.578125,0.1,6,0.176
"185",85,0,0.1,0,1,-0.987,9994.375,0.1,1,0.987
"186",86,0,0.1,0,0,-0.215,9655.59375,0.1,2,0.215
"187",87,0,0.1,0,0,1.457,8981.703125,0.1,3,1.457
"188",88,0,0.1,0,0,-1,10000,0.1,5,1
"189",89,0,0.1,0,0,-0.151,9630.59375,0.1,5,0.151
"190",90,0,0.1,0,0,0.7,9290.4140625,0.1,3,0.7
"191",91,0,0.1,0,0,0.448,9383.203125,0.1,2,0.448
"192",92,0,0.1,0,0,-0.257,9680.5,0.1,5,0.257
"193",93,0,0.1,0,1,-0.972,9987.875,0.1,2,0.972
"194",94,0,0.1,0,0,0.0820000000000001,9535.59375,0.1,3,0.0820000000000001
"195",95,0,0.1,0,0,-0.546,9805,0.1,4,0.546
"196",96,0,0.1,0,0,1.445,8974.40625,0.1,2,1.445
"197",97,0,0.1,0,0,-0.297,9702.1875,0.1,3,0.297
"198",98,0,0.1,0,0,0.071,9542.765625,0.1,1,0.071
"199",99,0,0.1,0,0,-0.158,9636.59375,0.1,6,0.158
"200",100,0,0.1,0,0,0.0369999999999999,9553.09375,0.1,2,0.0369999999999999
"201",1,0,0.1,0.1,0,-0.193,9650.28125,0.1,7,0.193
"202",2,0,0.1,0.1,0,1.281,9064.53125,0.2,3,1.281
"203",3,0,0.1,0.1,0,0.157,9505.15625,0.1,3,0.157
"204",4,0,0.1,0.1,0,-0.191,9656.75,0.1,6,0.191
"205",5,0,0.1,0.1,0,-0.984,9993.625,0.1,1,0.984
"206",6,0,0.1,0.1,0,-0.163,9641.75,0.2,4,0.163
"207",7,0,0.1,0.1,0,0.31,9445.5,0.2,3,0.31
"208",8,0,0.1,0.1,0,-0.04,9588.3828125,0.1,7,0.04
"209",9,0,0.1,0.1,0,0.122,9520.09375,0.1,6,0.122
"210",10,0,0.1,0.1,0,-0.483,9776,0.1,4,0.483
"211",11,0,0.1,0.1,0,1.043,9139.9453125,0.2,7,1.043
"212",12,0,0.1,0.1,0,-1,10000,0.1,1,1
"213",13,0,0.1,0.1,0,-0.48,9772.75,0.1,4,0.48
"214",14,0,0.1,0.1,0,-0.011,9577.25,0.1,5,0.011
"215",15,0,0.1,0.1,0,0.223,9472.8125,0.1,9,0.223
"216",16,0,0.1,0.1,0,-0.052,9593.1875,0.1,3,0.052
"217",17,0,0.1,0.1,0,-0.125,9621.75,0.1,3,0.125
"218",18,0,0.1,0.1,0,0.05,9554.0625,0.1,8,0.05
"219",19,0,0.1,0.1,0,-0.755,9894.75,0.1,6,0.755
"220",20,0,0.1,0.1,0,-0.299,9696.40625,0.1,3,0.299
"221",21,0,0.1,0.1,0,-0.342,9719.125,0.1,2,0.342
