"rep","bdgt_ratio","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,0.4,0,0,1,-0.893,0.173592501758188,0.0322882053270231,0.893,0.173592501758188,0.0322882053270231,9953.254,75.1043550122675,13.9694100322818,0.089,0.023606230018072,0.0043907587833614,0,0,0,0,0,0
100,0.8,0,0,0.5,-0.671,0.392995231677449,0.0730971130920056,0.692,0.354581422884146,0.0659521446564511,9854.263,167.196036085745,31.0984627119485,0.095,0.0247413354284838,0.00460188838969798,0,0,0,0,0,0
100,1.2,0,0,0,-0.109,0.317239681081237,0.0590065806811102,0.274,0.191885244272969,0.0356906554347722,9604.522,128.949849393218,23.9846719871385,0.088,0.018802055011084,0.00349718223206162,0,0,0,0.04,0.196946385566932,0.0366320277154494
100,1.6,0,0,0.01,-0.062,0.271698327026669,0.0505358888269605,0.219,0.171308592424268,0.0318633981909138,9589.582,120.242986693146,22.3651955249251,0.091,0.0237906429382647,0.00442505958651723,0,0,0,0.18,0.435310176190437,0.0809676927714213
100,2,0,0,0,-0.039,0.266018137719892,0.0494793736159,0.207,0.169787918512264,0.0315805528432811,9596.482,117.338290232123,21.8249219831749,0.094,0.0224152263233247,0.0041692320961384,0,0,0,0.15,0.435194139889245,0.0809461100193995
100,0.4,0.1,0,1,-0.843,0.241006906938202,0.0448272846905056,0.843,0.241006906938202,0.0448272846905056,9931.929,104.098977007254,19.3624097233492,0.091,0.0241118879754213,0.00448481116342837,0.002,0.02,0.00372,0,0,0
100,0.4,0.1,0.1,1,-0.883,0.18389752416479,0.0342049394946509,0.883,0.18389752416479,0.0342049394946509,9948.983,79.6342245924401,14.8119657741939,0.095,0.0227670314593523,0.00423466785143952,0.008,0.0406381616221946,0.00755869806172819,0,0,0
100,0.4,0.1,0.2,1,-0.893,0.160184710300769,0.0297943561159431,0.893,0.160184710300769,0.0297943561159431,9953.322,69.1354383217999,12.8591915278548,0.093,0.0243984585257,0.0045381132857802,0.003,0.024460368494384,0.00454962853995543,0,0,0
100,0.4,0.1,0.3,1,-0.899,0.160157665688495,0.0297893258180602,0.899,0.160157665688495,0.0297893258180602,9955.77,69.4108877474609,12.9104251210277,0.094,0.0223218134963886,0.00415185731032829,0,0,0,0,0,0
100,0.4,0.1,0.4,1,-0.905,0.128989346909586,0.0239920185251831,0.905,0.128989346909586,0.0239920185251831,9958.684,55.2733734727651,10.2808474659343,0.089,0.021881172018711,0.00406989799548024,0,0,0,0,0,0
100,0.4,0.1,0.5,1,-0.879,0.184589213327236,0.0343335936788658,0.879,0.184589213327236,0.0343335936788658,9947.051,79.76475156268,14.8362437906585,0.092,0.0257038910132672,0.0047809237284677,0.002,0.0166666666666667,0.0031,0,0,0
100,0.4,0.1,0.6,1,-0.856,0.21445050852367,0.0398877945854026,0.856,0.21445050852367,0.0398877945854026,9936.979,92.7479005105729,17.2511094949666,0.093,0.0226320053342107,0.00420955299216318,0.002,0.02,0.00372,0,0,0
100,0.4,0.1,0.7,1,-0.859,0.228274409340154,0.0424590401372686,0.859,0.228274409340154,0.0424590401372686,9938.929,97.9093650027747,18.2111418905161,0.095,0.0244193981159893,0.00454200804957401,0,0,0,0,0,0
100,0.4,0.1,0.8,1,-0.862,0.202647449996044,0.0376924256992641,0.862,0.202647449996044,0.0376924256992641,9939.963,87.8840834905715,16.3464395292463,0.093,0.0233158892453874,0.00433675539964207,0.003,0.0201007563051842,0.00373874067276427,0,0,0
100,0.4,0.1,0.9,1,-0.876,0.185241747590831,0.0344549650518945,0.876,0.185241747590831,0.0344549650518945,9945.951,79.6336488786673,14.8118586914321,0.092,0.0270725847691255,0.00503550076705733,0.003,0.0201007563051842,0.00373874067276427,0,0,0
100,0.4,0.1,1,1,-0.885,0.172324003029764,0.0320522645635361,0.885,0.172324003029764,0.0320522645635361,9949.751,74.0558823347125,13.7743941142565,0.09,0.0207756175585373,0.00386426486588793,0.003,0.0207320771648435,0.00385616635266088,0,0,0
100,0.8,0.1,0,0.6,-0.729,0.351999089042669,0.0654718305619364,0.738,0.333633024520213,0.0620557425607596,9880.531,149.883660998221,27.8783609456692,0.09,0.0231146989362244,0.00429933400213773,0.043,0.0804928015435503,0.0149716610871004,0,0,0
100,0.8,0.1,0.1,0.56,-0.711,0.359831267415856,0.0669286157393491,0.724,0.331444396970032,0.061648657836426,9873.835,151.722054190226,28.220302079382,0.089,0.0205801051065518,0.00382789954981864,0.044,0.0781950608341725,0.0145442813151561,0,0,0
100,0.8,0.1,0.2,0.57,-0.69,0.3641763379896,0.0677367988660655,0.697,0.350610321979813,0.0652135198882452,9864.549,154.249110054454,28.6903344701285,0.092,0.0227965780354411,0.00424016351459204,0.047,0.0817291117277268,0.0152016147813572,0,0.005,0.00093
100,0.8,0.1,0.3,0.56,-0.699,0.360010735530164,0.0669619968086105,0.709,0.338297699272894,0.0629233720647583,9868.824,151.114391163297,28.1072767563732,0.089,0.0241909138396639,0.00449950997417749,0.057,0.0964293738410961,0.0179358635344439,0,0.005,0.00093
100,0.8,0.1,0.4,0.59,-0.709,0.369410560244563,0.0687103642054887,0.728,0.328645903210385,0.0611281379971316,9867.854,163.557668094128,30.4217262655078,0.095,0.0214714679780912,0.00399369304392496,0.059,0.0855925728421341,0.0159202185486369,0,0,0
100,0.8,0.1,0.5,0.55,-0.684,0.397519686825875,0.0739386617496127,0.715,0.337893623807998,0.0628482140282877,9863.014,166.053362072854,30.8859253455508,0.092,0.0214360520158084,0.00398710567494036,0.068,0.113842235127542,0.0211746557337228,0,0,0
100,0.8,0.1,0.6,0.63,-0.702,0.403310615313114,0.0750157744482392,0.74,0.326543433001436,0.0607370785382672,9870.453,171.412069635409,31.8826449521861,0.093,0.022523165561256,0.00418930879439361,0.059,0.101696206097419,0.0189154943341199,0,0,0
100,0.8,0.1,0.7,0.52,-0.684,0.374970966014084,0.0697445996786196,0.7,0.344076790084347,0.0639982829556885,9859.945,159.854921545471,29.7330154074577,0.095,0.0250600773759539,0.00466117439192743,0.055,0.0883773733810093,0.0164381914488677,0,0,0
100,0.8,0.1,0.8,0.53,-0.687,0.363248040447418,0.0675641355232197,0.7,0.337759955852937,0.0628233517886462,9861.195,153.791482094055,28.6052156694942,0.093,0.0224270759429927,0.00417143612539665,0.053,0.098314839576899,0.0182865601613032,0,0,0
100,0.8,0.1,0.9,0.56,-0.68,0.381832087481268,0.0710207682715159,0.7,0.343136075137264,0.0638233099755311,9858.549,164.431407452575,30.5842417861789,0.094,0.0237408493301136,0.00441579797540113,0.053,0.0847894912452122,0.0157708453716095,0,0.005,0.00093
100,0.8,0.1,1,0.58,-0.728,0.34982135411947,0.0650667718662215,0.733,0.339243326754521,0.0630992587763409,9878.013,151.846237429614,28.2434001619082,0.093,0.0248387214351551,0.00462000218693885,0.046,0.0772274721378448,0.0143643098176391,0.001,0.01,0.00186
100,1.2,0.1,0,0.07,-0.261,0.346437515172927,0.0644373778221644,0.325,0.287226321913574,0.0534240958759248,9676.624,139.293101655722,25.9085169079643,0.09,0.0227371040676523,0.00422910135658333,0.191,0.0884478439361142,0.0164512989721172,0.001,0.00625,0.0011625
100,1.2,0.1,0.1,0.04,-0.18,0.323549396725156,0.0601801877908789,0.28,0.241726923313365,0.0449612077362859,9639.859,135.319199804642,25.1693711636634,0.098,0.0223484818797011,0.00415681762962441,0.218,0.113236253006381,0.0210619430591869,0.001,0.00703526470681448,0.00130855923546749
100,1.2,0.1,0.2,0.05,-0.211,0.35244615377832,0.0655549846027676,0.289,0.291322467726092,0.0541859789970532,9656.249,151.004756166629,28.0868846469931,0.09,0.0240797624615687,0.00447883581785178,0.194,0.0900833980373184,0.0167555120349412,0.004,0.0177738316327429,0.00330593268369017
