"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"51",1000,0.1,0.4,1,1500,1000,700,52,110,110,109,110,110,110,110,110,110,110,110,110,110,109,110,110,0,0,0
"52",1000,0.1,0.4,0,1500,1000,700,67,110,110,110,110,109,110,110,110,75,87,43,39,53,34,52,27,83,49,37
"53",1000,0.1,0.4,0,1500,1000,700,57,110,110,110,110,110,110,109,110,110,110,110,110,109,110,110,110,110,110,110
"54",1000,0.1,0.4,0,1500,1000,700,60,110,110,110,109,110,110,110,110,110,110,110,110,65,65,87,87,42,52,52
"55",1000,0.1,0.4,0,1500,1000,700,64,110,110,110,110,110,110,110,110,110,82,36,36,82,49,35,33,54,38,38
"56",1000,0.1,0.4,0,1500,1000,700,53,110,110,110,110,110,110,110,110,109,110,110,110,110,109,110,110,110,110,109
"57",1000,0.1,0.4,0,1500,1000,700,50,110,109,110,110,110,110,110,110,50,42,38,45,58,37,35,44,38,51,39
"58",1000,0.1,0.4,0,1500,1000,700,48,110,109,110,110,110,110,110,110,110,110,71,51,36,58,64,36,51,51,39
"59",1000,0.1,0.4,0,1500,1000,700,54,110,110,109,110,110,110,110,50,65,32,48,48,48,48,48,48,48,82,57
"60",1000,0.1,0.4,0,1500,1000,700,58,110,110,109,110,109,110,110,110,82,43,43,43,43,43,270,110,110,110,61
"61",1000,0.1,0.5,0,1500,1000,700,54,110,110,109,110,110,110,109,109,109,109,51,56,45,37,45,88,32,73,42
"62",1000,0.1,0.5,0,1500,1000,700,56,110,110,110,109,109,109,109,62,62,62,85,85,47,47,86,66,41,31,31
"63",1000,0.1,0.5,0,1500,1000,700,59,110,110,110,109,109,109,109,37,56,40,89,37,54,66,36,50,50,67,36
"64",1000,0.1,0.5,0,1500,1000,700,60,110,109,110,110,110,110,109,109,109,109,56,72,52,61,55,26,26,160,110
"65",1000,0.1,0.5,0,1500,1000,700,62,110,110,110,110,110,110,110,66,48,49,63,56,67,46,53,49,47,88,43
"66",1000,0.1,0.5,0,1500,1000,700,55,110,110,110,110,109,110,110,110,110,110,44,56,36,55,71,40,61,25,25
"67",1000,0.1,0.5,0,1500,1000,700,63,110,110,109,110,110,110,110,110,56,57,37,57,44,44,44,44,44,310,310
"68",1000,0.1,0.5,0,1500,1000,700,64,110,110,110,110,110,110,110,110,110,110,53,61,41,41,41,206,206,49,49
"69",1000,0.1,0.5,0,1500,1000,700,60,110,110,109,110,110,110,109,110,110,110,90,45,47,70,29,51,53,41,56
"70",1000,0.1,0.5,0,1500,1000,700,71,109,110,110,110,110,110,109,110,110,110,110,110,110,110,110,110,110,110,109
"71",1000,0.1,0.6,0,1500,1000,700,58,110,110,110,110,110,110,110,109,109,109,58,46,46,77,78,53,34,37,45
"72",1000,0.1,0.6,0,1500,1000,700,51,110,110,110,110,110,70,47,47,69,60,41,66,41,84,37,37,170,76,62
"73",1000,0.1,0.6,0,1500,1000,700,58,109,110,109,110,110,110,110,110,110,110,83,54,52,45,45,45,45,45,350
"74",1000,0.1,0.6,0,1500,1000,700,61,110,110,110,110,110,110,110,110,67,71,71,71,78,73,55,55,55,55,55
"75",1000,0.1,0.6,0,1500,1000,700,55,110,110,110,110,110,110,110,110,110,110,60,75,48,35,62,62,62,78,38
"76",1000,0.1,0.6,0,1500,1000,700,57,110,110,110,110,110,109,110,110,110,110,110,110,109,109,109,109,72,70,40
"77",1000,0.1,0.6,0,1500,1000,700,54,110,110,110,110,110,110,109,110,110,109,110,110,110,110,110,110,110,110,110
"78",1000,0.1,0.6,0,1500,1000,700,55,110,109,110,110,110,110,109,110,110,110,56,48,53,53,55,70,69,49,45
"79",1000,0.1,0.6,0,1500,1000,700,63,110,110,110,109,110,109,110,110,110,110,110,110,110,110,110,109,110,110,110
"80",1000,0.1,0.6,0,1500,1000,700,61,110,110,110,110,110,110,110,49,48,31,82,39,67,29,29,29,230,110,110
"81",1000,0.1,0.7,0,1500,1000,700,64,110,110,110,110,109,110,110,110,110,56,37,48,55,67,45,37,50,60,47
