"rep","scar","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci"
100,0,0,0,9648.92,-0.183,0.336381727605211,0.0625670013345693,9648.923671875,142.878722174691,26.5754423244925,0.101,0.0224508441721109,0.00417585701601262,0,0,0
100,0,0.1,0,9612.37,-0.08784,0.649832825743776,0.120868905588342,9612.3737109375,270.110691544744,50.2405886273223,0.105,0.0261116483933547,0.00485676660116397,4,2.11297100421337,0.393012606783687
100,0,0.1,0.1,9624.87,-0.11995,0.590201221892358,0.109777427271979,9624.8721484375,246.113578538608,45.777125608181,0.108,0.0307482445914323,0.00571917349400641,3.94,2.1073224909368,0.391961983314245
100,0,0.1,0.2,9565.94,0.01893,0.557387018129951,0.103673985372171,9565.94380859375,231.500917826619,43.0591707157511,0.099,0.0224508441721109,0.00417585701601262,4.62,2.12146318860499,0.394592153080529
100,0,0.1,0.3,9575.42,-0.000319999999999999,0.598831081560088,0.111382581170176,9575.4233203125,247.917469081468,46.1126492491531,0.108,0.0338743966363203,0.00630063777435558,3.98,2.15078092465471,0.400045251985777
100,0,0.1,0.4,9565.66,0.0221,0.648800532762675,0.120676899093858,9565.6605859375,268.657031690669,49.9702078944645,0.105,0.0261116483933547,0.00485676660116397,4.08,2.2503871720756,0.418572014006062
100,0,0.1,0.5,9586.48,-0.02843,0.60477805019693,0.112488717336629,9586.4823828125,251.206844681529,46.7244731107644,0.105,0.0261116483933547,0.00485676660116397,4.02,2.12716912464629,0.395653457184211
100,0,0.1,0.6,9573.9,0.00246,0.609746385761732,0.113412827751682,9573.9001953125,250.898642922638,46.6671475836106,0.105,0.0261116483933547,0.00485676660116397,4.16,1.9731531449265,0.367006484956329
100,0,0.1,0.7,9576.62,-0.00562,0.573109801033278,0.10659842299219,9576.61931640625,235.921480020172,43.8813952837519,0.105,0.021904291355759,0.00407419819217118,4.05,2.1619996355787,0.402131932217638
100,0,0.1,0.8,9532.34,0.10376,0.685202427068531,0.127447651434747,9532.3441796875,283.358418721898,52.7046658822731,0.109,0.0320825954263823,0.00596736274930712,3.92,2.11144069729221,0.392727969696351
