"V1","V2","V3","V4"
200,42.9681029319763,2000,160.54
200,42.5309925079346,4000,226.15
200,43.833172082901,6000,256.37
200,43.3164687156677,8000,275.17
200,42.7901563644409,10000,233.15
200,43.6072044372559,12000,292.3
200,44.2131040096283,14000,317.3
200,43.5019733905792,16000,344.42
200,44.0696706771851,18000,355.13
200,44.3470389842987,20000,405.41
200,44.5100865364075,22000,370.2
200,44.485123872757,24000,397.26
200,44.6836993694305,26000,444.44
200,44.8820822238922,28000,440.6
200,46.0398814678192,30000,473.84
200,45.4961643218994,32000,505.89
200,45.2569260597229,34000,503.34
200,46.5396795272827,36000,543.43
200,47.3631813526154,38000,583.89
200,46.7249531745911,40000,565.7
200,46.8608112335205,42000,608.65
200,46.9842047691345,44000,625.86
200,47.7068238258362,46000,633.31
200,48.5953435897827,48000,685.82
200,48.2120537757874,50000,683.01
200,49.9936974048615,52000,724.45
200,49.6983752250671,54000,734
200,49.5076892375946,56000,756.21
200,49.6696162223816,58000,767.97
200,49.9922969341278,60000,795.35
200,50.2148327827454,62000,806.02
200,50.5948977470398,64000,847.86
200,50.8521199226379,66000,861.03
200,50.9845149517059,68000,873.13
200,51.4405691623688,70000,909.55
200,50.9469316005707,72000,906.09
200,51.1866698265076,74000,919.02
200,51.3113849163055,76000,940.31
200,51.3078293800354,78000,958.18
200,51.3439788818359,80000,964.18
200,51.5235743522644,82000,966.3
200,51.5357956886292,84000,982.6
200,51.5267496109009,86000,987.83
200,51.6549501419067,88000,991
200,51.6166038513184,90000,994.22
200,51.5239951610565,92000,996.01
200,51.6488645076752,94000,998.47
200,51.5629448890686,96000,999.21
200,51.589408159256,98000,999.28
200,51.6658170223236,1e+05,998.04
200,51.6277196407318,102000,999.87
200,51.6888637542725,104000,999.71
200,50.8445219993591,106000,999.83
200,50.6874125003815,108000,999.59
200,50.683331489563,110000,999.71
200,50.6803078651428,112000,999.71
200,50.7086596488953,114000,999.78
200,50.6668100357056,116000,999.77
200,50.6987242698669,118000,999.75
200,50.7042191028595,120000,999.69
200,50.7877378463745,122000,999.84
200,50.7079272270203,124000,999.81
200,50.7711591720581,126000,999.8
200,50.7330162525177,128000,999.59
200,50.755784034729,130000,999.78
200,50.7208750247955,132000,999.78
200,50.6970477104187,134000,999.82
200,50.8285598754883,136000,999.86
200,50.7997393608093,138000,999.74
200,50.8169133663177,140000,999.84
200,50.7797570228577,142000,999.83
200,50.7809412479401,144000,999.83
200,50.7736587524414,146000,999.79
200,50.9016256332397,148000,999.86
200,52.5257878303528,150000,999.73
200,52.1330609321594,152000,999.81
200,51.3637940883636,154000,999.76
200,51.2987809181213,156000,999.69
200,51.4001989364624,158000,999.77
200,51.3184018135071,160000,999.79
200,51.376633644104,162000,999.83
200,51.2921531200409,164000,999.74
200,51.323662519455,166000,999.71
200,51.3464434146881,168000,999.69
200,51.0161139965057,170000,999.74
200,50.7610342502594,172000,999.79
200,50.6897768974304,174000,999.85
200,50.6343288421631,176000,999.73
200,50.607620716095,178000,999.85
200,50.5011088848114,180000,999.86
200,50.4963495731354,182000,999.67
200,50.4855144023895,184000,999.76
200,50.5403242111206,186000,999.84
200,51.2237646579742,188000,999.86
200,51.7425940036774,190000,999.66
200,51.6219017505646,192000,999.86
200,50.6109907627106,194000,999.72
200,50.6451590061188,196000,999.74
200,50.599472284317,198000,999.82
200,51.6269698143005,2e+05,999.86
200,51.658534526825,202000,999.73
200,51.5681855678558,204000,999.81
200,51.7706251144409,206000,999.75
200,51.6242325305939,208000,999.69
200,51.6161527633667,210000,999.78
200,51.6878087520599,212000,999.78
200,51.7127208709717,214000,999.88
200,51.7169375419617,216000,999.88
200,51.7536377906799,218000,999.82
200,51.7146265506744,220000,999.81
200,51.6768391132355,222000,999.84
200,51.734607219696,224000,999.8
200,51.6635546684265,226000,999.86
200,50.7913575172424,228000,999.82
200,50.7445509433746,230000,999.83
200,50.7016537189484,232000,999.69
200,50.7050139904022,234000,999.76
200,50.7822415828705,236000,999.78
200,50.7044494152069,238000,999.76
200,50.6640992164612,240000,999.78
200,50.7873244285583,242000,999.79
200,50.7529919147491,244000,999.75
200,50.7026686668396,246000,999.71
200,50.7138576507568,248000,999.82
200,50.6705369949341,250000,999.74
200,50.6244189739227,252000,999.74
200,50.7745170593262,254000,999.83
200,50.6266033649445,256000,999.82
200,50.6256079673767,258000,999.81
200,50.6551377773285,260000,999.84
200,50.6074819564819,262000,999.79
200,50.6503643989563,264000,999.75
200,51.6778862476349,266000,999.71
200,51.6937232017517,268000,999.8
200,51.6670501232147,270000,999.84
200,50.811341047287,272000,999.69
200,50.6960623264313,274000,999.81
200,50.6596939563751,276000,999.89
200,50.7001106739044,278000,999.75
200,50.8380699157715,280000,999.75
200,50.762752532959,282000,999.76
200,50.7274708747864,284000,999.77
200,50.7715439796448,286000,999.82
200,50.8013439178467,288000,999.69
200,50.7249712944031,290000,999.77
200,50.7945535182953,292000,999.83
200,50.8264019489288,294000,999.83
200,50.7478833198547,296000,999.81
200,50.7783715724945,298000,999.78
