"V1","V2","V3","V4"
200,57.2757787704468,20000,355.32
200,56.5558619499207,1e+05,380.49
200,57.5390539169312,220000,396.61
200,56.107283115387,140000,392.37
200,56.0567166805267,140000,395.69
200,57.3610024452209,280000,400.97
200,56.9449520111084,720000,411.83
200,55.9164488315582,160000,407.37
200,56.5999183654785,3e+05,410.82
200,55.7584097385406,520000,418.58
200,56.7157590389252,320000,421.72
200,55.9341597557068,340000,423.14
200,55.9532771110535,3e+05,429.51
200,55.977813243866,380000,433.07
200,56.8533935546875,3e+05,434.97
200,55.915148973465,340000,435.74
200,56.0460598468781,380000,440.92
200,56.639191865921,460000,444.93
200,57.0326070785522,4e+05,447.81
200,56.8963017463684,4e+05,448.24
200,56.2540664672852,480000,456.71
200,56.3811163902283,640000,457.36
200,56.7939224243164,460000,457.51
200,57.1521024703979,5e+05,467.62
200,57.243509054184,520000,464.66
200,58.4774112701416,7e+05,470.14
200,58.3957653045654,6e+05,472.94
200,57.3612017631531,620000,479.08
200,57.3629894256592,640000,485.36
200,57.5120248794556,880000,484.87
200,57.4322068691254,7e+05,483.69
200,57.5137739181519,660000,492.42
200,57.5912187099457,8e+05,495.72
200,57.6332252025604,740000,499.9
200,57.6196789741516,760000,500.69
200,57.4890646934509,740000,507.99
200,57.1159229278564,760000,508.83
200,57.2365877628326,780000,513.11
200,57.2176299095154,880000,511.13
200,57.1952562332153,860000,516.61
200,57.2862980365753,820000,524.26
200,57.3402543067932,940000,524.98
200,57.3078720569611,940000,530.11
200,57.3589131832123,1040000,528.55
200,57.4350764751434,1060000,538.93
200,57.4154131412506,920000,541.89
200,57.5206985473633,1200000,542.19
200,57.4022274017334,1020000,546.77
200,57.4368782043457,1020000,551.14
200,57.5859260559082,1060000,560.11
200,57.6790466308594,1220000,556.88
200,57.7258489131927,1120000,560.85
200,57.8106806278229,1380000,566.79
200,56.9591407775879,1100000,564.89
200,57.0759642124176,1220000,576.33
200,57.103443145752,1220000,575.28
200,57.0848500728607,1220000,576.41
200,57.1413953304291,1160000,584.03
200,57.1516027450562,1260000,578.58
200,57.2794432640076,1340000,594.03
200,57.2957646846771,1460000,589.98
200,57.3195819854736,1340000,597.78
200,57.3467769622803,1280000,601.83
200,57.4588384628296,1320000,604.47
200,57.4806897640228,1320000,604.39
200,57.5045802593231,1740000,604.1
200,57.5057985782623,1380000,618.77
200,57.6482267379761,1640000,619.62
200,57.6963276863098,1420000,621.19
200,57.7821972370148,1400000,626.6
200,57.7513480186462,1540000,629.55
200,57.8448071479797,1520000,633.08
200,57.9150865077972,1520000,634.23
200,57.8983767032623,1520000,633.78
200,61.0102643450101,1580000,637.4
200,61.0051997264226,1580000,649.32
200,58.8343358039856,1680000,642.74
200,58.8147599697113,1660000,651.9
200,58.8150792121887,1660000,650.87
200,58.8481066226959,1920000,657.82
200,58.9487113952637,1640000,662.23
200,58.9965753555298,1780000,667.2
200,58.9815030097961,2200000,666.79
200,59.0432388782501,1680000,670.22
200,59.2174994945526,1860000,677.79
200,58.3663539886475,1720000,681.86
200,58.2856588363647,1760000,684.15
200,58.3214139938354,1860000,689
200,58.1835083961487,1800000,683.8
200,58.3308930397034,1820000,690.26
200,58.2623410224915,1880000,693.01
200,58.2207908630371,2060000,699.45
200,58.3394763469696,2020000,703.26
200,58.4062416553497,2180000,707.83
200,59.5199403762817,1900000,714.09
200,59.4950091838837,2040000,712.77
200,58.8072452545166,1980000,717.96
200,58.6473689079285,2100000,717.59
200,58.5981652736664,2180000,722.21
200,59.7162039279938,2040000,725.03
200,59.6626527309418,2040000,729.88
200,59.6022608280182,2040000,737.22
200,59.6414415836334,2080000,730.24
200,59.7491035461426,2160000,740.59
200,59.7919864654541,2140000,739.68
200,59.9245223999023,2220000,748.27
200,59.9670267105103,2320000,749.97
200,61.0011164387067,2320000,754.6
200,61.0016676704089,2300000,759.13
200,61.0030669768651,2260000,766.25
200,61.0022024949392,2360000,765.43
200,61.0022213776906,2240000,765.63
200,61.0030908624331,2280000,767.11
200,59.8245856761932,2300000,769.91
200,59.4926345348358,2360000,775.05
200,59.4605758190155,2420000,776.24
200,59.382794380188,2340000,778.02
200,59.4612202644348,2360000,784.72
200,59.5076811313629,2460000,787.39
200,59.5996146202087,2400000,790.79
200,59.587185382843,2480000,794.66
200,59.6392247676849,2460000,799.1
200,59.6263535022736,2540000,799.39
200,59.7105476856232,2640000,801.11
200,59.7694051265717,2540000,806.32
200,59.7480537891388,2600000,809.22
200,59.7073345184326,2560000,811.6
200,59.8201961517334,2560000,819.83
200,59.8193974494934,2580000,818.75
200,59.778783082962,2740000,825.36
200,59.8964908123016,2800000,826.99
200,59.8852925300598,2640000,830.33
200,61.0060155709585,2660000,831.67
200,61.0168922225634,2680000,835.75
200,61.0184299707413,2720000,840.46
200,61.0135645906131,2880000,845.51
200,61.0062351504962,2820000,846.27
200,61.0067621628443,2760000,846.58
200,61.0061919887861,2820000,856.06
200,61.008010049661,2840000,862.06
200,61.0090322534243,3e+06,860.96
200,61.0097557942073,2880000,867.01
200,61.0094063123067,2900000,875.06
200,61.010885155201,2900000,865.64
200,61.0097944339116,2980000,869.77
200,61.0103768626849,3080000,876.5
200,61.0137914141019,2960000,878.07
200,61.0145920197169,2980000,887.47
200,61.0141973137856,2980000,890.43
