"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"58",1000,0.1,0.4,0,20,9,9,6,9,9,25,25,6,24,24,6,9,9,9,9,37,37,6,9
"59",1000,0.1,0.4,0,15,9,9,9,9,6,43,9,9,9,6,6,52,9,9,9,9,6,6,21
"60",1000,0.1,0.4,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,52,9,9,9,9
"61",1000,0.1,0.5,1,16,9,9,9,9,9,6,23,55,55,6,9,9,0,0,0,0,0,0,0
"62",1000,0.1,0.5,0,16,16,6,9,9,34,9,9,9,9,9,30,12,17,17,20,31,31,31,4
"63",1000,0.1,0.5,1,16,9,9,9,6,6,6,30,9,50,50,6,9,9,9,9,9,9,9,0
"64",1000,0.1,0.5,0,17,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,22,9,9
"65",1000,0.1,0.5,0,14,9,9,6,6,6,6,52,52,6,9,9,9,9,9,9,9,9,9,9
"66",1000,0.1,0.5,0,14,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,15,9,9,9
"67",1000,0.1,0.5,0,25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"68",1000,0.1,0.5,0,13,13,6,9,9,9,9,34,9,12,12,12,30,9,9,9,9,9,9,27
"69",1000,0.1,0.5,0,18,9,9,9,9,14,13,9,9,9,9,9,20,9,9,9,6,6,6,50
"70",1000,0.1,0.5,0,16,9,9,9,9,47,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"71",1000,0.1,0.6,0,19,9,9,9,9,9,9,9,5,9,14,15,9,17,15,15,20,20,35,9
"72",1000,0.1,0.6,0,17,9,9,9,9,9,12,9,40,40,41,9,9,9,9,9,9,9,9,9
"73",1000,0.1,0.6,0,20,9,9,9,9,9,5,5,5,31,9,71,9,9,9,9,9,9,9,9
"74",1000,0.1,0.6,0,16,9,9,9,9,9,9,30,9,34,27,9,9,9,9,52,30,14,14,62
"75",1000,0.1,0.6,0,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"76",1000,0.1,0.6,0,16,9,9,9,9,20,20,5,34,9,9,9,9,9,5,5,17,25,12,20
"77",1000,0.1,0.6,1,22,22,5,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0
"78",1000,0.1,0.6,0,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"79",1000,0.1,0.6,0,23,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,9
"80",1000,0.1,0.6,0,14,9,9,9,5,5,62,9,9,9,41,9,9,9,9,9,9,9,9,9
"81",1000,0.1,0.7,0,14,14,5,9,9,9,9,9,9,37,9,9,9,20,20,5,16,16,5,27
"82",1000,0.1,0.7,0,16,9,9,9,9,9,9,9,9,37,9,9,41,41,5,9,9,5,9,9
"83",1000,0.1,0.7,0,13,9,9,9,9,9,9,9,9,4,19,71,9,9,9,9,5,18,43,9
"84",1000,0.1,0.7,0,19,9,9,9,9,9,4,32,9,9,9,58,58,5,9,9,9,9,9,9
"85",1000,0.1,0.7,0,16,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9
"86",1000,0.1,0.7,0,17,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9
"87",1000,0.1,0.7,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"88",1000,0.1,0.7,0,16,9,9,9,9,9,9,20,9,20,20,5,9,9,9,20,20,41,20,20
"89",1000,0.1,0.7,0,15,9,9,9,9,9,9,9,9,9,9,9,9,20,9,27,9,37,20,9
"90",1000,0.1,0.7,0,12,12,5,9,9,9,9,9,9,9,9,27,27,27,4,9,9,9,9,9
"91",1000,0.1,0.8,0,17,9,9,9,9,5,5,5,35,35,5,9,9,9,9,5,9,9,9,9
"92",1000,0.1,0.8,0,14,9,9,9,9,9,5,5,20,20,20,3,9,35,15,40,9,9,50,9
"93",1000,0.1,0.8,0,19,9,9,9,5,5,5,5,5,15,31,30,9,9,9,47,9,9,9,9
"94",1000,0.1,0.8,0,18,9,9,9,9,5,9,9,9,9,5,9,9,5,5,83,9,9,9,20
"95",1000,0.1,0.8,0,16,9,9,9,9,9,9,9,9,12,12,62,9,9,14,9,9,12,12,12
"96",1000,0.1,0.8,1,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"97",1000,0.1,0.8,0,17,9,9,9,12,9,20,9,40,9,9,9,9,9,9,9,9,9,9,9
"98",1000,0.1,0.8,0,15,15,5,9,9,9,9,9,9,9,41,9,9,9,9,9,5,9,9,9
"99",1000,0.1,0.8,0,16,16,5,9,9,9,9,9,9,14,9,9,9,12,9,9,9,3,3,41
"100",1000,0.1,0.8,0,15,9,9,9,9,5,9,9,9,9,9,9,9,9,9,3,3,83,9,9
"101",1000,0.1,0.9,0,18,18,5,9,9,20,20,17,25,9,9,9,9,9,9,33,22,22,35,9
"102",1000,0.1,0.9,0,11,9,9,9,9,9,3,9,9,9,52,9,9,17,9,9,9,9,9,5
"103",1000,0.1,0.9,0,18,18,5,9,9,9,9,9,9,9,9,9,9,9,9,14,52,9,9,25
"104",1000,0.1,0.9,0,15,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,9
"105",1000,0.1,0.9,0,14,9,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"106",1000,0.1,0.9,0,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"107",1000,0.1,0.9,0,18,9,9,9,9,9,9,9,9,9,34,9,17,17,17,35,9,30,14,14
"108",1000,0.1,0.9,0,16,9,9,9,9,9,9,5,5,5,9,9,9,17,12,9,58,58,5,9
"109",1000,0.1,0.9,0,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,5,27,27
"110",1000,0.1,0.9,0,19,19,5,9,9,5,9,9,9,9,9,9,20,9,9,9,9,9,5,9
"111",1000,0.1,1,0,16,16,4,9,9,17,17,4,9,9,9,4,23,23,4,31,22,28,9,9
"112",1000,0.1,1,0,19,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9
"113",1000,0.1,1,0,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"114",1000,0.1,1,0,14,9,9,27,9,9,9,9,9,4,26,9,9,50,58,9,25,9,9,9
"115",1000,0.1,1,1,15,9,9,4,4,76,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"116",1000,0.1,1,0,18,9,9,9,9,9,9,9,9,9,9,9,9,9,37,9,9,9,41,9
"117",1000,0.1,1,0,15,9,9,4,9,22,9,9,30,14,26,26,4,9,14,15,18,37,9,9
"118",1000,0.1,1,0,17,9,9,9,9,9,9,4,9,47,9,9,9,9,9,9,2,32,25,25
"119",1000,0.1,1,0,19,9,9,9,9,9,9,9,9,2,15,40,9,9,9,12,34,9,9,9
"120",1000,0.1,1,0,17,9,9,9,9,9,9,9,9,4,4,4,4,20,22,15,62,62,4,9
"121",1000,0.2,0,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,55,55,9,9,9
"122",1000,0.2,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"123",1000,0.2,0,0,19,9,9,9,9,9,9,9,34,9,9,9,9,9,9,9,9,9,9,9
"124",1000,0.2,0,0,14,9,9,9,9,9,9,9,9,22,9,9,9,9,9,47,62,62,9,9
"125",1000,0.2,0,0,15,9,9,9,9,9,9,29,9,34,34,9,9,9,9,9,9,9,9,9
"126",1000,0.2,0,0,14,9,9,9,9,9,9,9,9,9,45,25,25,9,9,9,9,9,9,9
"127",1000,0.2,0,0,13,9,9,9,9,9,9,9,9,9,9,9,41,41,9,9,9,9,9,9
"128",1000,0.2,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,33,35,9,9,9
"129",1000,0.2,0,1,19,19,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0
"130",1000,0.2,0,0,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"131",1000,0.2,0.1,0,15,15,8,9,9,8,9,9,9,9,7,7,25,25,8,8,8,8,8,8
"132",1000,0.2,0.1,0,15,9,9,9,9,25,9,9,9,9,9,9,9,9,9,9,9,71,71,8
"133",1000,0.2,0.1,0,14,9,9,9,8,8,8,8,8,45,45,8,9,9,9,8,8,8,8,31
"134",1000,0.2,0.1,0,15,9,9,8,23,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9
"135",1000,0.2,0.1,0,17,17,8,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,100,9
"136",1000,0.2,0.1,0,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"137",1000,0.2,0.1,0,13,9,9,9,9,9,9,9,7,27,27,8,8,8,8,8,31,31,31,31
"138",1000,0.2,0.1,0,18,9,9,9,9,9,9,8,9,9,9,9,9,9,71,71,8,9,9,9
"139",1000,0.2,0.1,0,17,9,9,9,7,7,7,7,7,7,100,9,9,9,8,9,9,8,9,9
"140",1000,0.2,0.1,0,17,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,7,9
"141",1000,0.2,0.2,0,18,18,7,7,7,7,7,7,7,7,4,58,58,7,9,9,9,9,9,9
"142",1000,0.2,0.2,0,16,16,7,9,9,9,9,7,9,9,9,7,7,7,6,6,6,25,25,40
"143",1000,0.2,0.2,0,14,9,9,9,9,9,43,43,7,9,9,9,9,9,9,9,9,9,9,9
"144",1000,0.2,0.2,0,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"145",1000,0.2,0.2,0,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"146",1000,0.2,0.2,0,17,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9
"147",1000,0.2,0.2,0,16,16,16,6,9,9,7,7,7,66,9,9,9,9,9,9,9,9,9,9
"148",1000,0.2,0.2,0,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,66,66,7,9
"149",1000,0.2,0.2,0,15,15,7,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9
"150",1000,0.2,0.2,0,15,9,9,9,9,7,7,7,45,9,9,41,9,9,9,9,9,32,32,7
"151",1000,0.2,0.3,0,14,14,14,5,5,5,5,5,25,31,27,27,7,7,7,7,32,32,22,43
"152",1000,0.2,0.3,0,15,9,9,7,9,9,9,9,9,71,9,9,9,7,30,9,9,9,9,9
"153",1000,0.2,0.3,0,18,9,9,9,9,9,9,9,9,5,9,9,9,30,30,30,5,5,5,76
"154",1000,0.2,0.3,0,17,17,7,9,9,9,9,9,5,37,37,37,5,9,9,9,9,9,9,9
"155",1000,0.2,0.3,0,23,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9
"156",1000,0.2,0.3,1,17,9,9,9,9,9,9,9,5,5,76,76,7,9,9,0,0,0,0,0
"157",1000,0.2,0.3,0,15,9,9,9,9,9,9,5,5,5,29,9,9,37,37,37,5,9,9,9
"158",1000,0.2,0.3,0,16,16,16,5,9,9,9,9,9,9,25,9,9,9,9,22,22,7,7,7
"159",1000,0.2,0.3,1,17,9,9,9,9,9,9,9,52,52,7,9,9,9,9,9,9,0,0,0
"160",1000,0.2,0.3,0,15,9,9,9,9,5,9,9,9,7,7,58,9,9,9,9,9,40,37,37
"161",1000,0.2,0.4,0,16,9,9,9,9,9,6,6,6,9,9,9,9,9,9,9,9,9,9,9
"162",1000,0.2,0.4,0,17,9,9,9,9,6,6,25,25,6,41,9,9,9,9,9,40,40,6,9
"163",1000,0.2,0.4,0,15,9,9,9,6,9,9,6,9,9,6,6,24,35,35,6,24,24,6,6
"164",1000,0.2,0.4,0,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"165",1000,0.2,0.4,0,16,9,9,9,9,9,9,27,27,27,5,5,5,43,43,6,9,9,9,9
"166",1000,0.2,0.4,0,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"167",1000,0.2,0.4,0,16,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9
"168",1000,0.2,0.4,0,14,9,9,6,6,6,6,6,24,24,6,32,9,9,9,5,9,9,9,45
"169",1000,0.2,0.4,0,20,9,9,6,9,9,9,9,9,9,22,22,33,33,33,5,5,6,9,9
"170",1000,0.2,0.4,0,13,9,9,9,5,5,5,5,33,9,9,71,9,9,6,6,41,22,71,9
"171",1000,0.2,0.5,0,22,9,9,9,9,9,9,9,9,9,22,35,9,9,6,23,23,23,23,23
"172",1000,0.2,0.5,0,15,9,9,6,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9
"173",1000,0.2,0.5,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,9,9,9
"174",1000,0.2,0.5,0,18,9,9,9,6,9,9,9,9,6,9,9,9,4,9,9,9,25,30,30
"175",1000,0.2,0.5,0,14,9,9,9,4,9,9,9,34,34,34,34,3,9,9,9,6,6,6,6
"176",1000,0.2,0.5,0,19,9,9,6,9,9,6,6,6,6,6,25,25,25,25,25,3,3,34,25
"177",1000,0.2,0.5,0,17,9,27,9,9,9,9,9,9,9,9,9,9,9,9,25,25,22,22,27
"178",1000,0.2,0.5,0,15,9,9,9,9,9,9,9,9,9,9,9,37,34,22,25,25,58,58,6
"179",1000,0.2,0.5,0,16,9,9,9,6,6,6,6,6,6,71,22,22,22,4,9,27,27,27,4
"180",1000,0.2,0.5,0,22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"181",1000,0.2,0.6,1,21,9,9,9,22,22,22,4,43,43,5,9,9,9,9,9,9,0,0,0
"182",1000,0.2,0.6,0,15,15,5,9,9,9,9,9,9,9,2,2,76,9,9,9,9,9,9,9
"183",1000,0.2,0.6,1,17,9,9,9,5,5,52,52,5,9,9,9,9,0,0,0,0,0,0,0
"184",1000,0.2,0.6,1,18,9,9,5,5,5,5,5,5,5,10,83,83,5,9,9,9,9,0,0
"185",1000,0.2,0.6,0,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25,25,32,9,9
"186",1000,0.2,0.6,0,18,9,9,9,9,5,5,26,9,9,9,37,37,5,9,9,9,9,9,9
"187",1000,0.2,0.6,0,17,9,9,9,9,5,5,5,5,100,9,9,5,9,9,9,9,9,9,2
"188",1000,0.2,0.6,0,14,14,14,4,9,9,9,4,4,4,4,100,9,9,9,9,34,9,9,9
"189",1000,0.2,0.6,0,19,9,9,9,9,9,9,9,9,4,4,29,29,5,9,9,9,4,4,4
"190",1000,0.2,0.6,0,15,9,9,9,9,9,25,9,9,9,9,9,4,4,37,52,52,5,9,9
"191",1000,0.2,0.7,0,17,9,9,9,9,9,9,34,9,9,9,9,9,9,15,28,43,43,5,9
"192",1000,0.2,0.7,1,24,9,9,9,45,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0
"193",1000,0.2,0.7,0,17,9,9,9,9,9,9,22,9,9,9,9,9,9,9,9,9,9,9,9
"194",1000,0.2,0.7,0,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"195",1000,0.2,0.7,0,15,9,9,9,9,9,9,9,9,37,37,5,9,9,9,9,9,9,9,9
"196",1000,0.2,0.7,0,16,9,9,9,9,9,9,9,9,9,9,21,9,9,9,52,52,5,9,9
"197",1000,0.2,0.7,0,16,9,9,5,5,5,5,45,9,9,50,50,5,9,9,9,9,9,9,9
"198",1000,0.2,0.7,0,17,17,5,9,9,9,9,9,9,9,9,9,3,3,5,5,58,58,5,9
"199",1000,0.2,0.7,0,16,9,9,9,4,4,5,5,5,38,38,38,38,3,3,5,5,5,5,5
"200",1000,0.2,0.7,0,16,16,5,5,5,4,4,45,25,30,30,5,9,9,5,9,9,5,5,5
"201",1000,0.2,0.8,0,17,9,9,9,9,9,25,9,9,9,5,9,9,9,9,35,9,71,9,9
"202",1000,0.2,0.8,1,27,9,9,9,9,9,9,9,9,9,5,9,9,55,55,5,9,9,0,0
"203",1000,0.2,0.8,0,15,9,9,9,9,9,9,9,9,9,5,9,9,9,5,38,9,9,9,9
"204",1000,0.2,0.8,0,22,9,9,9,9,9,3,3,33,33,33,33,2,9,9,9,9,9,9,9
"205",1000,0.2,0.8,0,17,17,5,9,9,9,5,5,33,9,9,9,27,27,5,5,5,5,23,50
"206",1000,0.2,0.8,0,14,9,9,9,5,5,5,5,5,22,33,33,5,5,55,55,5,9,9,9
"207",1000,0.2,0.8,0,17,9,9,9,9,3,3,3,35,35,35,3,9,9,9,9,9,9,9,9
"208",1000,0.2,0.8,0,16,9,9,5,9,9,9,9,9,9,5,9,9,9,9,5,9,9,9,9
"209",1000,0.2,0.8,0,19,9,9,9,9,9,25,9,9,9,9,9,25,58,58,5,9,9,9,9
"210",1000,0.2,0.8,0,22,9,9,9,9,9,9,9,3,3,3,3,52,25,40,40,5,9,9,9
"211",1000,0.2,0.9,0,13,9,9,9,9,27,27,27,3,3,3,3,34,100,9,9,9,9,9,9
"212",1000,0.2,0.9,0,16,9,9,9,9,41,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"213",1000,0.2,0.9,0,18,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,35,9,9,9
"214",1000,0.2,0.9,0,21,9,9,9,5,5,5,5,22,27,27,90,9,9,9,9,9,9,9,9
"215",1000,0.2,0.9,0,16,9,9,9,9,9,9,5,5,43,9,9,37,33,9,9,9,5,5,24
"216",1000,0.2,0.9,0,13,9,9,9,9,9,9,22,22,5,9,9,9,9,5,5,5,62,32,9
"217",1000,0.2,0.9,0,18,9,9,9,9,5,27,34,9,9,9,9,9,9,9,9,9,5,9,9
"218",1000,0.2,0.9,0,19,9,9,9,9,9,9,9,5,5,43,9,9,9,9,9,9,9,5,9
"219",1000,0.2,0.9,0,20,9,9,9,9,9,9,9,9,5,5,22,22,22,22,2,9,22,30,9
"220",1000,0.2,0.9,0,15,15,5,9,9,9,9,9,9,11,11,32,32,22,22,22,22,2,9,9
"221",1000,0.2,1,0,20,9,9,4,9,9,4,4,4,38,38,4,9,9,9,3,3,31,43,43
"222",1000,0.2,1,0,16,16,4,9,9,9,9,9,9,4,4,38,25,30,30,30,3,9,9,9
"223",1000,0.2,1,0,13,9,9,9,9,9,4,9,9,4,4,4,4,22,22,41,41,33,9,9
"224",1000,0.2,1,0,15,9,9,9,9,4,4,4,26,26,4,4,29,29,29,3,3,3,100,9
"225",1000,0.2,1,0,16,9,9,9,9,9,9,9,4,4,71,9,9,9,9,25,25,4,9,9
"226",1000,0.2,1,1,43,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"227",1000,0.2,1,0,18,9,9,9,9,9,9,9,9,9,9,9,9,17,17,17,3,31,31,31
"228",1000,0.2,1,0,17,9,9,9,9,9,3,31,31,4,9,9,9,9,9,3,9,9,52,52
