"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,1000,0,0,0.03,-0.178,0.328565687819226,0.0611132179343761,0.288,0.236702860868715,0.044026732121581,9647.993,132.367763438864,24.6204039996288,0.096,0.0242027799051667,0.00450171706236101,0,0,0,0.04,0.196946385566932,0.0366320277154494
100,1000,0.1,0,0.06,-0.26,0.373362360749236,0.0694453990993578,0.35,0.289097790417434,0.0537721890176427,9683.169,150.238711698705,27.9444003759592,0.094,0.0214503509627867,0.00398976527907832,0.166,0.113742480789325,0.0211561014268144,0.001,0.00703526470681448,0.00130855923546749
100,1000,0.1,0.1,0.09,-0.343,0.38219019275008,0.0710873758515149,0.407,0.312995361891605,0.0582171373118385,9714.845,155.745937787347,28.9687444284465,0.097,0.0221956520856616,0.00412839128793306,0.177,0.104010296439361,0.0193459151377211,0.001,0.00703526470681448,0.00130855923546749
100,1000,0.1,0.2,0.04,-0.287,0.32917882202336,0.0612272608963449,0.345,0.267417668817824,0.0497396864001153,9681.06,145.207773487773,27.0086458687258,0.095,0.0227249830724204,0.0042268468514702,0.162,0.121724768194149,0.0226408068841116,0.002,0.0121439181269781,0.00225876877161793
100,1000,0.1,0.3,0.09,-0.231,0.364690263487837,0.0678323890087378,0.329,0.278131653296881,0.0517324875132199,9666.513,143.962120980946,26.776954502456,0.095,0.0204707463245445,0.00380755881636527,0.189,0.111554329980542,0.0207491053763809,0.002,0.011314263202793,0.0021044529557195
100,1000,0.1,0.4,0.09,-0.292,0.378636280257548,0.070426348127904,0.373,0.298572718584315,0.0555345256566825,9693.048,149.372436371965,27.7832731651855,0.096,0.0218428009074891,0.00406276096879298,0.172,0.102327151688477,0.0190328502140567,0.002,0.0109521456778795,0.00203709909608559
100,1000,0.1,0.5,0.04,-0.246,0.347469989983875,0.0646294181370007,0.325,0.27425497168684,0.0510114247337523,9671.456,143.90023460539,26.7654436366025,0.098,0.0234602698979418,0.00436361020101717,0.179,0.103467077873573,0.0192448764844846,0,0.005,0.00093
100,1000,0.1,0.6,0.02,-0.278,0.356840240262652,0.0663722846888532,0.36,0.273009945243795,0.050779849815346,9686.213,139.666855686397,25.9780351576698,0.095,0.022021085100108,0.00409592182862009,0.166,0.106425514691182,0.0197951457325599,0.001,0.00703526470681448,0.00130855923546749
100,1000,0.1,0.7,0.05,-0.257,0.340195362173626,0.0632763373642944,0.318,0.283840206148218,0.0527942783435685,9677.105,141.14251775378,26.252508302203,0.098,0.0225439622023371,0.00419317696963469,0.174,0.105872238932907,0.0196922364415207,0.001,0.00703526470681448,0.00130855923546749
100,1000,0.1,0.8,0.05,-0.3,0.34664735071478,0.0644764072329491,0.355,0.289605802965188,0.0538666793515249,9689.035,145.32304459277,27.0300862942553,0.094,0.0230837322153791,0.00429357419206052,0.164,0.116629904560001,0.0216931622481602,0.003,0.0138898989531707,0.00258352120528975
