"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"48",10,9767,13847,10016,14,0.382488019169329,0.5,0,14,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"49",10,9767,13847,10016,14,0.7,0.5,0,15,15,15,15,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"50",10,9767,13847,10016,14,1,0.5,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"51",11,4230,4630,3998,17,0,0.5,0,16,71,27,9,55,100,9,9,21,100,9,9,66,40,100,9,33,71,9,66
"52",11,4230,4630,3998,17,0.1,0.5,0,15,83,83,6,9,41,9,9,100,41,9,50,62,33,43,52,66,40,40,40
"53",11,4230,4630,3998,17,0.15807903951976,0.5,0,21,50,50,50,50,50,50,50,2,9,9,9,52,52,6,90,9,9,9,100
"54",11,4230,4630,3998,17,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"55",11,4230,4630,3998,17,1,0.5,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"56",12,8646,8221,5229,5,0,0.5,0,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"57",12,8646,8221,5229,5,0.1,0.5,0,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"58",12,8646,8221,5229,5,0.572193536048958,0.5,0,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"59",12,8646,8221,5229,5,0.7,0.5,0,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"60",12,8646,8221,5229,5,1,0.5,0,16,16,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"61",13,2552,2633,2175,12,0,0.5,0,15,71,25,9,9,76,32,9,9,90,9,23,23,10,58,62,9,33,32,71
"62",13,2552,2633,2175,12,0.1,0.5,0,15,55,27,28,30,100,9,23,23,62,9,40,40,40,27,26,26,55,30,71
"63",13,2552,2633,2175,12,0.210574712643678,0.5,0,16,100,9,9,9,9,9,100,100,6,9,9,9,9,6,6,6,6,76,76
"64",13,2552,2633,2175,12,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"65",13,2552,2633,2175,12,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"66",14,4728,3416,2748,48,0,0.5,0,15,9,12,9,10,38,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"67",14,4728,3416,2748,48,0.1,0.5,1,16,21,21,6,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0
"68",14,4728,3416,2748,48,0.243085880640466,0.5,1,19,31,31,6,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",14,4728,3416,2748,48,0.7,0.5,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,9,9,9,9,0
"70",14,4728,3416,2748,48,1,0.5,1,17,17,17,17,17,17,17,17,2,0,0,0,0,0,0,0,0,0,0,0
"71",15,9267,10063,6535,37,0,0.5,0,17,100,45,18,40,40,12,34,52,9,66,9,9,71,11,71,34,9,35,62
"72",15,9267,10063,6535,37,0.1,0.5,0,15,83,76,9,34,33,28,28,71,71,6,9,9,9,62,20,29,29,35,40
"73",15,9267,10063,6535,37,0.539862280030605,0.5,1,14,100,100,100,4,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"74",15,9267,10063,6535,37,0.7,0.5,1,16,100,100,100,4,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
