"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"53",53,1000,0,0,0,-0.2065,0.2065,34621.1875,0.0641580564088244,0,7189739
"54",54,1000,0,0,1,-0.953,0.953,39754.75,0.0105210420841683,0,17739583
"55",55,1000,0,0,1,-0.9895,0.9895,39970,0.0045,0,20363237
"56",56,1000,0,0,0,0.262,0.262,33212.84375,0.0775986179095882,0,6014701
"57",57,1000,0,0,1,-0.9695,0.9695,39898.25,0.0065,0,18421631
"58",58,1000,0,0,0,-0.303,0.303,35134.9375,0.0652023760187871,0,11542667
"59",59,1000,0,0,0,-0.373,0.373,39778.25,0.00901803607214429,0,8717938
"60",60,1000,0,0,0,0.325,0.325,34299.25,0.08342673017652,0,5853839
"61",61,1000,0,0,0,-0.0325,0.0325,40000,0,0,7659397
"62",62,1000,0,0,0,0.0700000000000001,0.0700000000000001,30921.125,0.0641463510383543,0,10811178
"63",63,1000,0,0,0,-0.239,0.239,33513.84375,0.0881132885138035,0,8169533
"64",64,1000,0,0,0,0.3305,0.3305,34555.25,0.0762190862093056,0,8051236
"65",65,1000,0,0,0,0.0105,0.0105,34096.96875,0.0643079977311401,0,6456759
"66",66,1000,0,0,0,-0.283,0.283,32687.59375,0.078058452048759,0,8123874
"67",67,1000,0,0,0,-0.543,0.543,39767,0.00901803607214429,0,12051485
"68",68,1000,0,0,0,-0.005,0.005,34998.125,0.0569397473945752,0,6354653
"69",69,1000,0,0,1,-0.92,0.92,39127.25,0.0242914979757085,0,13986151
"70",70,1000,0,0,0,0.0249999999999999,0.0249999999999999,35536.0625,0.0546098324935313,0,6796562
"71",71,1000,0,0,0,0.4455,0.4455,31883.421875,0.0790268456375839,0,13298816
"72",72,1000,0,0,0,-0.447,0.447,35203.703125,0.0595254517864533,0,10130638
"73",73,1000,0,0,0,0.1645,0.1645,35000.71875,0.0731306491372227,0,7163594
"74",74,1000,0,0,0,-0.2495,0.2495,40000,0,0,9452168
"75",75,1000,0,0,0,-0.134,0.134,31590.921875,0.0940287226001512,0,9521360
"76",76,1000,0,0,0,-0.342,0.342,32600.75,0.109777263523286,0,9371989
"77",77,1000,0,0,0,-0.3435,0.3435,34607.25,0.0825783972125436,0,8429242
"78",78,1000,0,0,0,-0.1625,0.1625,34529.375,0.0760088446655611,0,7349548
"79",79,1000,0,0,0,0.4075,0.4075,34250.40625,0.110050181209925,0,7546723
"80",80,1000,0,0,0,0.2,0.2,33690.34375,0.0761553870367721,0,6915400
"81",81,1000,0,0,0,0.208,0.208,34134.125,0.0808885163453479,0,6940873
"82",82,1000,0,0,1,-0.9895,0.9895,39994,0.002,0,20581517
"83",83,1000,0,0,0,-0.297,0.297,31969.75,0.103640304978323,0,7948157
"84",84,1000,0,0,0,0.198,0.198,33957.9375,0.0936348171250354,0,6919943
"85",85,1000,0,0,0,-0.261,0.261,33554.34375,0.0729791488146244,0,9686420
"86",86,1000,0,0,0,0.5375,0.5375,33394.09375,0.070993031358885,0,9190043
"87",87,1000,0,0,0,-0.0915,0.0915,35863.6875,0.0540431266846361,0,10264479
"88",88,1000,0,0,0,0.43,0.43,34748.65625,0.053015427769986,0,10605977
"89",89,1000,0,0,0,-0.1235,0.1235,36069.25,0.0511195036417588,0,6999531
"90",90,1000,0,0,0,0.4545,0.4545,34492.5625,0.0759724757758742,0,7671645
"91",91,1000,0,0,1,-0.9585,0.9585,39737.5,0.00951427140711067,0,16627477
"92",92,1000,0,0,0,-0.0865,0.0865,35118.21875,0.0663279318868443,0,8834499
