0	1000	1	0.1	0.8	1	2	2000	1000	16	9	83	9	9	100	9	9	100	100	3	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	0	4	2000	1000	16	71	9	9	58	9	9	100	5	71	9	9	71	9	9	100	5	83	9	9
0	1000	1	0.1	0.8	1	6	2000	1000	18	9	100	9	9	100	100	3	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	0	8	2000	1000	16	9	45	9	58	9	9	100	9	9	100	5	52	9	9	100	9	43	43	5
0	1000	1	0.1	0.8	1	10	2000	1000	15	9	100	9	9	100	100	3	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	12	2000	1000	15	66	9	9	50	9	9	100	100	3	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	14	2000	1000	15	66	9	9	100	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	16	2000	1000	14	9	83	9	9	100	5	66	9	9	83	9	9	100	100	3	0	0	0	0
0	1000	1	0.1	0.8	1	18	2000	1000	14	27	47	9	9	100	100	3	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	20	2000	1000	18	9	52	9	9	100	5	71	9	9	90	9	9	100	100	3	0	0	0	0
0	1000	1	0.1	0.8	1	22	2000	1000	15	66	9	9	38	38	5	9	9	100	9	37	9	52	9	9	100	100	3	0
0	1000	1	0.1	0.8	1	24	2000	1000	16	9	30	52	9	9	90	9	9	100	100	3	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	26	2000	1000	17	58	9	9	27	100	9	9	43	43	5	9	9	9	9	0	0	0	0	0
0	1000	1	0.1	0.8	0	28	2000	1000	16	9	100	9	9	100	5	90	9	9	100	9	9	100	5	76	9	9	58	9
0	1000	1	0.1	0.8	1	30	2000	1000	20	9	9	100	5	76	9	9	90	9	9	100	100	3	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	32	2000	1000	14	9	100	9	9	100	5	90	9	9	100	100	5	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	34	2000	1000	13	9	100	9	9	100	100	3	0	0	0	0	0	0	0	0	0	0	0	0
0	1000	1	0.1	0.8	1	36	2000	1000	21	9	9	100	5	90	9	9	100	9	25	47	9	9	100	100	3	0	0	0
0	1000	1	0.1	0.8	0	38	2000	1000	17	9	100	9	9	100	9	66	9	9	100	9	34	40	9	35	100	9	9	100
0	1000	1	0.1	0.8	0	40	2000	1000	16	9	100	9	52	9	26	45	9	9	100	5	76	9	9	100	9	33	47	9
