"V1","V2","V3","V4"
40,7.08936190605164,120,290
40,8.44328355789185,200,354.1
40,8.42825531959534,280,540.6
40,8.80885934829712,360,679.9
40,8.85416388511658,440,715.5
40,8.85246229171753,520,750.7
40,8.85101532936096,600,712.7
40,9.16751766204834,680,888
40,9.06844067573547,760,777
40,9.21179819107056,840,882.3
40,9.18124175071716,920,871.7
40,9.17243337631226,1000,891.6
40,9.22325778007507,1080,926.4
40,9.30669236183167,1160,931.7
40,9.30688071250916,1240,959.8
40,9.29862880706787,1320,973.5
40,9.37533760070801,1400,975.3
40,9.34022116661072,1480,980.4
40,9.37983727455139,1560,974.8
40,9.44662594795227,1640,978.4
40,9.63098549842834,1720,977.5
40,9.73677253723145,1800,1000
40,9.68481469154358,1880,956.4
40,9.51907444000244,1960,989.4
40,9.58154606819153,2040,994.6
40,9.53613305091858,2120,1000
40,9.48321723937988,2200,1000
40,9.47597980499268,2280,989
40,9.40967011451721,2360,992.8
40,9.39337921142578,2440,1000
40,9.41319561004639,2520,996.2
40,9.51500082015991,2600,1000
40,9.51265978813171,2680,1000
40,9.48457050323486,2760,1000
40,9.51868104934692,2840,1000
40,9.45410442352295,2920,1000
40,9.46073913574219,3000,998.7
40,9.52899146080017,3080,1000
40,9.48996925354004,3160,1000
40,9.5079460144043,3240,1000
40,9.56624341011047,3320,1000
40,9.50153207778931,3400,1000
40,9.51564335823059,3480,1000
40,9.59562611579895,3560,1000
40,9.54553246498108,3640,1000
40,9.53944492340088,3720,1000
40,9.59874415397644,3800,1000
40,9.56969475746155,3880,1000
40,9.589515209198,3960,1000
40,9.58430504798889,4040,1000
40,9.59381079673767,4120,1000
40,9.58931469917297,4200,1000
40,9.65010809898376,4280,1000
40,9.59069228172302,4360,1000
40,9.67721390724182,4440,1000
40,9.63786792755127,4520,1000
40,9.58762240409851,4600,999.9
40,9.59186840057373,4680,1000
40,9.67177534103394,4760,1000
40,9.61618757247925,4840,1000
40,9.65884900093079,4920,1000
40,9.66546773910522,5000,1000
40,9.63857507705688,5080,1000
40,9.66876578330994,5160,1000
40,9.68682146072388,5240,1000
40,9.66423988342285,5320,1000
40,9.65037631988525,5400,1000
40,9.63439130783081,5480,1000
40,9.62428379058838,5560,1000
40,9.61872673034668,5640,1000
40,9.70695042610168,5720,1000
40,9.74008870124817,5800,1000
40,9.84330534934998,5880,1000
40,9.74044847488403,5960,1000
40,9.72087407112122,6040,1000
40,9.71289753913879,6120,1000
40,9.77673172950745,6200,1000
40,9.75405168533325,6280,1000
40,9.71002268791199,6360,1000
40,9.81601023674011,6440,1000
40,9.72722482681274,6520,1000
40,9.72292637825012,6600,1000
40,9.83398818969727,6680,1000
40,9.77301549911499,6760,1000
40,9.8462438583374,6840,1000
40,9.81102347373962,6920,1000
40,9.80894184112549,7000,1000
40,9.79384398460388,7080,1000
40,9.81297373771667,7160,1000
40,9.77607893943787,7240,1000
40,9.85424518585205,7320,1000
40,9.90814399719238,7400,1000
40,9.81230926513672,7480,1000
40,9.86676549911499,7560,1000
40,9.89337778091431,7640,1000
40,9.93999886512756,7720,1000
40,9.86431956291199,7800,1000
40,9.90795874595642,7880,1000
40,9.87312245368958,7960,1000
40,9.89568662643433,8040,1000
40,9.93745732307434,8120,1000
40,9.90830779075623,8200,1000
40,9.92239999771118,8280,1000
40,9.93869304656982,8360,1000
40,9.90940880775452,8440,1000
40,9.94932794570923,8520,1000
40,9.99337267875671,8600,1000
40,10.0206263065338,8680,1000
40,9.95321941375732,8760,1000
40,10.0136606693268,8840,1000
40,9.99451684951782,8920,1000
40,9.97467160224915,9000,1000
40,10.057136297226,9080,1000
40,10.0245521068573,9160,1000
40,10.0291655063629,9240,1000
40,10.0144937038422,9320,1000
40,10.0701637268066,9400,1000
40,10.0849802494049,9480,1000
40,10.1243007183075,9560,1000
40,10.3328762054443,9640,1000
40,10.2510857582092,9720,1000
40,10.2992143630981,9800,1000
40,10.4950726032257,9880,1000
40,10.3524878025055,9960,1000
40,10.2375993728638,10040,1000
40,10.2570354938507,10120,1000
40,10.2786922454834,10200,1000
40,10.1313369274139,10280,1000
40,10.1067905426025,10360,1000
40,10.0870747566223,10440,1000
40,10.1415801048279,10520,1000
40,10.1124761104584,10600,1000
40,10.1332981586456,10680,1000
40,10.1622321605682,10760,1000
40,10.1793007850647,10840,1000
40,10.2162058353424,10920,1000
40,10.2287700176239,11000,1000
40,10.125866651535,11080,1000
40,10.2132344245911,11160,1000
40,10.2276511192322,11240,1000
40,10.2845752239227,11320,1000
40,10.1943421363831,11400,1000
40,10.2983040809631,11480,999.9
40,10.3170552253723,11560,1000
40,10.3312745094299,11640,1000
40,10.2501430511475,11720,1000
40,10.2800533771515,11800,1000
40,10.283754825592,11880,1000
40,10.4159858226776,11960,1000
40,10.309807062149,12040,1000
40,10.2387497425079,12120,1000
40,10.3956570625305,12200,1000
40,10.3006057739258,12280,1000
40,10.3181576728821,12360,1000
40,10.3699984550476,12440,1000
40,10.2792565822601,12520,1000
40,10.3270812034607,12600,1000
40,10.3770334720612,12680,1000
40,10.3058562278748,12760,1000
40,10.3389678001404,12840,1000
40,10.3476448059082,12920,1000
40,10.3677320480347,13000,1000
40,10.4274802207947,13080,1000
40,10.4128768444061,13160,1000
40,10.4028491973877,13240,1000
40,10.3871338367462,13320,1000
40,10.4228363037109,13400,1000
40,10.3945329189301,13480,1000
40,10.3897747993469,13560,1000
40,10.5002150535583,13640,1000
40,10.4781308174133,13720,1000
40,10.4754219055176,13800,1000
40,10.5061011314392,13880,1000
40,10.4698994159698,13960,1000
40,10.5251727104187,14040,1000
40,10.4836091995239,14120,1000
40,10.4435617923737,14200,1000
40,10.4021728038788,14280,1000
40,10.4692976474762,14360,1000
40,10.4202070236206,14440,1000
40,10.4268634319305,14520,1000
40,10.4841594696045,14600,999.9
40,10.4475162029266,14680,1000
40,10.4374153614044,14760,1000
40,10.4878327846527,14840,1000
40,10.4597961902618,14920,1000
40,10.4497156143188,15000,1000
40,10.563622713089,15080,1000
40,10.795590877533,15160,1000
40,10.6408267021179,15240,1000
40,10.6407771110535,15320,1000
40,10.5985667705536,15400,1000
40,10.6710448265076,15480,999.9
40,10.6931083202362,15560,1000
40,10.6710064411163,15640,1000
40,10.7429959774017,15720,1000
40,10.5888733863831,15800,1000
40,10.7059824466705,15880,1000
40,10.7971773147583,15960,1000
