"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"64",64,1000,0,0,0,0.332,0.332,34804.65625,0.0764317945157931,0,8242073
"65",65,1000,0,0,0,-0.4065,0.4065,36456.375,0.0524075552008513,0,15489048
"66",66,1000,0,0,1,-0.9715,0.9715,39713,0.0135202804206309,0,17922855
"67",67,1000,0,0,0,0.518,0.518,34090.65625,0.0900621118012422,0,9639468
"68",68,1000,0,0,0,-0.2585,0.2585,31751.328125,0.111512667660209,0,9266801
"69",69,1000,0,0,0,-0.314,0.314,33307.75,0.059498728659644,0,7665725
"70",70,1000,0,0,1,-0.953,0.953,39742.5,0.012012012012012,0,18951794
"71",71,1000,0,0,0,0.472,0.472,30964.2109375,0.109790583919291,0,9965952
"72",72,1000,0,0,0,-0.4135,0.4135,33166.546875,0.0679470391386585,0,9061906
"73",73,1000,0,0,0,-0.228,0.228,33222.6875,0.0704240907082904,0,7623614
"74",74,1000,0,0,0,-0.46,0.46,39123,0.0349218356026223,0,11868824
"75",75,1000,0,0,0,0.15,0.15,40000,0,0,6511752
"76",76,1000,0,0,0,-0.239,0.239,40000,0,0,8848858
"77",77,1000,0,0,0,0.6145,0.6145,34280.6875,0.0941358024691358,0,10425608
"78",78,1000,0,0,0,-0.014,0.014,35721.1875,0.0671560630777596,0,8189962
"79",79,1000,0,0,0,-0.438,0.438,40000,0,0,7648239
"80",80,1000,0,0,0,-0.3855,0.3855,39862,0.0085,0,9880069
"81",81,1000,0,0,0,0.28,0.28,33521.1875,0.0761168136475351,0,6885710
"82",82,1000,0,0,0,-0.493,0.493,32289.125,0.134878973461651,0,8724588
"83",83,1000,0,0,0,-0.418,0.418,35455.625,0.0499416088479769,0,9308531
"84",84,1000,0,0,0,-0.2375,0.2375,39404.125,0.0171370967741935,0,8272024
"85",85,1000,0,0,0,0.173,0.173,33491.65625,0.0620445855277397,0,7371104
"86",86,1000,0,0,0,-0.352,0.352,32395.328125,0.117659907532127,0,6675687
"87",87,1000,0,0,0,0.123,0.123,34476.6875,0.0729267953882484,0,8370276
"88",88,1000,0,0,0,-0.159,0.159,32128.40625,0.0865807316891439,0,7890521
"89",89,1000,0,0,0,-0.29,0.29,34754.71875,0.075849682232661,0,6282965
"90",90,1000,0,0,0,-0.4845,0.4845,35507.09375,0.054802027675024,0,8101951
"91",91,1000,0,0,0,0.7265,0.7265,31941.125,0.0834977986943981,0,9669967
"92",92,1000,0,0,0,0.181,0.181,35264.625,0.0826368293340523,0,6574464
"93",93,1000,0,0,0,-0.2005,0.2005,33573.1875,0.0654057175859082,0,8080579
"94",94,1000,0,0,0,-0.2995,0.2995,35048.9375,0.0674838176559703,0,8246204
"95",95,1000,0,0,0,0.264,0.264,34781.28125,0.0624304783092325,0,7413678
"96",96,1000,0,0,0,-0.239,0.239,31043.15625,0.0840821068938807,0,6436999
"97",97,1000,0,0,0,-0.338,0.338,34063.8125,0.0862660043377877,0,8831168
"98",98,1000,0,0,0,0.137,0.137,39928,0.0045,0,9364934
"99",99,1000,0,0,0,-0.3635,0.3635,32125.15625,0.10197197716658,0,9276252
"100",100,1000,0,0,0,0.456,0.456,34107.46875,0.0665667808219178,0,7039460
"101",1,1000,0.1,0.2,0,-0.319,0.319,34414.875,0.0736842105263158,0,8158527
"102",2,1000,0.1,0.2,0,0.764,0.764,34297.78125,0.0602972399150743,0,9435772
"103",3,1000,0.1,0.2,0,-0.34,0.34,39970,0.0025,0,7755990
