"rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","overK_tot","overK_sd","overK_95ci_inf","overK_95ci_sup"
100,1000,0,0,0.12,0.104777956660837,0.06,0.19,-0.234895,0.13744972864283,-0.32131,-0.153335,0.398595,0.0851707755981113,0.3472,0.450975,35638.911953125,951.073188327341,35016.74046875,36217.47046875,0.0581271984215061,0.0111025326297101,0.0512382546842356,0.0648856029514226,0,0,0,0,0.292391981556455,0.0297300581247356,0.273726495726496,0.310703947368421
100,1000,0.1,0,0.28,0.14812426874047,0.19,0.37,-0.217525,0.154493344356475,-0.313705,-0.126485,0.413215,0.0982087035322872,0.356995,0.476265,36240.619453125,1040.71587112165,35631.119921875,36877.10140625,0.0497594531958214,0.011256349332187,0.0431717713714143,0.056894575281914,0.10899772286537,0.0221302185195526,0.0958236763236763,0.122761904761905,0.297957608567903,0.0307232945413164,0.277387112887113,0.316220731066319
100,1000,0.1,0.1,0.3,0.140716316815719,0.22,0.38,-0.15609,0.145301016918796,-0.240015,-0.0675,0.36217,0.10335567464935,0.298365,0.426225,36664.58671875,960.218062371114,36064.6425,37256.78609375,0.0463037821644515,0.0115311326080045,0.0390997370486073,0.0534675380628587,0.121035886456165,0.0259236994603485,0.105780835951115,0.137571428571429,0.300791947775307,0.0292371188546804,0.282619588615719,0.318835831523138
100,1000,0.1,0.2,0.27,0.144916221007557,0.18,0.36,-0.22328,0.13144226919222,-0.306,-0.14432,0.37399,0.0963704411409851,0.3122,0.43461,36425.46921875,954.746255183596,35852.47390625,37032.19296875,0.0489997373938416,0.011225999407504,0.0423848177261607,0.0561952255228116,0.105579945338459,0.0235488839717004,0.0918488529014845,0.120415921496804,0.290302207682239,0.0261974923096049,0.272934686314717,0.305630565341092
100,1000,0.1,0.3,0.21,0.128871966844554,0.13,0.29,-0.13887,0.139760157208445,-0.226155,-0.05744,0.34964,0.0960200961879711,0.286675,0.40623,36250.89265625,982.951504221969,35668.6059375,36855.23859375,0.048428518039926,0.0116038278111703,0.0417180508861224,0.0559396366946935,0.124864675529149,0.0230200290045673,0.111000943500943,0.14004396991897,0.307218894409684,0.0281797259578019,0.288778083028083,0.324536798727588
100,1000,0.1,0.4,0.33,0.148812644053867,0.24,0.42,-0.20367,0.143177735628931,-0.282015,-0.11303,0.37174,0.103876233193954,0.306955,0.43581,36575.34,925.182731204079,35996.4221875,37129.96765625,0.0476065506140782,0.0116094745976425,0.0404055058064439,0.0549741943151097,0.114505688712732,0.0240626597235468,0.0996184460963873,0.128825755943403,0.303438323845058,0.0266487431638203,0.287080666882137,0.320266465560583
100,1000,0.1,0.5,0.37,0.154029116360734,0.28,0.47,-0.272435,0.146576390129078,-0.372175,-0.188385,0.419725,0.107834765740002,0.354185,0.4858,36782.06921875,960.535817174481,36162.87921875,37376.61078125,0.0460849430866384,0.0118567761163452,0.0385511882054141,0.0532198316887163,0.101895643915768,0.0239524779150965,0.087004244293718,0.116426730476266,0.283679012679787,0.0286238945618438,0.266128123424563,0.300198145507743
100,1000,0.1,0.6,0.19,0.12451534731579,0.11,0.26,-0.176925,0.138276842409959,-0.259225,-0.0923,0.363075,0.0950693530297697,0.30527,0.421595,35881.124140625,991.207543517555,35278.76515625,36521.183984375,0.0538542147279654,0.0114512175337353,0.046925356757377,0.0610194231200329,0.106767686261107,0.0221353955341807,0.0938320802005013,0.122236842105263,0.299315096453254,0.0242724249334677,0.283630050505051,0.313024758866864
100,1000,0.1,0.7,0.28,0.139189279599959,0.2,0.37,-0.21699,0.138129471334942,-0.305745,-0.133875,0.38153,0.0965133289554368,0.317325,0.439165,36530.680859375,1078.20528006101,35858.02140625,37244.49015625,0.0470245800436651,0.0119627975165824,0.0394554119711054,0.054903484117717,0.105194402346879,0.0215902366597253,0.0925825049133873,0.118843309167613,0.284769226172864,0.0249613365313891,0.269954105835685,0.30027355079561
100,1000,0.1,0.8,0.29,0.14099072252593,0.2,0.38,-0.246635,0.146334920335562,-0.343495,-0.16048,0.409255,0.1024248816469,0.345975,0.472415,36199.7475,978.242155804133,35602.3975,36759.73875,0.0495378362733462,0.0107479636729454,0.0431895516127528,0.0558342223151848,0.101329637467795,0.0253299676245039,0.0855261544011544,0.116881224769383,0.297251861442651,0.029404489740036,0.279683138498928,0.314824802390592
