"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
2,1,1000,0.8,0,0,1,-0.979,0.979,39868.25,0.01225,0,8666,7
3,1,1000,0.8,0,0,1,-0.95,0.95,39576,0.0160642570281124,0,8488,8
4,1,1000,0.8,0,0,1,-0.949,0.949,39494.25,0.0180904522613065,0,8393,8
5,1,1000,0.8,0,0,1,-0.8825,0.8825,39447,0.021608040201005,0,8977,12
6,1,1000,0.8,0,0,1,-0.99,0.99,40000,0,0,14916,18
7,1,1000,0.8,0,0,1,-0.9915,0.9915,39976,0.004,0,13034,15
8,1,1000,0.8,0,0,1,-0.956,0.956,39874.5,0.00900450225112556,0,14769,17
9,1,1000,0.8,0,0,1,-0.992,0.992,39976,0.002,0,8736,7
10,1,1000,0.8,0,0,1,-0.928,0.928,39204.5,0.0237014624306606,0,8228,7
1,1,1000,0.9,0,0,1,-0.983,0.983,39976,0.0025,0,10042,8
2,1,1000,0.9,0,0,0,0.495,0.495,32747.53125,0.0848149227630428,0,11188,20
3,1,1000,0.9,0,0,1,-0.973,0.973,39952,0.0055,0,9526,7
4,1,1000,0.9,0,0,1,-0.9745,0.9745,39934,0.0055,0,14130,12
5,1,1000,0.9,0,0,1,-0.9875,0.9875,39988,0.0035,0,10034,8
6,1,1000,0.9,0,0,0,-0.292,0.292,36081.375,0.0497424776362158,0,11572,20
7,1,1000,0.9,0,0,0,-0.0620000000000001,0.0620000000000001,36077.75,0.0607200429876411,0,11810,20
8,1,1000,0.9,0,0,1,-0.9645,0.9645,39713.5,0.0125125125125125,0,12297,14
9,1,1000,0.9,0,0,1,-0.9535,0.9535,40000,0,0,7178,5
10,1,1000,0.9,0,0,1,-0.9445,0.9445,39482,0.0125881168177241,0,10619,9
1,1,1000,0.1,0.3,0,1,-0.6165,0.6165,40000,0,0,3485,3
2,1,1000,0.1,0.3,0,1,-0.6345,0.6345,39934,0.004,0,3555,3
3,1,1000,0.1,0.3,0,1,-0.625,0.625,39928,0.006,0,3513,3
4,1,1000,0.1,0.3,0,1,-0.612,0.612,39725.5,0.0105315947843531,0,3473,3
5,1,1000,0.1,0.3,0,1,-0.62,0.62,39820.75,0.00651302605210421,0,3508,3
6,1,1000,0.1,0.3,0,1,-0.636,0.636,39796.75,0.015015015015015,0,3571,3
7,1,1000,0.1,0.3,0,1,-0.632,0.632,39826.5,0.00600901352028042,0,3546,3
8,1,1000,0.1,0.3,0,1,-0.6115,0.6115,40000,0,0,3458,3
9,1,1000,0.1,0.3,0,1,-0.619,0.619,40000,0,0,3487,3
10,1,1000,0.1,0.3,0,1,-0.6255,0.6255,40000,0,0,3516,3
1,1,1000,0.2,0.3,0,1,-0.624,0.624,39886.25,0.00600300150075038,0,3515,3
2,1,1000,0.2,0.3,0,1,-0.9585,0.9585,40000,0,0,5262,4
3,1,1000,0.2,0.3,0,1,-0.778,0.778,38751,0.0257128309572301,0,4285,4
4,1,1000,0.2,0.3,0,1,-0.8815,0.8815,39886,0.005,0,4896,4
