"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev"
"1",1,1000,0,0,0,0.233,0.233,34805.875,0.0584063412599082,0,6768486
"2",2,1000,0,0,0,-0.6985,0.6985,36339.5,0.0534019516107472,0,9763207
"3",3,1000,0,0,1,-0.973,0.973,39868.75,0.00975,0,16907307
"4",4,1000,0,0,0,-0.246,0.246,31093.65625,0.0909882371149977,0,9603075
"5",5,1000,0,0,0,0.0529999999999999,0.0529999999999999,34502.3125,0.0762156890065487,0,8101236
"6",6,1000,0,0,1,-0.983,0.983,39862.25,0.00550275137568784,0,13933719
"7",7,1000,0,0,0,0.2385,0.2385,34887.1875,0.0513017379772458,0,8574999
"8",8,1000,0,0,0,-0.296,0.296,31576.734375,0.0880826070481243,0,7995998
"9",9,1000,0,0,0,-0.2005,0.2005,36071.9375,0.0609078590785908,0,11694462
"10",10,1000,0,0,1,-0.9565,0.9565,39772.75,0.012012012012012,0,19195439
"11",11,1000,0,0,0,-0.415,0.415,39707.25,0.0122868605817452,0,7638846
"12",12,1000,0,0,0,-0.259,0.259,31283.859375,0.126312631263126,0,12692772
"13",13,1000,0,0,0,-0.279,0.279,33271.5,0.0807686750469585,0,8441765
"14",14,1000,0,0,0,0.3165,0.3165,33949.09375,0.0502361528553027,0,6747664
"15",15,1000,0,0,0,0.205,0.205,34806.375,0.0672904912618687,0,7671428
"16",16,1000,0,0,0,-0.3495,0.3495,33477.9375,0.084400257492311,0,8225355
"17",17,1000,0,0,0,-0.242,0.242,34805.125,0.0586756077116513,0,8454142
"18",18,1000,0,0,1,-0.942,0.942,39512.75,0.0163398692810458,0,19262665
"19",19,1000,0,0,0,-0.19,0.19,34108.15625,0.0917316258351893,0,8722010
"20",20,1000,0,0,1,-0.993,0.993,40000,0,0,22603681
"21",21,1000,0,0,0,0.4435,0.4435,32307.84375,0.0981080481856478,0,8463909
"22",22,1000,0,0,1,-0.9855,0.9855,39952,0.009,0,18976523
"23",23,1000,0,0,0,0.5825,0.5825,33954.8125,0.0786134543134614,0,9884784
"24",24,1000,0,0,1,-0.953,0.953,39665,0.0150375939849624,0,17660452
"25",25,1000,0,0,0,-0.958,0.958,38546.875,0.0512658227848101,0,15307782
"26",26,1000,0,0,0,-0.108,0.108,35164,0.0604972375690608,0,8938599
"27",27,1000,0,0,0,0.209,0.209,34140.109375,0.0757575757575758,0,7217151
"28",28,1000,0,0,0,-0.235,0.235,34765.8125,0.0724396336386345,0,10737745
"29",29,1000,0,0,0,0.354,0.354,34541.59375,0.0896782748272734,0,8861806
"30",30,1000,0,0,1,-0.9925,0.9925,40000,0,0,22781876
"31",31,1000,0,0,1,-0.965,0.965,39689.75,0.0142857142857143,0,18034300
"32",32,1000,0,0,0,0.15,0.15,34143.375,0.0618065433854908,0,6403480
"33",33,1000,0,0,0,-0.835,0.835,37994.875,0.0435904049522827,0,11776260
"34",34,1000,0,0,0,0.237,0.237,35051.0625,0.0648812810601877,0,7223302
"35",35,1000,0,0,0,-0.3425,0.3425,32442.40625,0.0913342101417507,0,8303320
"36",36,1000,0,0,0,0.472,0.472,34060.9375,0.0616457858769932,0,8519604
"37",37,1000,0,0,0,-0.438,0.438,35442.78125,0.0667141500474834,0,7661544
"38",38,1000,0,0,0,-0.2095,0.2095,34767.25,0.0748200442967885,0,16006526
"39",39,1000,0,0,0,-0.3725,0.3725,35261.875,0.0466629742453614,0,8062585
"40",40,1000,0,0,0,-0.2355,0.2355,36445.5,0.0443968975661942,0,7265294
"41",41,1000,0,0,0,-0.756,0.756,37426.5,0.054773082942097,0,14548395
"42",42,1000,0,0,0,0.432,0.432,34362.09375,0.0637683201803833,0,9428631
"43",43,1000,0,0,0,-0.453,0.453,31977,0.109051820001483,0,6574053
"44",44,1000,0,0,0,-0.21,0.21,39988,0.002,0,7365296
"45",45,1000,0,0,0,-0.332,0.332,40000,0,0,8755854
"46",46,1000,0,0,0,-0.484,0.484,36948.28125,0.0493273542600897,0,14808143
"47",47,1000,0,0,0,-0.646,0.646,39022.875,0.0218551461245235,0,9809115
"48",48,1000,0,0,0,-0.195,0.195,34495.125,0.0847681199666759,0,6699904
"49",49,1000,0,0,0,0.5065,0.5065,34144.625,0.0742616635754031,0,10954866
"50",50,1000,0,0,0,0.5565,0.5565,33132.9375,0.092025644719781,0,8422843
"51",51,1000,0,0,0,0.1055,0.1055,33728.0625,0.0618541905855339,0,7764883
"52",52,1000,0,0,0,-0.5335,0.5335,37175.5625,0.0446052631578947,0,9572720
"53",53,1000,0,0,0,-0.086,0.086,36011.9375,0.0487804878048781,0,12049201
"54",54,1000,0,0,0,-0.0345,0.0345,33794.28125,0.0709098675779581,0,7613795
"55",55,1000,0,0,0,-0.2775,0.2775,35333.078125,0.0650703836599503,0,8843259
"56",56,1000,0,0,0,0.1535,0.1535,34194.21875,0.0720809329773781,0,7542934
"57",57,1000,0,0,0,-0.3815,0.3815,38967.25,0.0287166454891995,0,8781659
"58",58,1000,0,0,0,-0.339,0.339,35135.25,0.0716000274329607,0,8596006
"59",59,1000,0,0,0,0.24,0.24,35191.4375,0.0813568670711528,0,7448245
"60",60,1000,0,0,0,-0.2885,0.2885,39976,0.002,0,6854150
"61",61,1000,0,0,0,-0.247,0.247,31466.71875,0.12399549380398,0,7293989
"62",62,1000,0,0,0,0.145,0.145,33359.6640625,0.0865631233969792,0,7607040
"63",63,1000,0,0,0,-0.387,0.387,33200.125,0.0620456528060483,0,7607229
"64",64,1000,0,0,0,0.012,0.012,34340.9375,0.0661151180879649,0,6828516
"65",65,1000,0,0,0,0.314,0.314,34063.125,0.0750668355142817,0,6038511
"66",66,1000,0,0,1,-0.9865,0.9865,39994,0.002,0,16206054
"67",67,1000,0,0,0,-0.2775,0.2775,31273.5,0.104034929238181,0,7272467
"68",68,1000,0,0,0,0.1955,0.1955,33410.84375,0.0757423612107302,0,7623424
"69",69,1000,0,0,0,0.39,0.39,33583.5625,0.100750536097212,0,9722487
"70",70,1000,0,0,0,-0.2805,0.2805,39988,0.0015,0,7351118
"71",71,1000,0,0,0,0.1085,0.1085,33656.1875,0.0977092760180995,0,8132556
"72",72,1000,0,0,0,0.156,0.156,34946.96875,0.100134770889488,0,7082279
"73",73,1000,0,0,0,-0.3225,0.3225,34101.28125,0.0900612374181741,0,6924333
"74",74,1000,0,0,0,-0.314,0.314,33928.71875,0.102567661346287,0,8768922
"75",75,1000,0,0,1,-0.954,0.954,39772.5,0.0125062531265633,0,20265488
"76",76,1000,0,0,0,0.354,0.354,35349.40625,0.0677756392631289,0,5739564
"77",77,1000,0,0,0,-0.056,0.056,36283.125,0.0690438034188034,0,8482058
"78",78,1000,0,0,0,0.165,0.165,34088.4375,0.0727633069082673,0,7010289
"79",79,1000,0,0,0,-0.6285,0.6285,37252.0625,0.0362605485232068,0,12371367
"80",80,1000,0,0,0,0.578,0.578,32753.75,0.0686575903967208,0,9361435
"81",81,1000,0,0,1,-0.993,0.993,40000,0,0,21662749
"82",82,1000,0,0,1,-0.947,0.947,39682.75,0.0135338345864662,0,16786246
"83",83,1000,0,0,0,-0.3185,0.3185,33582.21875,0.0757270371436798,0,8945309
"84",84,1000,0,0,0,-0.437,0.437,35278.5625,0.0578161391971503,0,9465337
"85",85,1000,0,0,0,-0.594,0.594,39587.75,0.011569416498994,0,11011429
"86",86,1000,0,0,0,0.2505,0.2505,33148.125,0.0771326164874552,0,7807591
"87",87,1000,0,0,0,-0.1665,0.1665,34039.875,0.0926420934158694,0,7573081
"88",88,1000,0,0,0,-0.1105,0.1105,40000,0,0,7886931
"89",89,1000,0,0,0,-0.4365,0.4365,38174.6875,0.0348117586384734,0,10393488
"90",90,1000,0,0,0,-0.364,0.364,32731.3125,0.104707792207792,0,9023102
"91",91,1000,0,0,0,0.0295000000000001,0.0295000000000001,33798.15625,0.0657122405153901,0,8749769
"92",92,1000,0,0,0,-0.234,0.234,40000,0,0,8546064
"93",93,1000,0,0,0,-0.8625,0.8625,37996.75,0.0404430705821741,0,14468488
"94",94,1000,0,0,0,0.6285,0.6285,35080.625,0.0641478098401495,0,8386715
"95",95,1000,0,0,0,-0.2625,0.2625,31175.546875,0.113535446332874,0,8338004
"96",96,1000,0,0,1,-0.978,0.978,39976,0.0055,0,21493533
"97",97,1000,0,0,0,-0.255,0.255,39892,0.0055,0,10484424
"98",98,1000,0,0,0,-0.3025,0.3025,32057.46875,0.0990970823072905,0,9343993
"99",99,1000,0,0,1,-0.9535,0.9535,39601.75,0.0165579528349222,0,19929034
"100",100,1000,0,0,0,-0.386,0.386,32964.9375,0.081385154880187,0,8260022
"101",1,1000,0.1,0,1,-0.939,0.939,39498.375,0.0203415369161226,0,14711696
"102",2,1000,0.1,0,0,-0.4005,0.4005,36329,0.0516406670252824,0,7549716
"103",3,1000,0.1,0,0,-0.0905,0.0905,34196.3125,0.059218904768643,0,8270956
"104",4,1000,0.1,0,1,-0.9835,0.9835,39988,0.0025,0,19808399
"105",5,1000,0.1,0,0,0.077,0.077,40000,0,0.05,8856477
"106",6,1000,0.1,0,0,-0.2365,0.2365,31296.453125,0.0865815667502469,0.05,8967940
"107",7,1000,0.1,0,0,0.2495,0.2495,33986.375,0.0836141533277169,0,7812708
"108",8,1000,0.1,0,1,-0.994,0.994,39988,0.002,0,17974714
"109",9,1000,0.1,0,0,-0.2195,0.2195,31046.75,0.0965554031397653,0,9896955
"110",10,1000,0.1,0,0,0.417,0.417,34152,0.094873595505618,0,6918085
"111",11,1000,0.1,0,0,0.4805,0.4805,34518.875,0.072988586726786,0,6868556
"112",12,1000,0.1,0,0,-0.1905,0.1905,39994,0.0015,0,9263055
"113",13,1000,0.1,0,0,-0.2955,0.2955,31633.40625,0.101445983798925,0.05,8286583
"114",14,1000,0.1,0,0,0.557,0.557,34104.4375,0.0591073582629674,0,7671792
"115",15,1000,0.1,0,0,-0.5255,0.5255,35884.9375,0.0505899905058999,0,10770782
"116",16,1000,0.1,0,0,-0.388,0.388,32287.84375,0.0873033458896521,0,10029525
"117",17,1000,0.1,0,0,-0.2945,0.2945,40000,0,0,6777894
"118",18,1000,0.1,0,0,0.243,0.243,34984,0.052485805290126,0,7216854
"119",19,1000,0.1,0,1,-0.951,0.951,39551.5,0.0213139418254764,0,17198783
"120",20,1000,0.1,0,0,0.2075,0.2075,33212.15625,0.0834417932031815,0,6307428
"121",21,1000,0.1,0,0,0.4105,0.4105,35392,0.0509501514734233,0,7771216
"122",22,1000,0.1,0,0,-0.4315,0.4315,35247.34375,0.0619983393301965,0,7174143
"123",23,1000,0.1,0,0,-0.07,0.07,34802.25,0.0665548098434005,0,6980775
"124",24,1000,0.1,0,0,-0.4475,0.4475,39233.25,0.022233451237999,0,8331437
"125",25,1000,0.1,0,0,-0.2855,0.2855,36414.59375,0.0632237455077865,0,10428765
"126",26,1000,0.1,0,0,-0.5355,0.5355,35931.1875,0.0536294691224269,0,9911033
"127",27,1000,0.1,0,0,-0.159,0.159,34654.40625,0.0655210952780106,0,9218487
"128",28,1000,0.1,0,0,-0.4425,0.4425,38733.5,0.03473630831643,0.05,8446665
"129",29,1000,0.1,0,0,-0.275,0.275,36370.890625,0.0462015086206897,0,8272706
"130",30,1000,0.1,0,0,-0.244,0.244,33494.65625,0.0789511187117002,0,7536722
"131",31,1000,0.1,0,0,-0.2465,0.2465,36589.375,0.0529960053262317,0,9369849
"132",32,1000,0.1,0,0,0.451,0.451,34293.46875,0.0426323319027182,0,7871450
"133",33,1000,0.1,0,1,-0.971,0.971,39862.25,0.0080040020010005,0,16693985
"134",34,1000,0.1,0,0,-0.2155,0.2155,39982,0.002,0,7776207
"135",35,1000,0.1,0,0,-0.2685,0.2685,31552.0625,0.0913063302682575,0.05,8978656
"136",36,1000,0.1,0,0,-0.2825,0.2825,35860.1875,0.0559782608695652,0,7403553
"137",37,1000,0.1,0,0,-0.3285,0.3285,39678.75,0.0223169508525577,0,8360700
"138",38,1000,0.1,0,1,-0.935,0.935,39576.875,0.0190380761523046,0,14856824
"139",39,1000,0.1,0,0,0.276,0.276,33638.625,0.0736940298507463,0,7008195
"140",40,1000,0.1,0,0,-0.385,0.385,32967.78125,0.0722336065573771,0,7990308
"141",41,1000,0.1,0,0,0.0125,0.0125,34673.3125,0.0644197359277276,0.05,7759621
"142",42,1000,0.1,0,0,-0.337,0.337,39940,0.004,0.05,8595378
"143",43,1000,0.1,0,1,-0.968,0.968,39862.25,0.00925462731365683,0,16927862
"144",44,1000,0.1,0,0,-0.186,0.186,39282.5,0.0222446916076845,0,7381994
"145",45,1000,0.1,0,0,-0.4025,0.4025,39678.75,0.011283851554664,0,7854390
"146",46,1000,0.1,0,0,0.178,0.178,34233.84375,0.0690364694196112,0,7020593
"147",47,1000,0.1,0,0,-0.3,0.3,37518.375,0.0434668761455878,0,6297898
"148",48,1000,0.1,0,0,0.586,0.586,35424.3125,0.0657894736842105,0,7162281
"149",49,1000,0.1,0,1,-0.9445,0.9445,39524.5,0.0170682730923695,0,14582160
"150",50,1000,0.1,0,0,-0.19,0.19,40000,0,0,7460546
"151",51,1000,0.1,0,0,-0.192,0.192,34466,0.0709487825356843,0,9134291
"152",52,1000,0.1,0,0,-0.2415,0.2415,40000,0,0.05,6625528
"153",53,1000,0.1,0,0,-0.1625,0.1625,32483.71875,0.0852650228849845,0,8223047
"154",54,1000,0.1,0,0,-0.355,0.355,34205.03125,0.0662509742790335,0,7595177
"155",55,1000,0.1,0,0,0.1765,0.1765,34127.828125,0.0679156908665105,0,6331062
"156",56,1000,0.1,0,0,0.0405,0.0405,39958.25,0.0025,0,9076783
"157",57,1000,0.1,0,0,0.3515,0.3515,34172.625,0.0782485875706215,0,5664173
"158",58,1000,0.1,0,0,-0.491,0.491,38546,0.0398162327718224,0.05,12579985
"159",59,1000,0.1,0,0,-0.3435,0.3435,40000,0,0,5543980
"160",60,1000,0.1,0,1,-0.963,0.963,39725,0.012781954887218,0,18096725
"161",61,1000,0.1,0,0,-0.51,0.51,36094.53125,0.0647751605995717,0.05,8876820
"162",62,1000,0.1,0,0,0.3315,0.3315,34936.625,0.0446153846153846,0.05,6049482
"163",63,1000,0.1,0,0,0.57,0.57,33980,0.06878908470722,0,8462235
"164",64,1000,0.1,0,0,-0.9175,0.9175,37688.375,0.0504527813712807,0.1,12815814
"165",65,1000,0.1,0,0,-0.209,0.209,40000,0,0.05,8621965
"166",66,1000,0.1,0,0,-0.047,0.047,34240.59375,0.0663373323923783,0.05,7412768
"167",67,1000,0.1,0,0,0.073,0.073,34519.9375,0.0652981153226371,0.05,6366427
"168",68,1000,0.1,0,0,-0.746,0.746,37385.5,0.0487773152965661,0.05,14568584
"169",69,1000,0.1,0,0,0.0685,0.0685,33679.59375,0.0729181648209406,0.05,6436507
"170",70,1000,0.1,0,0,0.0814999999999999,0.0814999999999999,40000,0,0,8252853
"171",71,1000,0.1,0,0,0.445,0.445,34466.9375,0.0691325098259405,0,6879430
"172",72,1000,0.1,0,0,0.387,0.387,31471.28125,0.0550706727427203,0,8670689
"173",73,1000,0.1,0,0,-0.6195,0.6195,35445.53125,0.0975114958074114,0.05,8785893
"174",74,1000,0.1,0,0,-0.2005,0.2005,40000,0,0.05,6805047
"175",75,1000,0.1,0,0,0.1005,0.1005,36039.34375,0.0652319208661944,0.2,6726246
"176",76,1000,0.1,0,0,0.183,0.183,34182.53125,0.0765926236378877,0,8176124
"177",77,1000,0.1,0,1,-0.962,0.962,39700.25,0.0117912694430507,0,14031288
"178",78,1000,0.1,0,0,0.204,0.204,34143.25,0.074365090500912,0.05,6396736
"179",79,1000,0.1,0,1,-0.9195,0.9195,39618.25,0.0195488721804511,0.0555555555555556,15862194
"180",80,1000,0.1,0,0,0.0780000000000001,0.0780000000000001,34524.6875,0.0811354802887285,0,6956043
"181",81,1000,0.1,0,0,-0.335,0.335,32847.15625,0.081280424841422,0.15,10864729
"182",82,1000,0.1,0,0,0.512,0.512,34028.59375,0.0824362606232295,0,7729507
"183",83,1000,0.1,0,0,-0.1815,0.1815,32253.96875,0.0804482168118532,0,8732488
"184",84,1000,0.1,0,0,-0.2455,0.2455,31316.15625,0.0673491379310345,0,7139589
"185",85,1000,0.1,0,0,-0.19,0.19,32721.9375,0.120438482619357,0.1,8595430
"186",86,1000,0.1,0,0,-0.23,0.23,39286,0.0287153652392947,0,6062634
"187",87,1000,0.1,0,0,0.0255000000000001,0.0255000000000001,39463.5,0.0206341217916457,0.05,8247556
"188",88,1000,0.1,0,0,-0.2125,0.2125,40000,0,0,8681666
"189",89,1000,0.1,0,0,0.575,0.575,33505.78125,0.105660111369564,0.1,7687849
"190",90,1000,0.1,0,0,-0.4365,0.4365,33993.84375,0.110863974421353,0.05,8484935
"191",91,1000,0.1,0,0,0.2135,0.2135,39976,0.0015,0,8813733
"192",92,1000,0.1,0,0,0.6165,0.6165,35326,0.0791553133514986,0.05,8285149
"193",93,1000,0.1,0,0,0.0385,0.0385,39982,0.0025,0,7865640
"194",94,1000,0.1,0,0,-0.4005,0.4005,31946.921875,0.0930886488086429,0,7428141
"195",95,1000,0.1,0,0,-0.075,0.075,31729.75,0.0922235540905005,0,9334175
"196",96,1000,0.1,0,0,0.1845,0.1845,39774,0.0085127691537306,0,9190551
"197",97,1000,0.1,0,0,-0.274,0.274,31778.53125,0.092868926214757,0,7239928
"198",98,1000,0.1,0,0,-0.1255,0.1255,32129.8125,0.104067695961995,0.05,8573812
"199",99,1000,0.1,0,0,0.024,0.024,40000,0,0.05,9677303
"200",100,1000,0.1,0,0,0.262,0.262,39898,0.005,0,9157091
"201",1,1000,0.1,0.1,0,-0.1365,0.1365,39988,0.001,0,9245907
"202",2,1000,0.1,0.1,0,-0.8875,0.8875,37965.625,0.0482918058052915,0,16080670
"203",3,1000,0.1,0.1,0,-0.087,0.087,35809.53125,0.0558337845154304,0,9396721
"204",4,1000,0.1,0.1,0,0.172,0.172,33541.4375,0.0730758143557221,0,6510293
"205",5,1000,0.1,0.1,0,0.231,0.231,33001.96875,0.0772378516624041,0,8314758
"206",6,1000,0.1,0.1,0,-0.1885,0.1885,39970,0.002,0,9233312
"207",7,1000,0.1,0.1,0,-0.187,0.187,30895.34375,0.0826510118955662,0.05,8135135
"208",8,1000,0.1,0.1,0,-0.4575,0.4575,38643.875,0.0250767656090072,0,9436116
"209",9,1000,0.1,0.1,0,-0.353,0.353,35143.46875,0.0638678596008259,0,8594678
"210",10,1000,0.1,0.1,0,-0.2625,0.2625,40000,0,0,7627814
"211",11,1000,0.1,0.1,0,-0.3085,0.3085,31930.59375,0.0743416102332581,0.05,8002741
"212",12,1000,0.1,0.1,0,-0.4305,0.4305,35986.9375,0.0674447007735107,0,6646262
"213",13,1000,0.1,0.1,0,-0.468,0.468,38505.875,0.0345887778631822,0.05,7923655
"214",14,1000,0.1,0.1,0,0.546,0.546,33906.6875,0.0828877005347594,0,8792130
"215",15,1000,0.1,0.1,0,0.452,0.452,34466.28125,0.0760488283990459,0,15242708
"216",16,1000,0.1,0.1,0,-0.1095,0.1095,40000,0,0,7826791
"217",17,1000,0.1,0.1,0,-0.2915,0.2915,40000,0,0,6466962
"218",18,1000,0.1,0.1,0,0.0925,0.0925,33795.25,0.0573119676627689,0.05,9699625
"219",19,1000,0.1,0.1,0,-0.4115,0.4115,31861.40625,0.0860440713536201,0.05,8569191
"220",20,1000,0.1,0.1,0,0.3385,0.3385,33929.78125,0.0787792760823279,0.05,6692739
"221",21,1000,0.1,0.1,1,-0.9515,0.9515,39460.75,0.0211373930548566,0.0909090909090909,13761303
"222",22,1000,0.1,0.1,1,-0.933,0.933,39543.25,0.0169597989949749,0,14578792
"223",23,1000,0.1,0.1,0,-0.026,0.026,39970,0.002,0,7616054
"224",24,1000,0.1,0.1,0,-0.394,0.394,33034.6875,0.0891618497109827,0,5765293
"225",25,1000,0.1,0.1,0,0.764,0.764,33659.25,0.064167862266858,0,9486939
"226",26,1000,0.1,0.1,0,0.0155000000000001,0.0155000000000001,34568.96875,0.0845822925339994,0,8030999
"227",27,1000,0.1,0.1,0,-0.187,0.187,32929.71875,0.0687095825984715,0,8182121
"228",28,1000,0.1,0.1,1,-0.943,0.943,39623.75,0.0155544405418966,0,16927915
"229",29,1000,0.1,0.1,0,0.293,0.293,33174.84375,0.0724200581395349,0,8014235
"230",30,1000,0.1,0.1,0,-0.2865,0.2865,34821.84375,0.0604422433035714,0,8474087
"231",31,1000,0.1,0.1,0,-0.177,0.177,39976,0.002,0,6550795
"232",32,1000,0.1,0.1,0,0.0409999999999999,0.0409999999999999,39964,0.0025,0,7539314
"233",33,1000,0.1,0.1,0,-0.093,0.093,35892.875,0.0597539543057996,0,8601602
"234",34,1000,0.1,0.1,0,-0.337,0.337,35213.90625,0.074573960463531,0,8332183
"235",35,1000,0.1,0.1,0,-0.237,0.237,39994,0.001,0,7735590
"236",36,1000,0.1,0.1,0,-0.151,0.151,39976,0.0025,0,8605140
"237",37,1000,0.1,0.1,0,-0.339,0.339,31370.015625,0.0866600260516436,0.05,10335367
"238",38,1000,0.1,0.1,0,-0.36,0.36,33167.1875,0.10982206405694,0,6441333
"239",39,1000,0.1,0.1,0,-0.19,0.19,34963.3125,0.0825751309622277,0.05,7501405
"240",40,1000,0.1,0.1,0,0.0315000000000001,0.0315000000000001,37415.1875,0.0700645161290323,0,6639803
"241",41,1000,0.1,0.1,0,-0.83,0.83,37849.75,0.0382818582922398,0,13913830
"242",42,1000,0.1,0.1,0,-0.0365,0.0365,33692.5,0.0741715260987057,0.05,8632610
"243",43,1000,0.1,0.1,0,-0.1535,0.1535,33188.28125,0.0706419359513114,0,7238119
"244",44,1000,0.1,0.1,0,-0.295,0.295,31879.65625,0.0784911053443153,0,8142648
"245",45,1000,0.1,0.1,0,-0.2305,0.2305,30931.84375,0.101697507264108,0,8427634
"246",46,1000,0.1,0.1,0,-0.298,0.298,31702.5,0.0967084402838593,0.05,6809166
"247",47,1000,0.1,0.1,0,0.251,0.251,33665.21875,0.08276740237691,0.05,7765071
"248",48,1000,0.1,0.1,0,0.4585,0.4585,33820.8125,0.0553116453145243,0,7734800
"249",49,1000,0.1,0.1,0,-0.2965,0.2965,33906.75,0.0530330287112326,0,6183477
"250",50,1000,0.1,0.1,0,-0.4005,0.4005,39994,0.001,0,7581299
"251",51,1000,0.1,0.1,0,-0.2985,0.2985,39994,0.001,0,6634535
"252",52,1000,0.1,0.1,0,-0.4055,0.4055,34143.28125,0.0785126896356161,0.05,10276965
"253",53,1000,0.1,0.1,0,0.304,0.304,34483.78125,0.0662200282087447,0.05,8262346
"254",54,1000,0.1,0.1,0,0.4815,0.4815,34602.484375,0.0639486177045518,0,8197493
"255",55,1000,0.1,0.1,0,0.2935,0.2935,36337.5,0.0978745736027289,0.05,5579177
"256",56,1000,0.1,0.1,0,-0.2095,0.2095,39988,0.001,0,7571946
"257",57,1000,0.1,0.1,0,-0.229,0.229,40000,0,0,5836149
"258",58,1000,0.1,0.1,0,-0.26,0.26,33502.28125,0.075803429889033,0,7055325
"259",59,1000,0.1,0.1,0,0.0089999999999999,0.0089999999999999,31726.765625,0.0895907675954749,0,9843175
"260",60,1000,0.1,0.1,0,-0.214,0.214,40000,0,0,6737742
"261",61,1000,0.1,0.1,0,0.366,0.366,34573.21875,0.0564196832579186,0,7840275
"262",62,1000,0.1,0.1,0,0.1155,0.1155,37679.1875,0.0693477700438257,0,4649955
"263",63,1000,0.1,0.1,0,-0.2715,0.2715,39970,0.0025,0,7037094
"264",64,1000,0.1,0.1,0,-0.1525,0.1525,32340.78125,0.099772159341467,0,7611722
"265",65,1000,0.1,0.1,0,0.1875,0.1875,33119.5,0.0729023383768913,0.05,5540676
"266",66,1000,0.1,0.1,0,0.2975,0.2975,36940.375,0.0510257759074172,0,6920646
"267",67,1000,0.1,0.1,0,0.9435,0.9435,34356.59375,0.0871528252838966,0,10372756
"268",68,1000,0.1,0.1,0,0.1175,0.1175,32945.1875,0.0977065209576533,0,8033700
"269",69,1000,0.1,0.1,0,0.3405,0.3405,35246.375,0.055937328202309,0.05,9174567
"270",70,1000,0.1,0.1,0,0.5495,0.5495,34413.703125,0.0630187086791391,0,9882504
"271",71,1000,0.1,0.1,0,-0.146,0.146,32024.34375,0.0771544593171906,0,8950406
"272",72,1000,0.1,0.1,0,0.374,0.374,35131.1875,0.0689845474613687,0.15,7438051
"273",73,1000,0.1,0.1,0,-0.00749999999999995,0.00749999999999995,39970,0.003,0,7892791
"274",74,1000,0.1,0.1,0,0.1645,0.1645,35063.5,0.0465635020214694,0.05,7493026
"275",75,1000,0.1,0.1,0,-0.2785,0.2785,33351.46875,0.0842696629213483,0.05,7616626
"276",76,1000,0.1,0.1,0,-0.0285,0.0285,40000,0,0,10453576
"277",77,1000,0.1,0.1,0,-0.1175,0.1175,39450.5,0.0371672526368659,0.05,7073681
"278",78,1000,0.1,0.1,0,0.2405,0.2405,39647,0.0115519839276745,0.05,9594315
"279",79,1000,0.1,0.1,0,-0.189,0.189,32731.125,0.0869501250551714,0,9643596
"280",80,1000,0.1,0.1,0,-0.154,0.154,32205.34375,0.0707426856714179,0,8386179
"281",81,1000,0.1,0.1,0,-0.475,0.475,39569.25,0.0266197890507283,0,11805305
"282",82,1000,0.1,0.1,0,0.6965,0.6965,33522.84375,0.0838753975137323,0,9582715
"283",83,1000,0.1,0.1,0,-0.3935,0.3935,31540.921875,0.0796320036196365,0,9592386
"284",84,1000,0.1,0.1,0,-0.329,0.329,32889.78125,0.0686137814632714,0,7827137
"285",85,1000,0.1,0.1,0,-0.217,0.217,32279.65625,0.0905131044665928,0,10193962
"286",86,1000,0.1,0.1,0,-0.148,0.148,32663.25,0.0928305468350734,0,10060972
"287",87,1000,0.1,0.1,0,0.712,0.712,33856.8125,0.0617888520812329,0,9750811
"288",88,1000,0.1,0.1,0,-0.2555,0.2555,33083.5,0.092507535524616,0,5482683
"289",89,1000,0.1,0.1,0,-0.0115,0.0115,32304.1875,0.103749357986646,0,10082825
"290",90,1000,0.1,0.1,0,-0.0915,0.0915,39329.5,0.0276243093922652,0.05,5832034
"291",91,1000,0.1,0.1,0,-0.22,0.22,33060.2734375,0.106736665715916,0,9931212
"292",92,1000,0.1,0.1,0,-0.191,0.191,32397.265625,0.0608037186984555,0,10097976
"293",93,1000,0.1,0.1,0,0.3905,0.3905,35238.34375,0.0460772104607721,0,9443294
"294",94,1000,0.1,0.1,0,0.0700000000000001,0.0700000000000001,40000,0,0.05,8369495
"295",95,1000,0.1,0.1,0,-0.131,0.131,31674.015625,0.0873867069486405,0,8638224
"296",96,1000,0.1,0.1,0,0.756,0.756,34324.4375,0.0727719298245614,0.05,11023321
"297",97,1000,0.1,0.1,0,-0.35,0.35,31740.984375,0.0926119402985075,0.05,9886003
"298",98,1000,0.1,0.1,0,-0.133,0.133,39814.75,0.00925925925925926,0.05,7640571
"299",99,1000,0.1,0.1,0,0.527,0.527,36332.5625,0.0692328254477412,0.05,7844029
"300",100,1000,0.1,0.1,0,-0.178,0.178,34948.03125,0.0887273724629731,0,6842597
"301",1,1000,0.1,0.2,1,-0.994,0.994,40000,0,0,22810920
"302",2,1000,0.1,0.2,0,-0.361,0.361,32840.359375,0.101266744321491,0,8598557
"303",3,1000,0.1,0.2,0,-0.3205,0.3205,31981.65625,0.0902351355399131,0.1,5602165
"304",4,1000,0.1,0.2,0,-0.353,0.353,33363.46875,0.089004861309694,0.05,7939145
"305",5,1000,0.1,0.2,1,-0.9565,0.9565,39600.125,0.0213246362267938,0,16865919
"306",6,1000,0.1,0.2,0,0.405,0.405,34190.875,0.0802012016207908,0.05,6740452
"307",7,1000,0.1,0.2,0,0.3805,0.3805,33045.15625,0.0689931516829375,0,10752165
