"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumSqDev","SumSqDev_sd","SumSqDev_95ci_inf","SumSqDev_95ci_sup"
"1",85,1000,0,0,0.15,0.112014496716932,0.08,0.22,-0.121811764705882,0.138995081578244,-0.197388235294118,-0.0461470588235294,0.329211764705882,0.0710907846430298,0.289017647058824,0.371429411764706,35073.8418198529,854.954546995414,34605.2122242647,35577.7604779412,0.0653769461612434,0.0109413691955501,0.0592449783798648,0.0714365506620406,0,0,0,0,8871346.10588235,787460.584292155,8430154.15294118,9308580.49411765
"2",89,1000,0.1,0,0.11,0.0975119780262192,0.06,0.17,-0.0755842696629214,0.115787489303631,-0.139404494382022,-0.00683707865168539,0.293280898876405,0.0607168853408239,0.258325842696629,0.327825842696629,35796.9673455056,1017.83650568094,35187.5679424157,36405.6739817416,0.0540161482307654,0.0118010151652388,0.0470086992768802,0.0605610962129685,0.0207865168539326,0.013285823631625,0.0134831460674157,0.0286516853932584,8153421,526584.636250271,7867017.6741573,8477108.74157303
"3",97,1000,0.1,0.1,0.03,0.0540948568290326,0,0.07,-0.0449432989690722,0.111860094399224,-0.115134020618557,0.0218969072164948,0.284592783505155,0.0637442163091015,0.246309278350515,0.32340206185567,35428.5878704897,997.107527223407,34825.5890786082,36048.2619201031,0.057206181023261,0.0112534275858901,0.0501118602736609,0.0637281424436003,0.0149484536082474,0.00848865354927415,0.00979381443298969,0.0206185567010309,8373687.30927835,617448.460087991,8026374.84536082,8767125.40206186
"4",89,1000,0.1,0.2,0.11,0.0989264393579411,0.05,0.17,-0.0751011235955056,0.123749842616711,-0.150516853932584,-0.00288202247191011,0.310595505617978,0.0647901651046685,0.273050561797753,0.346016853932584,35012.7382373596,960.627365404589,34465.0098314607,35593.4740168539,0.0653376304827303,0.0114815406372405,0.0582193206621293,0.0718518766382268,0.0213483146067416,0.0137256641088685,0.0140449438202247,0.0297752808988764,8522445.61797753,747156.48732806,8099908.94382023,8955214.05617977
"5",97,1000,0.1,0.3,0.03,0.0559295281690461,0,0.07,-0.0307422680412371,0.109363398222652,-0.097340206185567,0.0344226804123711,0.282762886597938,0.0625674918418726,0.245396907216495,0.320659793814433,35539.8609052835,1052.59908836722,34885.1869362113,36160.7127094072,0.0597173258660747,0.0122354786318435,0.0524908736604171,0.0673690963816828,0.0211340206185567,0.010935434564761,0.0144329896907217,0.0278350515463918,8909746.81443299,497420.619656977,8597994.71134021,9203732.32989691
"6",90,1000,0.1,0.4,0.1,0.0894805661424408,0.05,0.16,-0.0647166666666667,0.114521878465115,-0.1298,0.00167777777777776,0.26445,0.0661633985531979,0.225622222222222,0.301616666666667,34772.4522569444,1042.69542571065,34186.2552083333,35390.6204861111,0.0656844915459437,0.0119521119620188,0.0586766344460201,0.072069749083825,0.0172222222222222,0.00966528018957628,0.0116666666666667,0.0227777777777778,8562393.42222222,606269.844673157,8197686.24444444,8933090.35555555
"7",100,1000,0.1,0.5,0,0,0,0,0.00855,0.0928720550129643,-0.049,0.06681,0.22977,0.0540860893706422,0.19617,0.26181,35273.521953125,950.924570999539,34704.643046875,35814.378125,0.0622619211794735,0.0110047046776973,0.0555316636658974,0.0690180538887389,0.0145,0.00941614761240423,0.009,0.021,8856036.2,536648.219313362,8501691.59,9166760.11
"8",95,1000,0.1,0.6,0.05,0.0669659268100977,0.02,0.1,0.00735263157894736,0.123647840225502,-0.0648,0.0820105263157895,0.292868421052632,0.0730847963327571,0.252636842105263,0.340342105263158,35704.2666118421,1043.99972343138,35064.3955592105,36308.3333881579,0.0552197669267767,0.0116302116280794,0.0481490052881476,0.0619597476830286,0.0189473684210526,0.011041756501249,0.0126315789473684,0.0263157894736842,8907777.32631579,533024.172291756,8603023.4,9236652.6631579
"9",93,1000,0.1,0.7,0.07,0.080549401367149,0.03,0.12,0.000564516129032261,0.127471175074297,-0.0778870967741935,0.0762096774193548,0.291983870967742,0.0725717190605921,0.248994623655914,0.337064516129032,35341.7709173387,991.079607379418,34745.3167002688,35897.0349462366,0.0586291203874957,0.0110274530228944,0.0520021875300263,0.0651140675112599,0.0193548387096774,0.0113286653573734,0.0129032258064516,0.0258064516129032,8488285.27956989,556876.940064684,8148654,8812081.86021505
"10",88,1000,0.1,0.8,0.12,0.102103289947885,0.06,0.18,-0.149136363636364,0.113146777965803,-0.214301136363636,-0.0862727272727273,0.281704545454545,0.0707040492876413,0.241255681818182,0.3213125,35524.2312677557,1108.73925792526,34899.9196555398,36170.55859375,0.05785148454784,0.0134061194910688,0.0500539899363525,0.0661231068763452,0.0215909090909091,0.0108284554097081,0.0153409090909091,0.0284090909090909,8563217.55681818,666262.50229112,8180306.17045455,8945342.32954546
"11",95,1000,0.1,0.9,0.05,0.0677275513518776,0.01,0.09,-0.0711947368421053,0.115637101585158,-0.144847368421053,-0.00366842105263159,0.297542105263158,0.0664383762479759,0.254352631578947,0.334952631578947,35241.3011513158,989.248542485656,34642.3935855263,35825.3741776316,0.0599435983272386,0.0114628763596414,0.0526468326546114,0.066481317681038,0.0178947368421053,0.0099834363618608,0.0121052631578947,0.0242105263157895,8782039.86315789,697828.372699741,8360631.2,9228578.55789474
"12",89,1000,0.1,1,0.11,0.0971810712333457,0.05,0.17,-0.0289831460674157,0.140684468689598,-0.106769662921348,0.0514044943820225,0.330544943820225,0.0669363767140242,0.291932584269663,0.369162921348315,34895.5048279494,1018.57889075722,34335.9670821629,35484.5812851124,0.0662422843092438,0.0115169178691274,0.0596462366882611,0.0729303815741047,0.0146067415730337,0.00888877530400382,0.00955056179775281,0.0202247191011236,8724364.07865169,659410.548958099,8347291.85393258,9112752.08988764
"13",91,1000,0.2,0,0.09,0.0912865396607426,0.04,0.15,-0.169093406593407,0.118978535948681,-0.237774725274725,-0.0966153846153846,0.314071428571429,0.0798506942712383,0.26993956043956,0.363263736263736,35165.6048248626,902.696361134483,34644.6320398352,35673.6829498626,0.0630742990240586,0.0108529069611105,0.0564501595668289,0.0692675617275076,0.0994505494505495,0.0180704713093318,0.089010989010989,0.10989010989011,8707458.26373626,1183264.0835485,8061673.05494506,9428042.71428571
"14",87,1000,0.2,0.1,0.13,0.108824754870973,0.07,0.2,-0.17948275862069,0.118773548077642,-0.246436781609195,-0.111011494252874,0.327218390804598,0.0687059131504513,0.288206896551724,0.367471264367816,35082.0743534483,1024.42766063527,34525.1535560345,35643.5418462644,0.0626472928099351,0.0118637581051572,0.0563240829221563,0.0696450272429422,0.110919540229885,0.0240837351893243,0.0971264367816092,0.124137931034483,8469534.52873563,890003.978634012,8011117.12643678,9008688.75862069
"15",86,1000,0.2,0.2,0.14,0.105121209500598,0.08,0.2,-0.0714186046511628,0.113786864558606,-0.142563953488372,-0.0133953488372093,0.277860465116279,0.0610257506159724,0.245186046511628,0.31306976744186,34988.8264898256,1090.31353740209,34370.5309774709,35621.1573401163,0.0642878371857241,0.0125556755379669,0.0568611349453686,0.0711611637582684,0.109883720930233,0.0276632652345746,0.0941860465116279,0.126162790697674,8375437.72093023,523699.391275597,8069038.3255814,8661546.02325581
"16",88,1000,0.2,0.3,0.12,0.103989121420163,0.06,0.19,-0.133875,0.120088332534575,-0.199892045454545,-0.0637329545454546,0.296318181818182,0.077205043852661,0.255522727272727,0.344244318181818,35393.8963955966,1061.33374054946,34792.9255149148,36011.6555397727,0.0608165589842818,0.0134356885688377,0.0534453145027309,0.068672731026198,0.117045454545455,0.0220012860728819,0.103977272727273,0.129545454545455,8342352.23863636,1018364.6546593,7775116.375,8953996.01136364
"17",86,1000,0.2,0.4,0.14,0.11099314748163,0.07,0.21,-0.0256453488372093,0.134934904766768,-0.102244186046512,0.0554011627906977,0.296436046511628,0.0788126484476721,0.252011627906977,0.342866279069767,35781.2196584302,1155.60316328334,35121.3473837209,36454.3470203488,0.0551415256457777,0.0133968147875194,0.0473793918860667,0.0624172085332091,0.10406976744186,0.0228762005336157,0.0918604651162791,0.117441860465116,8485651.18604651,829043.112579678,8056944.65116279,8968954.34883721
"18",87,1000,0.2,0.5,0.13,0.106674805560705,0.07,0.2,-0.0580977011494253,0.124536936346201,-0.129454022988506,0.0114942528735632,0.282063218390805,0.0683756434554854,0.244879310344828,0.322103448275862,34988.1174568966,1043.35276256759,34389.8670977011,35569.8656609195,0.0627639194874679,0.0124979842568465,0.0550805138730162,0.0699741614282465,0.109770114942529,0.0256617085812142,0.0954022988505747,0.123563218390805,8585774.65517241,796320.19345532,8154279.44827586,9069444.42528736
"19",87,1000,0.2,0.6,0.13,0.106455164366047,0.07,0.2,-0.0546609195402299,0.133885172922841,-0.130390804597701,0.017264367816092,0.312316091954023,0.077065187208388,0.272109195402299,0.361137931034483,35419.0750269397,1114.3747392678,34815.7665229885,36051.2999281609,0.0569391669982034,0.0130736924871655,0.0492829906316291,0.064356905163123,0.110919540229885,0.0198983010412384,0.0988505747126437,0.121264367816092,8307604.08045977,750985.850331005,7910689.91954023,8775349.36781609
"20",76,1000,0.2,0.7,0.24,0.129412955809351,0.16,0.32,-0.0785657894736842,0.14251814916448,-0.153940789473684,-0.00234868421052631,0.295921052631579,0.0789499946535552,0.255092105263158,0.339092105263158,35375.6430921053,1216.29487929325,34748.9991776316,36035.0822368421,0.060014106951955,0.0147263844274957,0.0522674798908387,0.0679610700577878,0.101973684210526,0.0234624608081615,0.0894736842105263,0.114473684210526,8593403.88157895,1030937.95252309,8088469.56578947,9186155.09210526
"21",87,1000,0.2,0.8,0.13,0.108126954936493,0.07,0.2,-0.0832988505747126,0.137550838456324,-0.164695402298851,-0.0101724137931035,0.326379310344828,0.080868080264141,0.280557471264368,0.375063218390805,35110.4147808908,1149.38883435082,34414.089529454,35774.0838721264,0.0600383805000502,0.0128830731938358,0.0525393038289652,0.0671768819148288,0.110344827586207,0.0194992084782705,0.0988505747126437,0.121264367816092,8871269.03448276,984107.361485817,8348721.10344828,9444143.29885058
