"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"1",100,1000,0,0,0.15,0.111154524347092,0.08,0.22,-0.249095,0.141664997595298,-0.3378,-0.16264,0.425385,0.0920182879542104,0.37493,0.4822,0.894656701171875,0.0228085980039092,0.8805631875,0.90906323046875,0.0568906640519306,0.0110096357715859,0.0497009937914819,0.0634260617380438,0,0,0,0,NA,NA,NA,NA
"2",100,1000,0.1,0,0.11,0.100352786798284,0.05,0.17,-0.172575,0.133569947342816,-0.25014,-0.0884,0.366325,0.0855425454661733,0.31781,0.422305,0.9057063359375,0.0240315777575175,0.8902661796875,0.9203655078125,0.0495107974634977,0.0108878717327088,0.0426165965411091,0.0557438094540024,0.0190555555555556,0.0110859012493139,0.0125,0.0265,NA,NA,NA,NA
"3",100,1000,0.1,0.1,0.03,0.054341940199504,0,0.07,-0.07187,0.117432605838756,-0.14293,-0.004915,0.30433,0.0696724375637653,0.26056,0.34625,0.888800193359375,0.0234794468516571,0.87545384375,0.903898533203125,0.0560265119184804,0.0108102631257016,0.0493724512749605,0.0625235711990102,0.0154090909090909,0.00847631257841259,0.0103181818181818,0.0208181818181818,NA,NA,NA,NA
"4",100,1000,0.1,0.2,0.11,0.0960158025714223,0.05,0.17,-0.1734,0.13942860512843,-0.26254,-0.089075,0.38299,0.0858935043059092,0.329485,0.431025,0.88835280078125,0.0219687753635113,0.87464740234375,0.902565828125,0.0593191310670806,0.0111378180981681,0.0527002976055812,0.0660224063152705,0.0198333333333333,0.0114280300056135,0.0133333333333333,0.0278333333333333,NA,NA,NA,NA
"5",100,1000,0.1,0.3,0.03,0.053038722275391,0,0.07,-0.058515,0.117112069483106,-0.131195,0.009675,0.302975,0.069611360374305,0.2606,0.34692,0.891633345703125,0.0251893017366227,0.875664224609375,0.906575130859375,0.0582698089852187,0.0119040180602572,0.0504329732479935,0.0650899848705095,0.0205,0.0107047566836694,0.0145,0.027,NA,NA,NA,NA
"6",100,1000,0.1,0.4,0.1,0.093085379511435,0.05,0.16,-0.153645,0.121551867391486,-0.229105,-0.07787,0.333405,0.0870267932597804,0.28158,0.387085,0.88149101953125,0.02458305603345,0.86643015234375,0.895970828125,0.0604183877792755,0.0114468094045061,0.0534249649576559,0.0671126108875626,0.0155,0.00890233072988431,0.0105,0.0215,NA,NA,NA,NA
"7",100,1000,0.1,0.5,0,0,0,0,0.00855,0.0851185360425093,-0.04115,0.06207,0.22977,0.0550119785178509,0.196205,0.26277,0.881838048828125,0.0244321728808185,0.86683827734375,0.897539337890625,0.0622619211794735,0.0110279013429004,0.0552001902100126,0.069056795101551,0.0145,0.00913480633996621,0.0095,0.0205,NA,NA,NA,NA
"8",100,1000,0.1,0.6,0.05,0.07012712842698,0.01,0.1,-0.041425,0.129849210081976,-0.12504,0.03311,0.326635,0.0794632617399847,0.27841,0.37357,0.89778376953125,0.024526940538931,0.88114134375,0.91266233984375,0.0529669197351836,0.0111271759645368,0.0462305184412903,0.0597962659517635,0.018,0.0102215853995752,0.012,0.0245,NA,NA,NA,NA
"9",100,1000,0.1,0.7,0.07,0.0806563729971197,0.02,0.12,-0.06781,0.131111103337696,-0.15634,0.005955,0.33988,0.0863832043629788,0.286315,0.392515,0.891502548828125,0.0240204945639998,0.876465796875,0.905918271484375,0.0549085566876844,0.011021533564701,0.0483645210920693,0.0614113199867764,0.018,0.0101222226518755,0.0115,0.024,NA,NA,NA,NA
"10",100,1000,0.1,0.8,0.12,0.104499649605521,0.06,0.19,-0.24829,0.127808399181245,-0.329675,-0.170825,0.36495,0.0913257522550085,0.31082,0.41861,0.901096587890625,0.0244631374808111,0.88597790234375,0.915399984375,0.0516741716175922,0.0118792560235043,0.0442710449579298,0.0584184104678923,0.019,0.00894430451926439,0.0135,0.0245,NA,NA,NA,NA
"11",100,1000,0.1,0.9,0.05,0.0701994560973491,0.01,0.1,-0.11654,0.128103244956802,-0.193965,-0.038815,0.33157,0.0803010460356539,0.284415,0.382805,0.88685840234375,0.0246593946034722,0.87218395703125,0.90212850390625,0.0572917139168034,0.0115406804575358,0.050454858997762,0.0638987523853415,0.0177142857142857,0.00964353511325175,0.012,0.0237142857142857,NA,NA,NA,NA
"12",100,1000,0.1,1,0.11,0.100256192030238,0.05,0.17,-0.131455,0.147546875122995,-0.224935,-0.04711,0.399845,0.0821008120773932,0.3504,0.45072,0.885643232421875,0.0234549642364487,0.871447138671875,0.900343140625,0.060200963468552,0.010683495302734,0.0537081495884759,0.0664441327805484,0.0137142857142857,0.00785486268567189,0.00921428571428571,0.0187142857142857,NA,NA,NA,NA
"13",100,1000,0.2,0,0.09,0.0939563406023986,0.03,0.15,-0.241355,0.131321954957804,-0.3224,-0.15808,0.373285,0.0907377985507103,0.31837,0.43005,0.889618197265625,0.0224323779658879,0.875944724609375,0.90381255859375,0.0580768616579315,0.0110285386484608,0.0510137082423573,0.0644177457836367,0.0931315789473684,0.018014420805066,0.0816315789473684,0.103631578947368,NA,NA,NA,NA
