"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"39",1000,0.1,0.2,0,90,2000,1000,1722,2509,1120,1332,2421,1652,2026,3120,1527,2082,3208,1591,2054,3144,1558,2074,3644,1916,2471,1173
"40",1000,0.1,0.2,0,100,2000,1000,1777,1687,2946,1480,1851,3245,1700,2234,2742,1227,1515,2771,1488,1705,3089,1641,2224,2242,2344,1742
"41",1000,0.1,0.3,0,10,2000,1000,1772,1650,2195,2035,1499,2612,1355,1278,1738,3143,1689,2390,1178,1009,1170,1895,2971,1479,1422,1977
"42",1000,0.1,0.3,0,20,2000,1000,1729,1298,1529,2182,2564,1095,864,899,893,938,1022,1130,1362,1903,2850,1361,1230,1666,2491,1200
"43",1000,0.1,0.3,0,30,2000,1000,1757,1468,2246,1627,2475,1367,1782,3493,1930,2014,3805,2049,2305,1283,1332,1833,2779,1389,1284,2154
"44",1000,0.1,0.3,0,40,2000,1000,1746,2704,1238,1074,1656,2556,1337,1284,1806,3194,1728,1773,2714,1345,1238,1499,2283,2538,1041,1134
"45",1000,0.1,0.3,0,50,2000,1000,1770,2476,1105,1338,2295,2394,1296,1893,3424,1829,2428,1212,1480,2647,1412,1810,3318,1782,2577,1243
"46",1000,0.1,0.3,0,60,2000,1000,1771,1858,3070,1500,1994,3491,1829,2529,1216,1491,2666,1433,1824,3056,1571,2048,3573,1874,2444,1890
"47",1000,0.1,0.3,0,70,2000,1000,1741,2078,3365,1614,2210,2392,1463,2218,2488,1057,1287,2224,2371,1552,2520,1321,1812,3255,1741,2293
"48",1000,0.1,0.3,0,80,2000,1000,1723,2191,2326,1411,2239,2510,1041,1173,2027,3754,2004,2654,1241,1687,2927,1534,2231,2729,1208,1484
"49",1000,0.1,0.3,0,90,2000,1000,1712,1681,2882,1418,2008,3831,2072,2806,1311,1598,2896,1554,1892,3395,1827,2399,1542,2486,1398,2076
"50",1000,0.1,0.3,0,100,2000,1000,1707,1944,3463,1750,2542,1227,1390,2640,1443,1783,3197,1700,2310,2091,1454,2422,1543,2455,1411,2129
"51",1000,0.1,0.4,0,10,2000,1000,1767,1702,2321,1271,1278,1746,2604,1281,1626,2469,1220,1072,1287,1710,2564,1263,1132,1374,1885,2860
"52",1000,0.1,0.4,0,20,2000,1000,1725,1843,2754,1315,1194,1573,2329,1280,1249,1698,2598,1314,1155,1464,2046,3055,1490,1417,2045,3136
"53",1000,0.1,0.4,0,30,2000,1000,1734,2190,1945,3311,1655,1696,2520,1516,1701,2529,1228,1075,1285,1725,2659,1335,1280,1741,3126,1636
"54",1000,0.1,0.4,0,40,2000,1000,1749,1484,2535,1270,1600,3102,1721,1802,3436,1880,2298,1258,1203,2020,3181,1614,1570,2261,1590,1915
"55",1000,0.1,0.4,0,50,2000,1000,1778,1364,1613,2341,1220,1536,2301,1444,1564,2296,1460,2137,2698,1188,1010,1641,3066,1651,1662,2489
"56",1000,0.1,0.4,0,60,2000,1000,1755,1432,1772,3154,1623,2374,1904,2509,1222,1477,2138,2546,1101,852,886,1089,1800,2857,1403,1865
"57",1000,0.1,0.4,0,70,2000,1000,1776,1658,2939,1457,1879,2906,1459,1864,3327,1772,2299,2264,2184,1634,2854,1497,1960,3530,1884,2534
"58",1000,0.1,0.4,0,80,2000,1000,1748,2003,2456,1704,2580,1296,1539,2704,1433,1742,3149,1674,2428,1433,1961,3258,1688,2163,3183,1550
"59",1000,0.1,0.4,0,90,2000,1000,1747,2086,3254,1539,1924,3368,1767,2307,2170,1553,2793,1489,1921,3334,1751,2520,1221,1480,2675,1435
"60",1000,0.1,0.4,0,100,2000,1000,1743,2080,2596,1174,1454,2617,1393,1485,2561,1378,1951,3560,1889,2550,1403,1910,3478,1867,2385,1757
"61",1000,0.1,0.5,0,10,2000,1000,1722,2071,3638,1785,1820,2724,1353,1584,2631,1356,1288,2188,3558,1813,1827,2741,1350,2007,3451,1805
"62",1000,0.1,0.5,0,20,2000,1000,1744,2204,2319,1124,1035,1222,2058,3938,2126,1742,2559,1246,1040,1592,2428,1158,1394,2492,1443,1506
"63",1000,0.1,0.5,0,30,2000,1000,1738,1539,2661,1319,1702,3006,1599,2080,3635,1898,2472,1186,1450,2590,1372,1738,3117,1651,2171,2214
"64",1000,0.1,0.5,0,40,2000,1000,1766,1873,3151,1533,1962,3503,1846,2453,1258,1581,2751,1443,1839,3317,1747,2266,2437,1222,1630,2950
"65",1000,0.1,0.5,0,50,2000,1000,1757,2135,3142,1455,1944,3468,1839,2381,1699,2632,1326,1552,2686,1404,1806,3235,1695,2297,2244,2345
"66",1000,0.1,0.5,0,60,2000,1000,1742,2360,1719,2671,1340,1681,2894,1512,1894,3225,1675,2175,3115,1500,2162,2759,1241,1700,3147,1700
"67",1000,0.1,0.5,0,70,2000,1000,1763,1335,1944,3448,1760,2467,1586,2219,2360,1345,2200,2662,1133,1333,2356,1569,2383,1818,2815,1444
"68",1000,0.1,0.5,0,80,2000,1000,1741,2149,3010,1347,1741,3187,1713,2473,1295,1907,3527,1915,2590,1215,1489,2691,1439,2062,3631,1918
"69",1000,0.1,0.5,0,90,2000,1000,1760,1893,3072,1458,2067,3410,1755,2547,1227,1415,2374,1534,2453,1538,2434,1434,1927,3475,1867,2395
"70",1000,0.1,0.5,0,100,2000,1000,1743,1427,2094,3571,1790,2608,1252,1727,3225,1749,2503,1253,1773,3471,1931,2544,1190,1317,2176,2721
