"time_step","total_time","sim_anneal_calls","mean_culls"
40,7.70466327667236,1600,200
40,7.81881260871887,1600,227.1
40,7.79235219955444,1600,281.2
40,7.51259732246399,1600,230.7
40,7.31418585777283,1600,185
40,7.54897093772888,1600,247.8
40,7.59702396392822,1600,312.1
40,7.7148756980896,1600,284.1
40,7.48718547821045,1600,255.3
40,7.3020396232605,1600,274.1
40,7.22281765937805,1600,260.3
40,7.17246413230896,1600,190.2
40,7.33801937103271,1600,323.7
40,6.89680290222168,1600,214.1
40,7.12705445289612,1600,220.1
40,7.47938680648804,1600,306.5
40,7.27509546279907,1600,248.6
40,7.25651669502258,1600,213.4
40,7.70543360710144,1600,273.4
40,7.151282787323,1600,155.2
40,7.24799561500549,1600,146.6
40,7.21691155433655,1600,257.3
40,7.3018696308136,1600,276.8
40,7.35017657279968,1600,248.9
40,7.49980640411377,1600,256.6
40,7.03022813796997,1600,171.8
40,7.60310435295105,1600,278.1
40,7.28254580497742,1600,248.8
40,7.18972754478455,1600,308.8
40,7.26461267471313,1600,240.2
40,7.40481209754944,1600,211.4
40,7.28257751464844,1600,282.8
40,7.41765165328979,1600,327.3
40,7.20343399047852,1600,212.7
40,7.40397381782532,1600,273.8
40,7.55504393577576,1600,253.4
40,7.54032826423645,1600,251.6
40,7.48581123352051,1600,184.3
40,7.42429947853088,1600,285.7
40,7.49165272712708,1600,230
40,7.35870265960693,1600,184
40,7.6075382232666,1600,279.1
40,7.10693621635437,1600,216.9
40,7.61067962646484,1600,280.2
40,7.51787257194519,1600,309
40,7.22346544265747,1600,251.5
40,7.44275808334351,1600,310.8
40,7.33326482772827,1600,304.4
40,7.23304605484009,1600,244.7
40,7.40826201438904,1600,254.8
40,7.29854941368103,1600,189.7
40,7.6028847694397,1600,188.4
40,7.42481374740601,1600,158.5
40,7.53037261962891,1600,263.6
40,7.34478354454041,1600,260.5
40,7.70995759963989,1600,283.3
40,7.53161692619324,1600,292.6
40,7.47369074821472,1600,322.4
40,7.56493496894836,1600,305.9
40,7.38880252838135,1600,347
40,7.6427366733551,1600,208.6
40,7.67859482765198,1600,191.6
40,7.46260738372803,1600,190
40,7.59281063079834,1600,281.9
40,7.22976016998291,1600,251.4
40,7.38210034370422,1600,256.5
40,7.43559336662292,1600,192.1
40,7.18447780609131,1600,195
40,7.16006016731262,1600,253.3
40,7.31738710403442,1600,155.9
40,7.21082448959351,1600,166.2
40,7.2506890296936,1600,182.4
40,7.2788667678833,1600,323.1
40,7.2149658203125,1600,295.5
40,7.50430965423584,1600,284.2
40,7.49241924285889,1600,252.5
40,7.56625843048096,1600,220.6
40,7.37755966186523,1600,254.8
40,7.4712598323822,1600,186.9
40,7.36072874069214,1600,277.1
40,7.3204562664032,1600,278.9
40,7.23737215995789,1600,192.3
40,7.39229536056519,1600,283.9
40,7.50109720230103,1600,271.7
40,7.77233290672302,1600,244.8
40,7.26376843452454,1600,195.4
40,7.47068023681641,1600,220.5
40,7.27579116821289,1600,168.1
40,7.25071907043457,1600,193.2
40,7.42198991775513,1600,205.3
40,7.25331139564514,1600,199.1
40,7.39544439315796,1600,249.7
40,7.78932666778564,1600,240.7
40,7.20573949813843,1600,193.2
40,7.46242523193359,1600,255.5
40,7.45587158203125,1600,132.4
40,7.4640645980835,1600,253.5
40,7.04324865341187,1600,180.5
40,7.44883060455322,1600,280.6
40,7.08596467971802,1600,221
40,7.36837601661682,1600,260.2
40,7.41767120361328,1600,258.5
40,7.11274433135986,1600,219.3
40,7.10755515098572,1600,216.5
40,7.13227939605713,1600,220.2
40,7.24704337120056,1600,220.8
40,7.30404472351074,1600,290.8
40,7.18152046203613,1600,214.8
40,7.38751125335693,1600,308.2
40,7.3454110622406,1600,259
40,7.04944491386414,1600,160
40,7.31462836265564,1600,258.3
40,7.24517154693604,1600,202.5
40,7.30975842475891,1600,254.1
40,7.18752813339233,1600,237.1
40,7.21510148048401,1600,271.2
40,7.35384154319763,1600,273.2
40,7.26610422134399,1600,251.8
40,7.00069570541382,1600,348.5
40,7.22694277763367,1600,321
40,7.2689197063446,1600,220.8
40,7.35731792449951,1600,347.8
40,7.39802932739258,1600,265.8
40,7.39433646202087,1600,222.1
