"time_step","total_time","sim_anneal_calls","mean_culls"
40,10.5177023410797,248000,524.5
40,10.5810146331787,160000,507.3
40,10.5509395599365,160000,520.5
40,10.6426382064819,264000,525.1
40,10.5223860740662,160000,511.1
40,10.7429118156433,160000,524.4
40,10.5228011608124,212000,523.2
40,10.3665165901184,164000,526.1
40,10.3720049858093,160000,513.8
40,10.6611130237579,164000,543.2
40,10.2461774349213,164000,517.5
40,10.2202026844025,188000,518.7
40,10.135498046875,208000,517.8
40,10.1234722137451,172000,521.1
40,10.1980397701263,172000,514.8
40,10.1681582927704,164000,521.9
40,10.1535472869873,180000,514.9
40,10.1822185516357,160000,517.8
40,10.1467576026917,204000,509.1
40,10.1707816123962,184000,518.4
40,10.5052983760834,172000,531
40,10.331955909729,164000,527.2
40,10.1641340255737,176000,543.3
40,10.4742667675018,172000,508.6
40,10.6411275863647,196000,522.5
40,10.3393161296844,184000,531.3
40,10.2509348392487,176000,531.2
40,10.3223741054535,160000,525.7
40,10.2969677448273,196000,514.3
40,10.1949434280396,164000,513.3
40,10.4030575752258,2e+05,510.7
40,10.5378425121307,168000,521.8
40,10.2288534641266,172000,536.6
40,10.5637924671173,172000,528.3
40,10.2361149787903,168000,523.3
40,10.1231322288513,168000,508.1
40,10.363555431366,196000,511.5
40,10.2952811717987,188000,513.3
40,10.395051240921,184000,511.7
40,10.2424721717834,180000,534.4
40,10.7313129901886,168000,518.9
40,10.4740812778473,188000,514.1
40,10.2760226726532,180000,529.4
40,10.2751030921936,164000,521.6
40,10.3391256332397,164000,520.7
40,10.1463642120361,160000,524.8
40,10.1477525234222,220000,519.8
40,10.1611843109131,196000,527.7
40,10.3680288791656,176000,510.6
40,10.1735844612122,196000,514.1
40,10.655556678772,160000,521.7
40,10.4181346893311,160000,519.5
40,10.4976627826691,164000,531.4
40,10.3633444309235,176000,524.9
40,10.6316301822662,164000,530.4
40,10.566725730896,188000,516
40,10.6318843364716,160000,526.9
40,10.5681600570679,188000,525
40,10.3233616352081,176000,533.5
40,10.569452047348,160000,521.6
40,10.5394449234009,192000,522.5
40,10.7338085174561,192000,525.1
40,10.4940326213837,184000,510.9
40,10.4462435245514,164000,518.4
40,10.3225829601288,168000,512
40,10.3438498973846,164000,516.2
40,10.287239074707,168000,518.8
40,10.3561079502106,168000,515
40,10.4071514606476,184000,522.6
40,10.3041136264801,2e+05,524.4
40,10.3001284599304,160000,524.2
40,10.3952798843384,172000,523.9
40,10.2907192707062,160000,515.1
40,10.278137922287,164000,520.9
40,10.3833074569702,160000,519.8
40,10.3169898986816,164000,516.1
40,10.3291351795197,196000,517.1
40,10.3072957992554,2e+05,524.2
40,10.2531743049622,184000,515.8
40,10.3349056243896,188000,523.2
40,10.3425514698029,176000,516.2
40,10.3453755378723,192000,536.5
40,10.38232421875,180000,524
40,10.4035375118256,172000,518.1
40,10.3869378566742,180000,521.4
40,10.345184803009,176000,528
40,10.3980560302734,164000,516.2
40,10.3547267913818,160000,505.5
40,10.461799621582,172000,521.2
40,10.3921167850494,212000,521.3
40,10.3270406723022,172000,517.6
40,10.4190912246704,184000,517.2
40,10.3783285617828,188000,514.3
40,10.3861978054047,160000,516.7
40,10.4839696884155,160000,522.1
40,10.3870751857758,160000,517.4
40,10.385776758194,204000,507.7
40,10.1198680400848,188000,523.3
40,10.0869064331055,160000,531.2
40,10.1396512985229,184000,522.4
40,10.1527907848358,180000,521
40,10.0758905410767,168000,518.3
40,10.0888471603394,164000,530.5
40,10.1498820781708,184000,512.8
40,10.0892026424408,160000,525.4
40,10.0918521881104,192000,519
40,10.1376249790192,164000,511.7
40,10.0748436450958,164000,522.2
40,10.1167824268341,176000,517.9
40,10.0559458732605,192000,519.7
40,10.0450918674469,176000,519.8
40,10.1293435096741,160000,522.1
40,10.0701518058777,232000,525
40,10.0588042736053,168000,510.1
40,10.130199432373,208000,519
40,10.0851981639862,160000,523
40,10.0453922748566,196000,511.5
40,10.1585323810577,160000,526.3
40,10.0497832298279,184000,512.4
40,10.0583560466766,172000,512
40,10.1384694576263,160000,517.9
40,10.0543127059937,176000,507.3
40,10.07590508461,168000,513.9
40,10.1674411296844,192000,520.8
