"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci"
100,100,0,0,1,-0.87495,0.0575558358676533,0.0107053854713835,0.87495,0.0575558358676533,0.0107053854713835,9945.24421875,24.9994613711507,4.64989981503403,0.0960660697019328,0.0226664799990235,0.00421596527981836,0,0,0
100,100,0.4,0,0.32,-0.28949,0.964808909692599,0.179454457202823,0.94719,0.330569196747646,0.0614858705950621,9702.84919921875,400.059704561151,74.411105048374,0.105680560712621,0.0330874754514453,0.00615427043396882,4.32,3.85305860402624,0.71666890034888
100,100,0.4,0.5,0.34,-0.24036,0.947757539637324,0.176282902372542,0.89432,0.385634172172896,0.0717279560241587,9681.54541015625,393.802131194569,73.2471964021899,0.106505159054736,0.0295483332685431,0.00549598998794901,4.9,4.39352140122593,0.817194980628024
100,100,0.4,1,0.34,-0.32223,0.955921638466715,0.177801424754809,0.95233,0.320271445950008,0.0595704889467015,9716.56484375,396.377509720646,73.7262168080401,0.106773934748242,0.0376231885079729,0.00699791306248296,4.12,3.65778538727929,0.680348082033949
100,100,0.4,1.5,0.4,-0.55413,0.769597529015437,0.143145140396871,0.89131,0.316202361206116,0.0588136391843376,9812.3605859375,320.349018844779,59.5849175051288,0.104821124086735,0.0282928784184863,0.00526247538583846,3.4,3.25669473639465,0.605745220969405
100,100,0.8,0,0.26,0.13852,1.14006200859179,0.212051533598073,1.06554,0.415065126202984,0.077202113473755,9523.69671875,474.05820815622,88.174826717057,0.102842611405951,0.0268757628916781,0.00499889189785213,9.76,5.20124305266821,0.967431207796287
100,100,0.8,0.5,0.14,0.2565,1.10422427179638,0.205385714554126,1.04922,0.416876034186169,0.0775389423586274,9474.432578125,458.759144509206,85.3292008787123,0.10274516031532,0.0324089457175869,0.00602806390347117,11.26,5.29077718604018,0.984084556603473
100,100,0.8,1,0.21,0.21031,1.10566234726593,0.205653196591464,1.02221,0.460106867142753,0.0855798772885521,9494.0473046875,458.951639004555,85.3650048548471,0.103042366127055,0.0310232463701096,0.00577032382484039,11.01,5.56594079825657,1.03526498847572
100,100,0.8,1.5,0.15,0.27934,1.12879484514425,0.209955841196831,1.07974,0.418786597857972,0.0778943072015827,9465.8136328125,468.257256239794,87.0958496606017,0.111167724621494,0.0289889433643389,0.00539194346576703,10.69,5.04864218169478,0.93904744579523
100,100,1.2,0,0.03,0.63388,0.981539939137075,0.182566428679496,1.03246,0.540871582809551,0.100602114402576,9315.25445800781,405.921402159566,75.5013808016792,0.10650705356576,0.0318157894193939,0.00591773683200727,17.15,3.65528536657688,0.679883078183301
100,100,1.2,0.5,0.06,0.48517,1.03326447527174,0.192187192400544,1.02777,0.488284853421451,0.0908209827363899,9377.370234375,428.277894376607,79.6596883540489,0.0990333845048478,0.026087753013952,0.00485232206059507,17.02,3.73890277212365,0.695435915615
100,100,1.2,1,0.01,0.54822,1.01183391438666,0.188201108075919,1.02786,0.510118604153025,0.0948820603724626,9351.8930859375,418.574460961186,77.8548497387806,0.0998532552916726,0.0275861346477208,0.00513102104447608,17.41,3.56779931038615,0.663610671731825
100,100,1.2,1.5,0.02,0.63357,1.03653660155522,0.19279580788927,1.11405,0.475636296305945,0.0884683511129057,9317.4349609375,428.514762770554,79.703745875323,0.103382648955322,0.032008991938343,0.00595367250053179,16.92,3.74349267045327,0.696289636704309
100,400,0,0,1,-0.91462,0.0468422627096255,0.00871266086399035,0.91462,0.0468422627096255,0.00871266086399035,9962.36640625,20.6074790439193,3.83299110216899,0.092160284827965,0.0191551415439797,0.00356285632718022,0,0,0
100,400,0.4,0,0.19,0.18631,0.972959784016344,0.18097051982704,0.86985,0.466294903326947,0.0867308520188121,9504.0437109375,401.858833848226,74.7457430957699,0.113964043518925,0.0360841721908323,0.00671165602749481,7.01,3.98860751378096,0.741880997563258
100,400,0.4,0.5,0.23,-0.02312,0.951421448850788,0.176964389486247,0.8523,0.414716636860506,0.0771372944560541,9590.4325,394.488906592865,73.3749366262729,0.111151538675534,0.0330888813995529,0.00615453194031684,6.22,4.2748501066521,0.79512211983729
100,400,0.4,1,0.31,-0.16072,0.920594264372726,0.171230533173327,0.83946,0.402211925143043,0.074811418076606,9647.53504882813,382.525647166232,71.1497703729191,0.109322040001784,0.0313161614978335,0.00582480603859704,5.66,4.41123450963445,0.820489618792008
100,400,0.4,1.5,0.31,-0.08627,0.936932582279736,0.174269460304031,0.85241,0.389124816904953,0.0723772159443213,9616.19515625,389.7392225485,72.491495394021,0.109116761615362,0.0316644635679354,0.00588959022363599,6.16,4.86944710942784,0.905717162353578
100,400,0.8,0,0.14,0.28421,1.08752907120089,0.202280407243366,1.01595,0.47088269518667,0.0875841813047207,9463.2787109375,450.75620502118,83.8406541339395,0.108197698807755,0.0276740218941616,0.00514736807231406,11.5,5.09208139460603,0.947127139396722
100,400,0.8,0.5,0.26,0.15007,1.11058166809792,0.206568190266213,1.02659,0.437730259060268,0.0814178281852099,9518.96232421875,461.533444140573,85.8452206101466,0.102533015172732,0.0282429174420464,0.00525318264422063,10.26,5.57523383574468,1.03699349344851
100,400,0.8,1,0.14,0.19762,1.09356547590943,0.203403178519153,1.0072,0.45894963522893,0.0853646321525809,9498.114765625,454.684781996486,84.5713694513464,0.101037077488775,0.0279822387964575,0.00520469641614109,10.69,5.42104950888458,1.00831520865253
100,400,0.8,1.5,0.15,0.22244,1.11459674566838,0.207314994694319,1.04996,0.422792781108637,0.0786394572862065,9488.23484375,463.532714521322,86.2170849009658,0.105861950322366,0.0359667726011044,0.00668981970380542,10.74,5.72363520850167,1.06459614878131
100,400,1.2,0,0.06,0.49061,1.0646334969027,0.198021830423902,1.05361,0.505239395102595,0.0939745274890827,9375.443359375,441.340165295866,82.0892707450311,0.102571622774583,0.0281092362797344,0.00522831794803059,16.63,4.23943726015945,0.788535330389658
100,400,1.2,0.5,0.03,0.58103,1.02404236077746,0.190471879104607,1.06277,0.498778221499721,0.092772749198948,9338.87626953125,423.700870253418,78.8083618671357,0.103216328291265,0.0308095402083613,0.0057305744787552,17.1,3.5604448706261,0.662242745936454
100,400,1.2,1,0.04,0.36539,1.01142992981684,0.188125966945932,0.94381,0.508009717058899,0.0944898073729552,9428.07060546875,418.130195715759,77.7722164031312,0.104931263414797,0.026296680298212,0.00489118253546744,17.49,3.84417439350464,0.715016437191863
100,400,1.2,1.5,0.05,0.60582,1.00756840387383,0.187407723120532,1.03954,0.542549730904965,0.100914249948324,9328.68942382813,416.251959480102,77.4228644632989,0.101647376537172,0.0262410903706219,0.00488084280893568,16.71,3.98556739683918,0.741315535812088
100,800,0,0,0.11,-0.34573,0.377612779460814,0.0702359769797114,0.40985,0.30602981880856,0.0569215462983921,9708.033046875,157.328401743378,29.2630827242684,0.0953284368660377,0.0248317427374533,0.00461870414916632,0,0,0
100,800,0.4,0,0.11,0.16489,0.822357474618311,0.152958490279006,0.67885,0.488101338521691,0.0907868489650346,9508.62030273437,340.995836988019,63.4252256797715,0.108907019621408,0.0331951681628166,0.00617430127828388,8.36,4.28650690121239,0.797290283625504
100,800,0.4,0.5,0.11,0.31689,0.829479998906459,0.154283279796601,0.71687,0.519978023136992,0.0967159123034806,9446.435625,342.750800087803,63.7516488163313,0.115042925232277,0.0363256495576668,0.00675657081772603,8.68,3.96927594343748,0.738285325479372
100,800,0.4,1,0.1,0.2163,0.816354887919649,0.151842009153055,0.71066,0.451170200588414,0.083917657309445,9487.28693359375,338.233850773382,62.911496243849,0.108740950542053,0.0312407077040267,0.00581077163294897,9.05,3.79892329243671,0.706599732393228
100,800,0.4,1.5,0.09,0.30712,0.882897494307547,0.164218933941204,0.78218,0.506752432533666,0.0942559524512619,9450.71392578125,364.905835726652,67.8724854451574,0.113432700806865,0.0310538696220952,0.0057760197497097,8.06,4.02973794170141,0.749531257156461
100,800,0.8,0,0.06,0.6069,0.992139434034177,0.184537934730357,1.05384,0.484347018931132,0.0900885455211906,9328.597734375,411.005085670533,76.4469459347192,0.108751186157298,0.0306709961133381,0.00570480527708089,12.31,4.74116935667635,0.881857500341802
100,800,0.8,0.5,0.2,0.37146,1.06181725700458,0.197498009802852,1.02568,0.451869738090548,0.0840477712848419,9426.88166015625,440.150730693248,81.8680359089441,0.109043684863339,0.0365343115927316,0.00679538195624807,11.4,5.30103858701388,0.985993177184582
100,800,0.8,1,0.08,0.4215,1.0302177420136,0.191620500014529,0.99024,0.500325250171922,0.0930604965319774,9404.504609375,426.691547759049,79.3646278831832,0.107228595735536,0.0302788435043229,0.00563186489180405,11.72,5.11104962633198,0.950655230497749
100,800,0.8,1.5,0.1,0.52099,0.945581575037556,0.175878172956985,0.94265,0.520319276012237,0.0967793853382762,9363.052890625,390.994366612073,72.7249521898456,0.108413616160897,0.0310781197038131,0.00578053026490924,13.08,5.27751089171033,0.981617025858122
100,800,1.2,0,0.06,0.53539,1.06532725464758,0.19815086936445,1.07597,0.505029201175936,0.0939354314187241,9358.36470703125,440.117722054195,81.8618963020803,0.0998265791017696,0.0252861161070542,0.00470321759591209,16.59,4.25000297088429,0.790500552584477
100,800,1.2,0.5,0.03,0.57128,1.00204757120084,0.186380848243356,1.0282,0.515638213941488,0.0959087077931167,9342.2437890625,414.104196117324,77.0233804778223,0.100748392180483,0.027209706997462,0.00506100550152794,16.68,4.04989088268019,0.753279704178516
100,800,1.2,1,0.06,0.46071,1.02598109040995,0.190832482816251,1.00919,0.488142297828505,0.0907944673961019,9388.06916015625,424.949726397017,79.0406491098452,0.103364586867136,0.0301331161447002,0.00560475960291424,17.03,3.82563126104105,0.711567414553636
100,800,1.2,1.5,0.03,0.7442,0.933372877950141,0.173607355298726,1.05334,0.556668993281293,0.103540432750321,9270.486015625,384.394326295084,71.4973446908857,0.105835694024719,0.0314835975917764,0.00585594915207041,16.58,3.90591367238981,0.726499943064504
100,1200,0,0,0.01,-0.13044,0.333978022624183,0.0621199122080981,0.26232,0.243353501862387,0.045263751346404,9622.3023828125,136.026364315985,25.3009037627733,0.0896434056578895,0.0235238131253173,0.00437542924130902,0,0,0
100,1200,0.4,0,0.06,0.31143,0.773093239309895,0.14379534251164,0.68311,0.473591263377477,0.0880879749882107,9447.97640625,318.615278567006,59.262441813463,0.116405106966397,0.0364568810252578,0.00678097987069794,9,3.71456320419774,0.69090875598078
100,1200,0.4,0.5,0.06,0.2236,0.765370802060325,0.14235896918322,0.6288,0.486735217255924,0.0905327504096019,9483.1378125,317.210970196454,59.0012404565404,0.111685937560323,0.0344570949092731,0.00640901965312479,9.59,4.10738433319869,0.763973485974957
