"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"74",74,100,0,0,1,-0.762,0.762,9895.34375,0.0863077110488488,0
"75",75,100,0,0,1,-0.872,0.872,9943.5,0.0821078431372549,0
"76",76,100,0,0,1,-0.975,0.975,9988.875,0.0841750841750842,0
"77",77,100,0,0,1,-0.836,0.836,9927.25,0.101404056162246,0
"78",78,100,0,0,1,-0.864,0.864,9937,0.152891594474362,0
"79",79,100,0,0,1,-0.98,0.98,9991.625,0.10965935604293,0
"80",80,100,0,0,1,-0.866,0.866,9939.5,0.0894610778443114,0
"81",81,100,0,0,1,-0.892,0.892,9950.5,0.0945620789220404,0
"82",82,100,0,0,1,-0.886,0.886,9951.53125,0.0935374149659864,0
"83",83,100,0,0,1,-0.862,0.862,9941.40625,0.0639230488250335,0
"84",84,100,0,0,1,-0.877,0.877,9946.4375,0.108871440290636,0
"85",85,100,0,0,1,-0.896,0.896,9955.25,0.0522406234778373,0
"86",86,100,0,0,1,-0.878,0.878,9945.8125,0.093719806763285,0
"87",87,100,0,0,1,-0.78,0.78,9904.015625,0.0922207526752435,0
"88",88,100,0,0,1,-0.832,0.832,9928,0.0961722488038278,0
"89",89,100,0,0,1,-0.869,0.869,9943.3125,0.0549951385512883,0
"90",90,100,0,0,1,-0.863,0.863,9940.9375,0.137498520885102,0
"91",91,100,0,0,1,-0.881,0.881,9948.1875,0.0653290922436995,0
"92",92,100,0,0,1,-0.85,0.85,9935.5,0.062376968503937,0
"93",93,100,0,0,1,-0.868,0.868,9942.0625,0.082490366088632,0
"94",94,100,0,0,1,-0.882,0.882,9945.625,0.104795321637427,0
"95",95,100,0,0,1,-0.851,0.851,9935.4375,0.11512089498376,0
"96",96,100,0,0,1,-0.879,0.879,9947.375,0.0666830105417995,0
"97",97,100,0,0,1,-0.844,0.844,9932.9375,0.0601328086571569,0
"98",98,100,0,0,1,-0.831,0.831,9926.6875,0.0778730291948924,0
"99",99,100,0,0,1,-0.879,0.879,9946.9375,0.102835175396444,0
"100",100,100,0,0,1,-0.882,0.882,9947.9375,0.0913496051687007,0
"101",1,100,0.4,0,0,-0.968,0.968,9985.375,0.0774748923959828,4
"102",2,100,0.4,0,0,-0.861,0.861,9936.75,0.0966975528629128,4
"103",3,100,0.4,0,1,-0.983,0.983,9993.125,0.117550829633092,2
"104",4,100,0.4,0,0,1.521,1.521,8955.171875,0.105426511814177,5
"105",5,100,0.4,0,0,-0.987,0.987,9994.625,0.0562258687258687,2
"106",6,100,0.4,0,0,0.458,0.458,9391.6015625,0.108163774809637,12
"107",7,100,0.4,0,0,1.617,1.617,8916.390625,0.10633385753003,2
"108",8,100,0.4,0,0,0.805,0.805,9244.453125,0.170214034460144,6
"109",9,100,0.4,0,0,1.459,1.459,8983.53125,0.0929659643435981,8
"110",10,100,0.4,0,0,-0.771,0.771,9902.5625,0.106071261134552,6
"111",11,100,0.4,0,0,0.199,0.199,9488.328125,0.122210267445435,7
"112",12,100,0.4,0,1,-0.982,0.982,9991.875,0.132231404958678,1
"113",13,100,0.4,0,0,1.463,1.463,8977.0703125,0.146139967714367,3
"114",14,100,0.4,0,1,-0.987,0.987,9994.25,0.126629422718808,1
"115",15,100,0.4,0,1,-0.99,0.99,9995.25,0.128242074927954,1
"116",16,100,0.4,0,0,-0.2,0.2,9655.4375,0.0998330447687361,14
"117",17,100,0.4,0,0,1.454,1.454,8994.09375,0.106666008945014,8
"118",18,100,0.4,0,0,-0.99,0.99,9995.75,0.0618331716779825,2
"119",19,100,0.4,0,0,-0.95,0.95,9977.5,0.064931906614786,3
"120",20,100,0.4,0,0,1.212,1.212,9065.59375,0.0826150377933961,11
"121",21,100,0.4,0,0,-0.361,0.361,9723.8125,0.137716972034716,6
"122",22,100,0.4,0,1,-0.99,0.99,9995.25,0.121951219512195,2
"123",23,100,0.4,0,1,-0.879,0.879,9948.1875,0.107023610779871,0
"124",24,100,0.4,0,0,1.669,1.669,8892.140625,0.0958308237970956,3
"125",25,100,0.4,0,0,-0.985,0.985,9993.5,0.0924772400574988,2
"126",26,100,0.4,0,0,-0.828,0.828,9925.375,0.118158327460653,5
"127",27,100,0.4,0,0,1.268,1.268,9048.21875,0.160205351586808,14
"128",28,100,0.4,0,1,-0.894,0.894,9952.5,0.0815347721822542,0
"129",29,100,0.4,0,0,0.334,0.334,9429.658203125,0.150985496467088,5
"130",30,100,0.4,0,0,1.185,1.185,9101.484375,0.160496338486574,9
"131",31,100,0.4,0,0,-0.674,0.674,9861.1875,0.106966075093565,6
"132",32,100,0.4,0,1,-0.989,0.989,9994.75,0.0476658476658477,2
"133",33,100,0.4,0,0,1.242,1.242,9068.21875,0.186928350669114,7
"134",34,100,0.4,0,0,-0.986,0.986,9994,0.115850815850816,2
"135",35,100,0.4,0,1,-0.868,0.868,9943.75,0.0784761446941473,0
"136",36,100,0.4,0,0,-0.959,0.959,9981.875,0.0978130257149724,4
"137",37,100,0.4,0,0,1.409,1.409,9010.25,0.18130083864052,6
"138",38,100,0.4,0,1,-0.977,0.977,9989.75,0.0940641455241742,1
"139",39,100,0.4,0,0,-0.273,0.273,9689.875,0.0660477952706517,11
"140",40,100,0.4,0,0,-0.327,0.327,9711.4375,0.109507127325441,13
"141",41,100,0.4,0,0,-0.99,0.99,9995.625,0.113189897100094,1
"142",42,100,0.4,0,0,-0.825,0.825,9922.5,0.0830097087378641,3
"143",43,100,0.4,0,0,1.463,1.463,8965.375,0.104644710643993,6
"144",44,100,0.4,0,1,-0.99,0.99,9995.875,0.0851140026262385,1
"145",45,100,0.4,0,0,1.482,1.482,8962.03125,0.104695894408702,5
"146",46,100,0.4,0,0,0.083,0.083,9537,0.155461150104667,9
"147",47,100,0.4,0,0,-0.874,0.874,9947,0.0795344325897187,5
"148",48,100,0.4,0,1,-0.982,0.982,9991.875,0.125177137458668,1
"149",49,100,0.4,0,1,-0.988,0.988,9994.75,0.0987654320987654,1
"150",50,100,0.4,0,0,1.575,1.575,8937.1015625,0.0780674127186223,4
"151",51,100,0.4,0,1,-0.99,0.99,9995.625,0.0624390243902439,2
"152",52,100,0.4,0,1,-0.989,0.989,9995.625,0.0761904761904762,2
"153",53,100,0.4,0,1,-0.844,0.844,9932.6875,0.0931796349663785,0
"154",54,100,0.4,0,0,-0.511,0.511,9788.1875,0.07843017578125,13
"155",55,100,0.4,0,0,-0.982,0.982,9991.25,0.0577950461389024,2
"156",56,100,0.4,0,1,-0.883,0.883,9949.15625,0.0979785969084423,0
"157",57,100,0.4,0,0,-0.84,0.84,9929.25,0.0887750238322212,5
"158",58,100,0.4,0,0,-0.983,0.983,9992.75,0.134449872063271,3
"159",59,100,0.4,0,1,-0.987,0.987,9994,0.105696798493409,1
"160",60,100,0.4,0,1,-0.984,0.984,9993,0.0753474762253109,1
"161",61,100,0.4,0,0,1.182,1.182,9096.90625,0.184660478749389,6
"162",62,100,0.4,0,1,-0.986,0.986,9993.5,0.0943931866572037,1
"163",63,100,0.4,0,1,-0.813,0.813,9918.375,0.0674996937400466,1
"164",64,100,0.4,0,0,1.635,1.635,8903.796875,0.0963394399106024,6
"165",65,100,0.4,0,0,-0.155,0.155,9636.15625,0.0894268774703557,9
"166",66,100,0.4,0,0,-0.985,0.985,9993,0.107159569489939,2
"167",67,100,0.4,0,0,-0.78,0.78,9904.1875,0.137040074994141,6
