"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"63",3,1000,0.5,0,0,0.661,0.661,9378.9375,0.050382938918157,8,1
"64",4,1000,0.5,0,0,0.248,0.248,9467.8125,0.0129401232361458,8,0
"65",5,1000,0.5,0,0,0.345,0.345,9438.28125,0.0309480656644022,7,0
"66",6,1000,0.5,0,0,0.761,0.761,9286.53125,0.00289650537634409,7,2
"67",7,1000,0.5,0,0,0.516,0.516,9438.375,0.00235462193766866,9,1
"68",8,1000,0.5,0,0,0.692,0.692,9245.59375,0.024063153254837,7,3
"69",9,1000,0.5,0,0,0.676,0.676,9398.484375,0.00468060121344006,6,1
"70",10,1000,0.5,0,0,0.35,0.35,9442.75,0.0379720533998234,7,0
"71",1,1000,0.5,0.25,0,0.621,0.621,9316.875,0.0170005587038072,6,3
"72",2,1000,0.5,0.25,0,0.272,0.272,9450.125,0.00235169771436121,8,0
"73",3,1000,0.5,0.25,0,0.41,0.41,9478.40625,0.0378636443029868,9,0
"74",4,1000,0.5,0.25,0,0.294,0.294,9537.25,0.000917034572203372,8,0
"75",5,1000,0.5,0.25,0,0.429,0.429,9478.3125,6.59378338102837e-05,7,0
"76",6,1000,0.5,0.25,0,0.351,0.351,9431.9453125,0.00851005568898625,6,0
"77",7,1000,0.5,0.25,0,0.684,0.684,9258.6875,0.0087639709391025,7,2
"78",8,1000,0.5,0.25,0,0.573,0.573,9423.125,0.0285962721549194,9,1
"79",9,1000,0.5,0.25,0,0.494,0.494,9385.046875,0.00843189331317371,7,0
"80",10,1000,0.5,0.25,0,0.603,0.603,9315.7421875,0.00654501684317872,6,2
"81",1,1000,0.5,0.5,0,0.763,0.763,9368.71875,0.0169400714380209,7,1
"82",2,1000,0.5,0.5,0,0.413,0.413,9487.34375,0.0286807007519188,8,0
"83",3,1000,0.5,0.5,0,0.583,0.583,9391.15625,0.00818552983907315,9,1
"84",4,1000,0.5,0.5,0,0.555,0.555,9425.4375,0.0269128113879004,8,1
"85",5,1000,0.5,0.5,0,0.72,0.72,9378.3125,0.0406359155159469,8,1
"86",6,1000,0.5,0.5,0,0.471,0.471,9399.8125,0.0111215435274204,7,0
"87",7,1000,0.5,0.5,0,0.83,0.83,9316.84375,0.0305388390881286,7,2
"88",8,1000,0.5,0.5,0,0.81,0.81,9280.25,0.0342357847355531,7,2
"89",9,1000,0.5,0.5,0,0.634,0.634,9306.75,0.00562520090003214,6,2
"90",10,1000,0.5,0.5,0,0.662,0.662,9390.859375,0.0111617040708949,5,1
"91",1,1000,0.5,0.75,0,0.324,0.324,9531.78125,0.00531667920086322,8,0
"92",2,1000,0.5,0.75,0,0.529,0.529,9364.625,0.0240020045630184,7,1
"93",3,1000,0.5,0.75,0,0.772,0.772,9350.59375,0.00579163445389352,7,2
"94",4,1000,0.5,0.75,0,0.878,0.878,9250,0.0190068263953955,5,3
"95",5,1000,0.5,0.75,0,0.863,0.863,9256.109375,0.00302382653955583,6,2
"96",6,1000,0.5,0.75,0,0.118,0.118,9576.125,0.00466218680002084,9,0
"97",7,1000,0.5,0.75,0,0.632,0.632,9415.0625,0.00216174637277526,7,1
"98",8,1000,0.5,0.75,0,0.509,0.509,9375.5625,0.0319203369150234,6,1
"99",9,1000,0.5,0.75,0,0.668,0.668,9409,0.0197441546910454,8,1
"100",10,1000,0.5,0.75,0,0.78,0.78,9309.15625,0.0186038777478466,7,2
"101",1,1000,0.5,1,0,0.484,0.484,9397.265625,0.000229428722481022,5,0
"102",2,1000,0.5,1,0,0.697,0.697,9382.46875,0.018237503382816,9,1
"103",3,1000,0.5,1,0,0.628,0.628,9319.5,0.0389289284023357,7,2
"104",4,1000,0.5,1,0,0.501,0.501,9366.46875,0.00914634146341463,6,1
"105",5,1000,0.5,1,0,0.628,0.628,9314.21875,0.00857224943040977,5,2
