"","rep","scar","at","bb","extinct","act_dev","final yield","max_diff_yield","inac_ts"
"106",6,0,0.1,0,0,-0.237,9667.375,0.1,3
"107",7,0,0.1,0,0,-0.192,9650.0625,0.1,4
"108",8,0,0.1,0,0,1.17,9092.0078125,0.1,1
"109",9,0,0.1,0,0,-0.133,9623.71875,0.1,4
"110",10,0,0.1,0,0,-0.71,9873.34375,0.1,4
"111",11,0,0.1,0,0,-0.183,9645.53125,0.1,6
"112",12,0,0.1,0,0,0.148,9512.25,0.1,6
"113",13,0,0.1,0,0,0.754,9270.09765625,0.1,2
"114",14,0,0.1,0,1,-0.986,9993.5,0.1,1
"115",15,0,0.1,0,0,1.178,9104.1953125,0.1,3
"116",16,0,0.1,0,0,-0.331,9709.4375,0.1,3
"117",17,0,0.1,0,0,-0.534,9798.9375,0.1,3
"118",18,0,0.1,0,1,-0.914,9962.40625,0.1,1
"119",19,0,0.1,0,0,0.945,9182.03125,0.1,6
"120",20,0,0.1,0,0,-0.002,9568.21875,0.1,2
"121",21,0,0.1,0,0,0.387,9420.375,0.1,7
"122",22,0,0.1,0,0,0.143,9515.34375,0.1,5
"123",23,0,0.1,0,0,-0.253,9677.3125,0.1,5
"124",24,0,0.1,0,0,-0.961,9981.75,0.1,4
"125",25,0,0.1,0,0,-0.384,9728.25,0.1,5
"126",26,0,0.1,0,0,0.0840000000000001,9546.09375,0.1,3
"127",27,0,0.1,0,0,0.0449999999999999,9557.03125,0.1,3
"128",28,0,0.1,0,0,0.315,9439.3125,0.1,7
"129",29,0,0.1,0,0,0.0900000000000001,9527.75,0.1,10
"130",30,0,0.1,0,0,0.071,9545.3125,0.2,3
"131",31,0,0.1,0,0,-0.686,9864.03125,0.1,1
"132",32,0,0.1,0,0,-0.707,9871.75,0.1,3
"133",33,0,0.1,0,0,-0.114,9617.71875,0.1,4
"134",34,0,0.1,0,1,-0.977,9991,0.1,1
"135",35,0,0.1,0,0,1.24,9048,0.2,5
"136",36,0,0.1,0,1,-0.988,9994.5,0.1,1
"137",37,0,0.1,0,0,-0.785,9905.875,0.1,3
