"rep","budget","at","bb","ext_prob","act_dev","act_dev_sd","act_dev_95ci","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci","fin_yield","fin_yield_sd","fin_yield_95ci","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci","inac_ts","inac_ts_sd","inac_ts_95ci","overK_tot","overK_sd","overK_95ci"
100,1000,0,0,0.94,-0.943,0.0928423291435974,0.0172686732207091,0.943,0.0928423291435974,0.0172686732207091,9974.67,40.4162801449809,7.51742810696644,0.087,0.023309232400233,0.00433551722644334,0,0,0,0,0,0
100,1000,0.1,0,0.96,-0.946,0.102339373526211,0.0190351234758753,0.946,0.102339373526211,0.0190351234758753,9976.472,43.135539050778,8.0232102634447,0.095,0.0214429762273998,0.00398839357829636,0,0,0,0,0,0
100,1000,0.1,0.1,0.94,-0.928,0.162798032835012,0.0302804341073121,0.928,0.162798032835012,0.0302804341073121,9969.249,66.5069536788898,12.3702933842735,0.093,0.0233879106355641,0.00435015137821493,0.1,0.674199862463242,0.125401174418163,0,0,0
100,1000,0.1,0.2,0.91,-0.918,0.174274729126518,0.0324150996175323,0.918,0.173420927750425,0.0322562925615791,9964.476,74.5809206152307,13.8720512344329,0.094,0.0208453159833613,0.00387722877290521,0.08,0.418752355639387,0.0778879381489259,0,0,0
100,1000,0.1,0.3,0.97,-0.936,0.165953838963329,0.0308674140471793,0.94,0.142474147575175,0.0265001914489825,9973.222,67.0097772051415,12.4638185601563,0.093,0.0216924354067536,0.00403479298565616,0.06,0.445403006707227,0.0828449592475443,0,0,0
100,1000,0.1,0.4,0.92,-0.927,0.150535653349274,0.0279996315229651,0.927,0.150535653349274,0.0279996315229651,9968.336,63.7977416766438,11.8663799518557,0.095,0.0230445046650644,0.00428627786770199,0.06,0.31204765240863,0.0580408633480052,0,0,0
100,1000,0.1,0.5,0.93,-0.926,0.185000206388091,0.034410038388185,0.933,0.146992112754805,0.0273405329723937,9967.94,77.3850367323839,14.3936168322234,0.094,0.0226442255755366,0.00421182595704981,0.1,0.594588390010563,0.110593440541965,0,0,0
100,1000,0.1,0.6,0.94,-0.928,0.180215016358827,0.0335199930427417,0.932,0.158818706121607,0.0295402793386189,9969.022,76.4453281439507,14.2188310347748,0.088,0.020455103333504,0.00380464922003175,0.07,0.455161199106116,0.0846599830337375,0,0,0
100,1000,0.1,0.7,0.95,-0.937,0.159674132804499,0.0296993887016368,0.941,0.129647040658532,0.024114349562487,9971.394,72.2909113143543,13.4461095044699,0.092,0.0215686628421984,0.00401177128864891,0.07,0.607279078174013,0.112953908540366,0,0,0
100,1000,0.1,0.8,0.95,-0.941,0.113003564348898,0.021018662968895,0.941,0.113003564348898,0.021018662968895,9973.917,50.2648125177677,9.3492551283048,0.088,0.0190841149101322,0.00354964537328458,0.01,0.1,0.0186,0,0,0
100,1000,0.1,0.9,0.94,-0.939,0.112476842060933,0.0209206926233335,0.939,0.112476842060933,0.0209206926233335,9972.889,49.2938585693599,9.16865769390094,0.096,0.0238061313036023,0.00442794042247003,0.03,0.222701503353614,0.0414224796237721,0,0,0
100,1000,0.1,1,0.91,-0.916,0.163975660610736,0.0304994728735969,0.916,0.163975660610736,0.0304994728735969,9963.295,72.5499458863817,13.494289934867,0.091,0.0243252095471072,0.00452448897576194,0.07,0.497569851956243,0.0925479924638612,0,0,0
100,1000,0.2,0,0.92,-0.921,0.166461754032437,0.0309618862500333,0.921,0.166461754032437,0.0309618862500333,9965.593,71.5180987777892,13.3023663726688,0.097,0.0273665293325296,0.0050901744558505,0.22,1.18560388227121,0.220522322102445,0,0,0
100,1000,0.2,0.1,0.92,-0.924,0.156237161088681,0.0290601119624947,0.928,0.136831934071759,0.0254507397373472,9967.43,63.8033847045696,11.86742955505,0.093,0.0213166692658661,0.0039649004834511,0.1,0.541229427257326,0.100668673469863,0,0,0
100,1000,0.2,0.2,0.87,-0.904,0.176794037561145,0.0328836909863731,0.904,0.176794037561145,0.0328836909863731,9956.444,80.4118968400142,14.9566128122426,0.091,0.0259226425721619,0.00482161151842211,0.17,0.888251033767988,0.165214692280846,0,0,0
100,1000,0.2,0.3,0.94,-0.94,0.128665675533944,0.0239318156493135,0.94,0.128665675533944,0.0239318156493135,9973.384,53.4491057260632,9.94153366504775,0.091,0.0221357303131885,0.00411724583825307,0.1,0.502518907629606,0.0934685168191067,0,0,0
100,1000,0.2,0.4,0.96,-0.94,0.139318253497436,0.025913195150523,0.94,0.139318253497436,0.025913195150523,9974.886,55.2506420147539,10.2766194147442,0.091,0.0213307271222291,0.00396751524473461,0.06,0.422115882408869,0.0785135541280497,0,0,0
100,1000,0.2,0.5,0.94,-0.916,0.203259647850833,0.0378062945002548,0.925,0.158432703745665,0.0294684828966937,9963.845,85.6317462048489,15.9275047941019,0.091,0.0229752191614103,0.00427339076402232,0.2,1.04446593573419,0.194270664046559,0,0,0
100,1000,0.2,0.6,0.94,-0.92,0.195304323784418,0.0363266042239018,0.928,0.151132135309577,0.0281105771675813,9965.43,80.2670751513832,14.9296759781573,0.093,0.0231407400237472,0.00430417764441698,0.18,1.03845261730319,0.193152186818393,0,0,0
100,1000,0.2,0.7,0.98,-0.957,0.0574761259176804,0.0106905594206886,0.957,0.0574761259176804,0.0106905594206886,9981.098,24.5696396499985,4.56995297489971,0.088,0.0241665675169332,0.00449498155814958,0,0,0,0,0,0
100,1000,0.2,0.8,0.92,-0.913,0.193043888870648,0.0359061633299405,0.919,0.166038769964467,0.0308832112133908,9961.625,86.1061025140002,16.015735067604,0.094,0.0251084092669867,0.00467016412365952,0.18,0.914308260905257,0.170061336528378,0,0,0
100,1000,0.2,0.9,0.92,-0.921,0.188084608889218,0.0349837372533945,0.926,0.158588655064451,0.0294974898419879,9965.379,78.0957421249866,14.5258080352475,0.089,0.0209080116770499,0.00388889017193128,0.19,1.09816191700477,0.204258116562888,0,0,0
100,1000,0.2,1,0.94,-0.934,0.161272464099634,0.0299966783225319,0.936,0.15036322218501,0.0279675593264118,9971.113,68.6622792720652,12.7711839446041,0.093,0.023614915098262,0.00439237420827673,0.13,0.860526031276829,0.16005784181749,0,0,0
100,1000,0.3,0,0.88,-0.881,0.259731131181941,0.048309990399841,0.896,0.201575915217963,0.0374931202305412,9950.467,102.372197350836,19.0412287072555,0.096,0.0235658439537783,0.00438324697540276,0.63,1.90509683202559,0.35434801075676,0,0,0
100,1000,0.3,0.1,0.94,-0.947,0.100571648413688,0.018706326604946,0.947,0.100571648413688,0.018706326604946,9976.547,42.533543028903,7.91123900337595,0.094,0.0215033341923106,0.00399962015976977,0.24,0.965254977566638,0.179537425827395,0,0,0
100,1000,0.3,0.2,0.92,-0.912,0.226133705867332,0.0420608692913237,0.928,0.151893059137478,0.0282521089995709,9963.833,86.4438037781078,16.078547502728,0.091,0.0236590783446737,0.0044005885721093,0.41,1.57053037428942,0.292118649617832,0,0,0
100,1000,0.3,0.3,0.94,-0.92,0.198526068562771,0.0369258487526753,0.928,0.156682065974316,0.0291428642712227,9966.499,78.0351088901932,14.5145302535759,0.093,0.021931422916955,0.00407924466255363,0.26,0.991071249821234,0.184339252466749,0,0,0
100,1000,0.3,0.4,0.88,-0.899,0.196770617365972,0.0365993348300708,0.9,0.189620327459528,0.0352693809074722,9953.564,87.3567084489122,16.2483477714977,0.089,0.0216146811472298,0.00402033069338474,0.58,1.77627461704307,0.330387078770012,0.02,0.14070529413629,0.0261711847093499
100,1000,0.3,0.5,0.91,-0.889,0.289812946291886,0.0539052080102909,0.913,0.202903767806069,0.0377401008119288,9952.369,121.675587369411,22.6316592507104,0.089,0.020096433521578,0.0037379366350135,0.74,2.29016341880847,0.425970395898375,0.01,0.1,0.0186
